,,,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Amaxopoulos D.,2 -1600,Stereas,4:01.08,14:03.74,21:16.32,-,-
Amoutzas Giorg,C3 F2,Stereas,3:41.23,12:58.77,18:50.19,-,-
Andrikopoulos ,C5 F2,Stereas,4:53.13,16:49.32,24:47.92,17:37.83,23:32.87
Antonopoulos P,3 2000,Stereas,4:52.48,19:20.34,24:29.16,-,-
Argiriou Kosta,C4 F2,Stereas,4:03.92,-,-,-,-
Athanasoulas A,3 -1600,Stereas,4:13.37,14:21.06,20:58.89,-,-
Chatzigakis Gi,C3 F2,Stereas,3:54.63,13:46.39,19:59.18,14:24.15,19:47.71
Chatzimarkos P,C3 F2,Stereas,3:33.40,12:13.44,18:11.29,12:04.74,18:08.19
Christodoulou ,4 2000,Stereas,3:54.78,13:32.91,19:48.79,-,-
Davaris Nikos ,C2,Stereas,3:49.37,13:50.36,19:21.96,13:56.81,19:30.21
Delaportas Gio,C5 F2,Stereas,4:14.59,13:37.28,19:34.71,16:37.70,20:27.75
Dimopoulos Ant,C4 F2,Stereas,3:31.01,12:41.18,19:03.10,13:59.06,18:30.57
Dodos Giorgos ,4 -1600,Stereas,4:15.16,15:04.61,32:46.87,-,-
Georgakopoulos,4 -1600,Stereas,4:20.94,14:45.95,21:06.55,-,-
Giokaris S.  -,C6 F2,Stereas,4:20.25,14:29.66,20:49.50,18:31.59,26:02.13
Giotis Ioannis,C4 F2,Stereas,3:47.92,13:21.45,20:10.83,13:31.66,20:00.00
Halivelakis A.,3 2000,Stereas,3:46.24,13:19.07,20:08.09,-,-
Halkias Efthim,C3 F2,Stereas,4:05.83,13:59.96,20:44.23,14:36.25,27:15.75
J.J.  - Stefan,C1,Stereas,3:50.22,12:23.89,17:50.77,12:26.24,17:55.36
Kafantaris Eli,C2,Stereas,3:38.86,-,-,-,-
Kalaitzian I. ,4 -1600,Stereas,4:11.64,15:23.79,-,-,-
Kalamaras Teo ,C3 F2,Stereas,4:04.74,14:50.58,20:17.28,14:33.01,20:17.51
Kansos P.  - G,4 2000,Stereas,5:10.20,17:42.51,24:25.59,-,-
Karanikolas E.,C5 F2,Stereas,3:33.28,-,-,-,-
Kassidopoulos ,4 -1600,Stereas,4:30.21,15:52.17,21:22.46,-,-
Kehagias Giorg,C1,Stereas,3:12.79,11:27.41,16:32.13,15:09.11,16:27.64
Kirkos Panagio,C2,Stereas,3:17.10,11:55.73,17:16.08,11:37.29,16:54.02
Kofinas Konsta,4 -1600,Stereas,4:10.06,14:50.72,21:39.07,-,-
Kotsopoulos An,4 2000,Stereas,4:28.34,17:17.44,23:13.89,-,-
Lefkaditis Sav,C3 F2,Stereas,3:25.16,12:18.39,18:22.62,12:09.16,-
Manouskos Elia,C6 F2,Stereas,3:55.91,14:20.13,20:01.39,14:05.20,19:45.78
Manoussaridis ,C3 F2,Stereas,4:24.09,15:59.38,-,-,-
Melas D.  - Va,2,Stereas,4:02.46,14:00.07,20:21.67,-,-
Milonas K.  - ,C4 F2,Stereas,3:50.86,13:46.37,19:29.93,13:37.78,19:25.32
Nicolaou Phivo,C2,Stereas,3:38.39,12:43.40,19:55.46,12:47.27,18:03.18
Nomikos Mihali,4 -1600,Stereas,4:02.98,14:44.68,-,-,-
Panagiotopoulo,C6 F2,Stereas,4:22.68,14:02.34,20:14.61,14:03.46,20:01.82
Panteli Petros,C1,Stereas,3:19.70,11:42.42,17:43.42,11:31.43,17:06.40
Pantieras Stam,C6 F2,Stereas,3:53.50,-,-,-,-
Papadimitriou ,4 2000,Stereas,4:11.17,13:47.05,20:51.44,-,-
Papadimitriou ,C1,Stereas,3:05.68,10:58.94,16:38.39,11:11.27,16:30.62
Paradissis Gio,3 2000,Stereas,4:06.79,13:56.64,-,-,-
Polykarpou Pan,C3 F2,Stereas,3:23.18,12:00.35,-,-,-
Rigas Giorgos ,C3 F2,Stereas,3:55.17,14:04.36,20:06.61,13:59.16,20:20.97
Serderidis Jou,C1,Stereas,3:20.83,11:48.13,17:04.71,13:39.39,17:02.52
Sotiropoulos N,C6 F2,Stereas,4:08.21,14:20.79,29:05.33,-,-
Stamatopoulos ,C2,Stereas,3:36.27,13:17.94,19:14.27,-,-
Stavropoulos D,C6 F2,Stereas,4:04.69,14:09.33,20:18.53,14:07.20,20:09.73
Tsalamatas Ioa,3 2000,Stereas,4:02.07,14:29.71,20:19.98,-,-
Tsouloftas Ale,C1,Stereas,3:03.52,14:00.45,16:09.58,10:42.51,16:10.14
Vassilakis Geo,C1,Stereas,3:38.50,13:23.52,20:09.57,14:15.07,25:25.70
Vassilopoulos ,2 2000,Stereas,4:39.26,15:50.72,22:49.35,-,-
Yfantis V.  - ,C3 F2,Stereas,4:22.74,14:31.20,20:17.61,14:35.24,20:02.21
Yiangou Y.  - ,C2,Stereas,4:16.93,14:30.22,22:09.49,14:33.14,21:27.92
Zygogiannis K.,C2,Stereas,3:41.24,13:06.27,18:48.28,13:22.85,18:36.76
