Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Stereas,4/6/2023,Gravel,Championship,1,183.52
Papadimitriou ,C1,1,Stereas,4/6/2023,Gravel,Championship,2,185.68
Kehagias Giorg,C1,1,Stereas,4/6/2023,Gravel,Championship,3,192.79
Kirkos Panagio,C2,1,Stereas,4/6/2023,Gravel,Championship,4,197.1
Panteli Petros,C1,1,Stereas,4/6/2023,Gravel,Championship,5,199.7
Serderidis Jou,C1,1,Stereas,4/6/2023,Gravel,Championship,6,200.82999999999998
Polykarpou Pan,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,7,203.18
Lefkaditis Sav,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,8,205.16
Dimopoulos Ant,C4 F2,1,Stereas,4/6/2023,Gravel,Championship,9,211.01
Karanikolas E.,C5 F2,1,Stereas,4/6/2023,Gravel,Championship,10,213.28
Chatzimarkos P,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,11,213.4
Stamatopoulos ,C2,1,Stereas,4/6/2023,Gravel,Championship,12,216.27
Nicolaou Phivo,C2,1,Stereas,4/6/2023,Gravel,Championship,13,218.39
Vassilakis Geo,C1,1,Stereas,4/6/2023,Gravel,Championship,14,218.5
Kafantaris Eli,C2,1,Stereas,4/6/2023,Gravel,Championship,15,218.86
Amoutzas Giorg,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,16,221.23
Zygogiannis K.,C2,1,Stereas,4/6/2023,Gravel,Championship,17,221.24
Halivelakis A.,3 2000,1,Stereas,4/6/2023,Gravel,Championship,18,226.24
Giotis Ioannis,C4 F2,1,Stereas,4/6/2023,Gravel,Championship,19,227.92000000000002
Davaris Nikos ,C2,1,Stereas,4/6/2023,Gravel,Championship,20,229.37
J.J.  - Stefan,C1,1,Stereas,4/6/2023,Gravel,Championship,21,230.22
Milonas K.  - ,C4 F2,1,Stereas,4/6/2023,Gravel,Championship,22,230.86
Pantieras Stam,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,23,233.5
Chatzigakis Gi,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,24,234.63
Christodoulou ,4 2000,1,Stereas,4/6/2023,Gravel,Championship,25,234.78
Rigas Giorgos ,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,26,235.17000000000002
Manouskos Elia,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,27,235.91
Amaxopoulos D.,2 -1600,1,Stereas,4/6/2023,Gravel,Championship,28,241.08
Tsalamatas Ioa,3 2000,1,Stereas,4/6/2023,Gravel,Championship,29,242.07
Melas D.  - Va,2,1,Stereas,4/6/2023,Gravel,Championship,30,242.46
Nomikos Mihali,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,31,242.98
Argiriou Kosta,C4 F2,1,Stereas,4/6/2023,Gravel,Championship,32,243.92
Stavropoulos D,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,33,244.69
Kalamaras Teo ,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,34,244.74
Halkias Efthim,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,35,245.83
Paradissis Gio,3 2000,1,Stereas,4/6/2023,Gravel,Championship,36,246.79
Sotiropoulos N,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,37,248.21
Kofinas Konsta,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,38,250.06
Papadimitriou ,4 2000,1,Stereas,4/6/2023,Gravel,Championship,39,251.17
Kalaitzian I. ,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,40,251.64
Athanasoulas A,3 -1600,1,Stereas,4/6/2023,Gravel,Championship,41,253.37
Delaportas Gio,C5 F2,1,Stereas,4/6/2023,Gravel,Championship,42,254.59
Dodos Giorgos ,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,43,255.16
Yiangou Y.  - ,C2,1,Stereas,4/6/2023,Gravel,Championship,44,256.93
Giokaris S.  -,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,45,260.25
Georgakopoulos,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,46,260.94
Panagiotopoulo,C6 F2,1,Stereas,4/6/2023,Gravel,Championship,47,262.68
Yfantis V.  - ,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,48,262.74
Manoussaridis ,C3 F2,1,Stereas,4/6/2023,Gravel,Championship,49,264.09
Kotsopoulos An,4 2000,1,Stereas,4/6/2023,Gravel,Championship,50,268.34
Kassidopoulos ,4 -1600,1,Stereas,4/6/2023,Gravel,Championship,51,270.21
Vassilopoulos ,2 2000,1,Stereas,4/6/2023,Gravel,Championship,52,279.26
Antonopoulos P,3 2000,1,Stereas,4/6/2023,Gravel,Championship,53,292.48
Andrikopoulos ,C5 F2,1,Stereas,4/6/2023,Gravel,Championship,54,293.13
Kansos P.  - G,4 2000,1,Stereas,4/6/2023,Gravel,Championship,55,310.2
Papadimitriou ,C1,2,Stereas,4/6/2023,Gravel,Championship,1,658.94
Kehagias Giorg,C1,2,Stereas,4/6/2023,Gravel,Championship,2,687.41
Panteli Petros,C1,2,Stereas,4/6/2023,Gravel,Championship,3,702.42
Serderidis Jou,C1,2,Stereas,4/6/2023,Gravel,Championship,4,708.13
Kirkos Panagio,C2,2,Stereas,4/6/2023,Gravel,Championship,5,715.73
Polykarpou Pan,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,6,720.35
Chatzimarkos P,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,7,733.44
Lefkaditis Sav,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,8,738.39
J.J.  - Stefan,C1,2,Stereas,4/6/2023,Gravel,Championship,9,743.89
Dimopoulos Ant,C4 F2,2,Stereas,4/6/2023,Gravel,Championship,10,761.18
Nicolaou Phivo,C2,2,Stereas,4/6/2023,Gravel,Championship,11,763.4
Amoutzas Giorg,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,12,778.77
Zygogiannis K.,C2,2,Stereas,4/6/2023,Gravel,Championship,13,786.27
Stamatopoulos ,C2,2,Stereas,4/6/2023,Gravel,Championship,14,797.94
Halivelakis A.,3 2000,2,Stereas,4/6/2023,Gravel,Championship,15,799.07
Giotis Ioannis,C4 F2,2,Stereas,4/6/2023,Gravel,Championship,16,801.45
Vassilakis Geo,C1,2,Stereas,4/6/2023,Gravel,Championship,17,803.52
Christodoulou ,4 2000,2,Stereas,4/6/2023,Gravel,Championship,18,812.91
Delaportas Gio,C5 F2,2,Stereas,4/6/2023,Gravel,Championship,19,817.28
Milonas K.  - ,C4 F2,2,Stereas,4/6/2023,Gravel,Championship,20,826.37
Chatzigakis Gi,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,21,826.39
Papadimitriou ,4 2000,2,Stereas,4/6/2023,Gravel,Championship,22,827.05
Davaris Nikos ,C2,2,Stereas,4/6/2023,Gravel,Championship,23,830.36
Paradissis Gio,3 2000,2,Stereas,4/6/2023,Gravel,Championship,24,836.64
Halkias Efthim,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,25,839.96
Melas D.  - Va,2,2,Stereas,4/6/2023,Gravel,Championship,26,840.07
Tsouloftas Ale,C1,2,Stereas,4/6/2023,Gravel,Championship,27,840.45
Panagiotopoulo,C6 F2,2,Stereas,4/6/2023,Gravel,Championship,28,842.34
Amaxopoulos D.,2 -1600,2,Stereas,4/6/2023,Gravel,Championship,29,843.74
Rigas Giorgos ,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,30,844.36
Stavropoulos D,C6 F2,2,Stereas,4/6/2023,Gravel,Championship,31,849.33
Manouskos Elia,C6 F2,2,Stereas,4/6/2023,Gravel,Championship,32,860.13
Sotiropoulos N,C6 F2,2,Stereas,4/6/2023,Gravel,Championship,33,860.79
Athanasoulas A,3 -1600,2,Stereas,4/6/2023,Gravel,Championship,34,861.06
Giokaris S.  -,C6 F2,2,Stereas,4/6/2023,Gravel,Championship,35,869.66
Tsalamatas Ioa,3 2000,2,Stereas,4/6/2023,Gravel,Championship,36,869.71
Yiangou Y.  - ,C2,2,Stereas,4/6/2023,Gravel,Championship,37,870.22
Yfantis V.  - ,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,38,871.2
Nomikos Mihali,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,39,884.68
Georgakopoulos,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,40,885.95
Kalamaras Teo ,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,41,890.58
Kofinas Konsta,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,42,890.72
Dodos Giorgos ,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,43,904.61
Kalaitzian I. ,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,44,923.79
Vassilopoulos ,2 2000,2,Stereas,4/6/2023,Gravel,Championship,45,950.72
Kassidopoulos ,4 -1600,2,Stereas,4/6/2023,Gravel,Championship,46,952.17
Manoussaridis ,C3 F2,2,Stereas,4/6/2023,Gravel,Championship,47,959.38
Andrikopoulos ,C5 F2,2,Stereas,4/6/2023,Gravel,Championship,48,1009.32
Kotsopoulos An,4 2000,2,Stereas,4/6/2023,Gravel,Championship,49,1037.44
Kansos P.  - G,4 2000,2,Stereas,4/6/2023,Gravel,Championship,50,1062.51
Antonopoulos P,3 2000,2,Stereas,4/6/2023,Gravel,Championship,51,1160.34
Tsouloftas Ale,C1,3,Stereas,4/6/2023,Gravel,Championship,1,969.58
Kehagias Giorg,C1,3,Stereas,4/6/2023,Gravel,Championship,2,992.13
Papadimitriou ,C1,3,Stereas,4/6/2023,Gravel,Championship,3,998.39
Serderidis Jou,C1,3,Stereas,4/6/2023,Gravel,Championship,4,1024.71
Kirkos Panagio,C2,3,Stereas,4/6/2023,Gravel,Championship,5,1036.08
Panteli Petros,C1,3,Stereas,4/6/2023,Gravel,Championship,6,1063.42
J.J.  - Stefan,C1,3,Stereas,4/6/2023,Gravel,Championship,7,1070.77
Chatzimarkos P,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,8,1091.29
Lefkaditis Sav,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,9,1102.62
Zygogiannis K.,C2,3,Stereas,4/6/2023,Gravel,Championship,10,1128.28
Amoutzas Giorg,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,11,1130.19
Dimopoulos Ant,C4 F2,3,Stereas,4/6/2023,Gravel,Championship,12,1143.1
Stamatopoulos ,C2,3,Stereas,4/6/2023,Gravel,Championship,13,1154.27
Davaris Nikos ,C2,3,Stereas,4/6/2023,Gravel,Championship,14,1161.96
Milonas K.  - ,C4 F2,3,Stereas,4/6/2023,Gravel,Championship,15,1169.93
Delaportas Gio,C5 F2,3,Stereas,4/6/2023,Gravel,Championship,16,1174.71
Christodoulou ,4 2000,3,Stereas,4/6/2023,Gravel,Championship,17,1188.79
Nicolaou Phivo,C2,3,Stereas,4/6/2023,Gravel,Championship,18,1195.46
Chatzigakis Gi,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,19,1199.18
Manouskos Elia,C6 F2,3,Stereas,4/6/2023,Gravel,Championship,20,1201.39
Rigas Giorgos ,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,21,1206.61
Halivelakis A.,3 2000,3,Stereas,4/6/2023,Gravel,Championship,22,1208.09
Vassilakis Geo,C1,3,Stereas,4/6/2023,Gravel,Championship,23,1209.57
Giotis Ioannis,C4 F2,3,Stereas,4/6/2023,Gravel,Championship,24,1210.83
Panagiotopoulo,C6 F2,3,Stereas,4/6/2023,Gravel,Championship,25,1214.61
Kalamaras Teo ,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,26,1217.28
Yfantis V.  - ,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,27,1217.61
Stavropoulos D,C6 F2,3,Stereas,4/6/2023,Gravel,Championship,28,1218.53
Tsalamatas Ioa,3 2000,3,Stereas,4/6/2023,Gravel,Championship,29,1219.98
Melas D.  - Va,2,3,Stereas,4/6/2023,Gravel,Championship,30,1221.67
Halkias Efthim,C3 F2,3,Stereas,4/6/2023,Gravel,Championship,31,1244.23
Giokaris S.  -,C6 F2,3,Stereas,4/6/2023,Gravel,Championship,32,1249.5
Papadimitriou ,4 2000,3,Stereas,4/6/2023,Gravel,Championship,33,1251.44
Athanasoulas A,3 -1600,3,Stereas,4/6/2023,Gravel,Championship,34,1258.89
Georgakopoulos,4 -1600,3,Stereas,4/6/2023,Gravel,Championship,35,1266.55
Amaxopoulos D.,2 -1600,3,Stereas,4/6/2023,Gravel,Championship,36,1276.32
Kassidopoulos ,4 -1600,3,Stereas,4/6/2023,Gravel,Championship,37,1282.46
Kofinas Konsta,4 -1600,3,Stereas,4/6/2023,Gravel,Championship,38,1299.07
Yiangou Y.  - ,C2,3,Stereas,4/6/2023,Gravel,Championship,39,1329.49
Vassilopoulos ,2 2000,3,Stereas,4/6/2023,Gravel,Championship,40,1369.35
Kotsopoulos An,4 2000,3,Stereas,4/6/2023,Gravel,Championship,41,1393.89
Kansos P.  - G,4 2000,3,Stereas,4/6/2023,Gravel,Championship,42,1465.59
Antonopoulos P,3 2000,3,Stereas,4/6/2023,Gravel,Championship,43,1469.16
Andrikopoulos ,C5 F2,3,Stereas,4/6/2023,Gravel,Championship,44,1487.92
Sotiropoulos N,C6 F2,3,Stereas,4/6/2023,Gravel,Championship,45,1745.33
Dodos Giorgos ,4 -1600,3,Stereas,4/6/2023,Gravel,Championship,46,1966.87
Tsouloftas Ale,C1,4,Stereas,4/6/2023,Gravel,Championship,1,642.51
Papadimitriou ,C1,4,Stereas,4/6/2023,Gravel,Championship,2,671.27
Panteli Petros,C1,4,Stereas,4/6/2023,Gravel,Championship,3,691.43
Kirkos Panagio,C2,4,Stereas,4/6/2023,Gravel,Championship,4,697.29
Chatzimarkos P,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,5,724.74
Lefkaditis Sav,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,6,729.16
J.J.  - Stefan,C1,4,Stereas,4/6/2023,Gravel,Championship,7,746.24
Nicolaou Phivo,C2,4,Stereas,4/6/2023,Gravel,Championship,8,767.27
Zygogiannis K.,C2,4,Stereas,4/6/2023,Gravel,Championship,9,802.85
Giotis Ioannis,C4 F2,4,Stereas,4/6/2023,Gravel,Championship,10,811.66
Milonas K.  - ,C4 F2,4,Stereas,4/6/2023,Gravel,Championship,11,817.78
Serderidis Jou,C1,4,Stereas,4/6/2023,Gravel,Championship,12,819.39
Davaris Nikos ,C2,4,Stereas,4/6/2023,Gravel,Championship,13,836.81
Dimopoulos Ant,C4 F2,4,Stereas,4/6/2023,Gravel,Championship,14,839.06
Rigas Giorgos ,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,15,839.16
Panagiotopoulo,C6 F2,4,Stereas,4/6/2023,Gravel,Championship,16,843.46
Manouskos Elia,C6 F2,4,Stereas,4/6/2023,Gravel,Championship,17,845.2
Stavropoulos D,C6 F2,4,Stereas,4/6/2023,Gravel,Championship,18,847.2
Vassilakis Geo,C1,4,Stereas,4/6/2023,Gravel,Championship,19,855.07
Chatzigakis Gi,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,20,864.15
Kalamaras Teo ,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,21,873.01
Yiangou Y.  - ,C2,4,Stereas,4/6/2023,Gravel,Championship,22,873.14
Yfantis V.  - ,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,23,875.24
Halkias Efthim,C3 F2,4,Stereas,4/6/2023,Gravel,Championship,24,876.25
Kehagias Giorg,C1,4,Stereas,4/6/2023,Gravel,Championship,25,909.11
Delaportas Gio,C5 F2,4,Stereas,4/6/2023,Gravel,Championship,26,997.7
Andrikopoulos ,C5 F2,4,Stereas,4/6/2023,Gravel,Championship,27,1057.83
Giokaris S.  -,C6 F2,4,Stereas,4/6/2023,Gravel,Championship,28,1111.59
Tsouloftas Ale,C1,5,Stereas,4/6/2023,Gravel,Championship,1,970.14
Kehagias Giorg,C1,5,Stereas,4/6/2023,Gravel,Championship,2,987.64
Papadimitriou ,C1,5,Stereas,4/6/2023,Gravel,Championship,3,990.62
Kirkos Panagio,C2,5,Stereas,4/6/2023,Gravel,Championship,4,1014.02
Serderidis Jou,C1,5,Stereas,4/6/2023,Gravel,Championship,5,1022.52
Panteli Petros,C1,5,Stereas,4/6/2023,Gravel,Championship,6,1026.4
J.J.  - Stefan,C1,5,Stereas,4/6/2023,Gravel,Championship,7,1075.36
Nicolaou Phivo,C2,5,Stereas,4/6/2023,Gravel,Championship,8,1083.18
Chatzimarkos P,C3 F2,5,Stereas,4/6/2023,Gravel,Championship,9,1088.19
Dimopoulos Ant,C4 F2,5,Stereas,4/6/2023,Gravel,Championship,10,1110.57
Zygogiannis K.,C2,5,Stereas,4/6/2023,Gravel,Championship,11,1116.76
Milonas K.  - ,C4 F2,5,Stereas,4/6/2023,Gravel,Championship,12,1165.32
Davaris Nikos ,C2,5,Stereas,4/6/2023,Gravel,Championship,13,1170.21
Manouskos Elia,C6 F2,5,Stereas,4/6/2023,Gravel,Championship,14,1185.78
Chatzigakis Gi,C3 F2,5,Stereas,4/6/2023,Gravel,Championship,15,1187.71
Giotis Ioannis,C4 F2,5,Stereas,4/6/2023,Gravel,Championship,16,1200.0
Panagiotopoulo,C6 F2,5,Stereas,4/6/2023,Gravel,Championship,17,1201.82
Yfantis V.  - ,C3 F2,5,Stereas,4/6/2023,Gravel,Championship,18,1202.21
Stavropoulos D,C6 F2,5,Stereas,4/6/2023,Gravel,Championship,19,1209.73
