Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time,SS.
Peroulak,C2,1,Achaios,24/9/2023,Tarmac,Cup,1,392.82,392.82,Achaios_01
Koukeas ,C1,1,Achaios,24/9/2023,Tarmac,Cup,2,394.87,392.82,Achaios_01
Stafilop,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,3,399.1,392.82,Achaios_01
Karathan,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,4,408.8,392.82,Achaios_01
Daskalop,C2,1,Achaios,24/9/2023,Tarmac,Cup,5,409.94,392.82,Achaios_01
Dermas V,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,6,411.92,392.82,Achaios_01
Kapralos,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,7,419.33,392.82,Achaios_01
Katsarel,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,8,421.51,392.82,Achaios_01
Rocco Gi,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,9,424.16,392.82,Achaios_01
Papadopo,C2,1,Achaios,24/9/2023,Tarmac,Cup,10,425.84,392.82,Achaios_01
Kandilio,C2,1,Achaios,24/9/2023,Tarmac,Cup,11,427.63,392.82,Achaios_01
Katsikas,3 2000,1,Achaios,24/9/2023,Tarmac,Cup,12,435.34,392.82,Achaios_01
Kondilis,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,13,437.98,392.82,Achaios_01
Rekkas P,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,14,439.3,392.82,Achaios_01
Tiros Ni,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,15,439.93,392.82,Achaios_01
Kaberos ,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,16,440.87,392.82,Achaios_01
Nomikos ,C1,1,Achaios,24/9/2023,Tarmac,Cup,17,443.87,392.82,Achaios_01
Labropou,C2,1,Achaios,24/9/2023,Tarmac,Cup,18,444.1,392.82,Achaios_01
Kaberos ,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,19,446.38,392.82,Achaios_01
Amaxopou,2 -1600,1,Achaios,24/9/2023,Tarmac,Cup,20,448.15,392.82,Achaios_01
Fountas ,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,21,453.64,392.82,Achaios_01
Kalyviot,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,22,454.66,392.82,Achaios_01
Gavriili,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,23,461.46,392.82,Achaios_01
Yamalaki,3,1,Achaios,24/9/2023,Tarmac,Cup,24,463.66,392.82,Achaios_01
Kouniaki,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,25,466.9,392.82,Achaios_01
Papazogl,4 2000+,1,Achaios,24/9/2023,Tarmac,Cup,26,472.28,392.82,Achaios_01
Dekis Pa,C6 F2,1,Achaios,24/9/2023,Tarmac,Cup,27,477.87,392.82,Achaios_01
Bertsato,C3 F2,1,Achaios,24/9/2023,Tarmac,Cup,28,481.89,392.82,Achaios_01
Karouzos,C4 F2,1,Achaios,24/9/2023,Tarmac,Cup,29,483.04,392.82,Achaios_01
Diamanti,C4 F2,1,Achaios,24/9/2023,Tarmac,Cup,30,495.76,392.82,Achaios_01
Mitropou,2 2000,1,Achaios,24/9/2023,Tarmac,Cup,31,497.28,392.82,Achaios_01
Markopou,C5 F2,1,Achaios,24/9/2023,Tarmac,Cup,32,509.6,392.82,Achaios_01
Lykakis ,2 -1600,1,Achaios,24/9/2023,Tarmac,Cup,33,531.45,392.82,Achaios_01
Koukeas ,C1,2,Achaios,24/9/2023,Tarmac,Cup,1,384.84,384.84,Achaios_02
Peroulak,C2,2,Achaios,24/9/2023,Tarmac,Cup,2,385.43,384.84,Achaios_02
Stafilop,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,3,387.74,384.84,Achaios_02
Dermas V,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,4,399.6,384.84,Achaios_02
Kapralos,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,5,406.86,384.84,Achaios_02
Katsarel,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,6,414.61,384.84,Achaios_02
Papadopo,C2,2,Achaios,24/9/2023,Tarmac,Cup,7,416.27,384.84,Achaios_02
Nomikos ,C1,2,Achaios,24/9/2023,Tarmac,Cup,8,424.07,384.84,Achaios_02
Rocco Gi,4 2000+,2,Achaios,24/9/2023,Tarmac,Cup,9,424.83,384.84,Achaios_02
Katsikas,3 2000,2,Achaios,24/9/2023,Tarmac,Cup,10,425.76,384.84,Achaios_02
Kondilis,C5 F2,2,Achaios,24/9/2023,Tarmac,Cup,11,429.01,384.84,Achaios_02
Daskalop,C2,2,Achaios,24/9/2023,Tarmac,Cup,12,429.02,384.84,Achaios_02
Labropou,C2,2,Achaios,24/9/2023,Tarmac,Cup,13,430.6,384.84,Achaios_02
Rekkas P,C6 F2,2,Achaios,24/9/2023,Tarmac,Cup,14,433.58,384.84,Achaios_02
Kaberos ,C3 F2,2,Achaios,24/9/2023,Tarmac,Cup,15,434.18,384.84,Achaios_02
