,,,ss_time,ss_time,ss_time
ss,,,1,2,3
No,Crew,Gr/Cl,,,
#1,Koukeas Efstathios  - Spirou K. Ford Fiesta R5,C1,6:34.87,6:24.84,6:19.10
#10,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,7:01.51,6:54.61,7:00.88
#11,Dermas V.  - Paraskevopoulou E. Opel Ascona B,C3 F2,6:51.92,6:39.60,6:47.02
#14,Papadopoulos N.  - Papageorgiou C. Mitsubishi Lancer Evo IX,C2,7:05.84,6:56.27,6:56.48
#15,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,7:17.98,7:09.01,7:11.45
#16,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,7:19.30,7:13.58,7:08.81
#17,Kouniakis K.  - Vardakis K. Peugeot 106 S16,C6 F2,7:46.90,7:40.16,7:38.41
#18,Fountas Polidoros  - Ladas Giorgos Peugeot 106 S16,C6 F2,7:33.64,7:17.09,-
#19,Dekis Panagiotis  - Dekis Andreas Peugeot 106 S16,C6 F2,7:57.87,7:50.66,7:48.73
#2,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,6:32.82,6:25.43,6:20.65
#20,Kalyviotis Andreas  - Tsamis A. Peugeot 106 S16,C6 F2,7:34.66,7:19.61,7:18.93
#21,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,7:20.87,7:14.18,7:29.01
#22,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,7:26.38,7:27.56,7:18.96
#24,Markopoulos D.  - Markopoulos A. Peugeot 106,C5 F2,8:29.60,7:50.87,7:42.26
#25,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,7:19.93,7:14.55,7:06.46
#26,Bertsatos Giorgos  - Kontos Kostas Ford Escort MK2,C3 F2,8:01.89,8:08.00,7:56.22
#27,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,8:15.76,8:10.90,8:05.13
#28,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,8:03.04,8:02.12,7:58.07
#29,Stafilopatis M.  - Chatzirigas G. Lancia Delta Integrale 16V,4 2000+,6:39.10,6:27.74,6:29.94
#30,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,7:52.28,7:37.57,8:45.29
#31,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,7:15.34,7:05.76,7:05.62
#32,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,7:28.15,7:18.19,8:01.82
#33,Yamalakis Stelios  - Samios Nikos Renault 5 Turbo,3,7:43.66,-,-
#34,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,7:41.46,7:42.55,7:30.11
#35,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,8:17.28,8:01.86,8:04.98
#37,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,7:04.16,7:04.83,7:34.60
#38,Lykakis Ioannis  - Kabourova Maria Volkswagen Beetle,2 -1600,8:51.45,-,-
#4,Kandiliotis V.  - Papandreou P. Mitsubishi Lancer Evo VI,C2,7:07.63,-,-
#5,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,6:49.94,7:09.02,-
#6,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,7:23.87,7:04.07,6:59.23
#7,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,6:48.80,12:00.43,6:58.20
#8,Labropoulos P.  - Staikos K. Subaru Impreza WRX,C2,7:24.10,7:10.60,7:06.96
#9,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,6:59.33,6:46.86,8:07.71
