Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#2,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,6:32.82,,104.2,1
2,#1,Koukeas Efstathios  - Spirou K. Ford Fiesta R5,C1,6:34.87,+2.05 +  2.05,103.7 0.18,1
3,#29,Stafilopatis M.  - Chatzirigas G. Lancia Delta Integrale 16V,4 2000+,6:39.10,+6.28 +  4.23,102.6 0.55,1
4,#7,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,6:48.80,+15.98 +  9.70,100.1 1.41,1
5,#5,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,6:49.94,+17.12 +  1.14,99.8 1.51,1
6,#11,Dermas V.  - Paraskevopoulou E. Opel Ascona B,C3 F2,6:51.92,+19.10 +  1.98,99.4 1.68,1
7,#9,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,6:59.33,+26.51 +  7.41,97.6 2.33,1
8,#10,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,7:01.51,+28.69 +  2.18,97.1 2.52,1
9,#37,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,7:04.16,+31.34 +  2.65,96.5 2.76,1
10,#14,Papadopoulos N.  - Papageorgiou C. Mitsubishi Lancer Evo IX,C2,7:05.84,+33.02 +  1.68,96.1 2.90,1
11,#4,Kandiliotis V.  - Papandreou P. Mitsubishi Lancer Evo VI,C2,7:07.63,+34.81 +  1.79,95.7 3.06,1
12,#31,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,7:15.34,+42.52 +  7.71,94.0 3.74,1
13,#15,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,7:17.98,+45.16 +  2.64,93.5 3.97,1
14,#16,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,7:19.30,+46.48 +  1.32,93.2 4.09,1
15,#25,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,7:19.93,+47.11 +  0.63,93.0 4.14,1
16,#21,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,7:20.87,+48.05 +  0.94,92.8 4.23,1
17,#6,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,7:23.87,+51.05 +  3.00,92.2 4.49,1
18,#8,Labropoulos P.  - Staikos K. Subaru Impreza WRX,C2,7:24.10,+51.28 +  0.23,92.2 4.51,1
19,#22,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,7:26.38,+53.56 +  2.28,91.7 4.71,1
20,#32,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,7:28.15,+55.33 +  1.77,91.3 4.87,1
21,#18,Fountas Polidoros  - Ladas Giorgos Peugeot 106 S16,C6 F2,7:33.64,+1:00.82 +  5.49,90.2 5.35,1
22,#20,Kalyviotis Andreas  - Tsamis A. Peugeot 106 S16,C6 F2,7:34.66,+1:01.84 +  1.02,90.0 5.44,1
23,#34,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,7:41.46,+1:08.64 +  6.80,88.7 6.04,1
24,#33,Yamalakis Stelios  - Samios Nikos Renault 5 Turbo,3,7:43.66,+1:10.84 +  2.20,88.3 6.23,1
25,#17,Kouniakis K.  - Vardakis K. Peugeot 106 S16,C6 F2,7:46.90,+1:14.08 +  3.24,87.7 6.52,1
