,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
No,Crew,Gr/Cl,,,,
#10,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,11:22.99,14:47.57,11:24.97,14:50.55
#11,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,11:29.15,14:42.23,11:17.42,-
#12,Brozos Fotis  - Vogiantzis A. Citroën ZX,C3 F2,11:22.49,14:50.55,11:14.54,14:45.35
#14,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,12:10.72,15:38.49,12:03.26,15:47.24
#15,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,11:28.40,14:52.67,11:15.18,14:38.87
#16,Sotiriadis Nikos  - Kaligos A. Mitsubishi Lancer Evo IX,C2,11:49.93,15:19.72,11:40.53,15:16.65
#17,Valavanis I.  - Tsavdaridis M. Honda Civic Type-R EP3,C3 F2,12:04.87,15:42.79,-,-
#18,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,12:10.87,15:42.35,12:04.73,15:45.57
#19,Tassos Vassilis  - Fidanas P. Mitsubishi Lancer Evo IX,C2,12:43.33,16:18.50,12:30.36,16:10.85
#2,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,10:45.55,14:00.84,10:42.46,14:01.01
#21,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,12:01.01,15:28.52,12:01.28,15:35.60
#22,Baxevanakis Pavlos  - Bebis G. Honda Civic Type-R EP3,C3 F2,11:45.00,15:23.83,11:51.67,15:44.66
#25,Skoulariotis L.  - Goularas T. Renault Clio RS,C3 F2,12:24.37,16:13.93,-,-
#26,Anagnostakis K.  - Alexiadis D. Suzuki Swift Sport MK4,C4 F2,12:28.79,16:02.77,12:21.03,15:56.72
#27,Katsionis T.  - Theofanidis C. Citroën Saxo VTS,C4 F2,12:04.75,16:01.69,11:58.54,15:35.46
#29,Koutsodimos Ioannis  - Vlagas S. Peugeot 106 S16,C6 F2,17:11.28,41:53.68,12:18.03,15:47.33
#3,Tsolakidis Socratis  - Polizois G. Škoda Fabia RS Rally2,C1,10:33.48,13:50.24,10:35.88,13:55.21
#30,Avramidis A.  - Kyrlagitsi O. Citroën Saxo VTS,C6,12:19.71,16:16.03,12:28.19,17:06.45
#31,Maragakis Andreas  - Argiros E. Citroën Saxo VTS,C6 F2,12:48.91,16:31.81,12:38.73,-
#32,Manouskos Nikolaos  - Manouskos E. Citroën Saxo VTS,C6 F2,13:25.56,16:55.49,13:11.47,17:03.89
#33,Partalios D.  - Kambouridis E. Peugeot 206 GT,C3 F2,13:18.67,17:05.99,13:08.14,17:16.19
#34,Dimou George  - Pothitos Kostas Renault Clio RS,C3 F2,28:11.04,-,-,-
#35,Efthimiadis H.  - Laboglou S. Peugeot 106 S16,C5 F2,12:49.60,-,-,-
#36,Tsitsigiannis A.  - Tsitsigianni A. Citroën Saxo VTS,C5 F2,12:35.96,16:38.81,-,-
#37,Angelidis Giorgos  - Keppas P. Renault Clio III RS,C3 F2,13:38.41,26:34.23,17:19.30,18:08.03
#38,Karagiozopoulos P.  - Karkavanidis G. Seat Ibiza,C3 F2,12:27.08,16:43.80,12:24.95,16:25.60
#39,Massialas Vagelis  - Moschos I. Citroën Saxo VTS,C6 F2,12:56.61,16:42.91,12:59.68,16:51.11
#4,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,10:44.91,14:12.00,10:41.91,14:02.23
#40,Karafillias Giorgos  - Lakorte E. Peugeot 106 S16,C6 F2,13:32.75,-,-,-
#41,Rakitzis Grigoris  - Kommatas G. Peugeot 206 XS,C5 F2,13:28.57,17:00.62,13:51.20,18:20.68
#42,Bais Giorgos  - Tassis Nikolaos Peugeot 106 Rallye,C6 F2,13:51.14,18:19.49,13:53.86,-
#44,Archangelidis Avraam  - Kazakos T. BMW 320i,C2,14:40.78,-,-,-
#46,Tsakiroglou A.  - Kechagias D. Opel Manta,C3 F2,14:46.68,26:14.26,14:36.68,19:59.75
#47,Pazis Sokratis  - Biladeris V. Nissan Micra K12,C6 F2,13:04.68,17:18.89,13:04.79,17:01.27
#48,Vezyris C.  - Karmatzoglou P. Peugeot 106 Rallye,C6 F2,15:21.26,20:13.49,15:21.29,20:58.03
#49,Koukas Stavros  - Avramidis A. Peugeot 306 16S,C3 F2,15:28.19,20:12.81,15:23.61,20:22.50
#5,Ieremiadis Sotiris  - Ometto P. Škoda Fabia Rally2 evo,C1,11:03.70,14:38.67,10:56.41,14:21.68
#50,Anastassovitis T.  - Anastassovitis I. Toyota Starlet EP91,C6 F2,15:41.47,20:31.01,15:24.62,20:57.70
#6,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,11:30.61,14:57.18,11:19.52,14:46.04
#7,Argiriou Giorgos  - Paschos D. Mitsubishi Lancer Evo IX,C2,11:33.75,14:51.79,11:29.32,14:42.30
#9,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,11:25.29,14:54.54,11:21.15,14:55.40
