No,Crew,Vehicle,Gr,Cl,_F,_L
1,ΑΝΑΠΟΛΙΟΤΑΚΗΣ ΓΕΩΡΓΙΟΣ - ΤΣΙΟΥΚΑΣ ΑΘΑΝΑΣΙΟΣ,FORD FIESTA,C1,Rally2,,
2,ΤΣΟΥΛΟΦΤΑΣ ΑΛΕΞΑΝΔΡΟΣ - ELIA STELIOS,VW POLO,C1,Rally2,,
3,ΑΛΥΓΙΖΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ ΙΩΣ. -,SKODA FABIA,C1,Rally2,,
4,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΙΩΑΝΝΗΣ - ΠΕΤΡΟΠΟΥΛΟΣ ΝΙΚΟΣ,SKODA FABIA,C1,Rally2,,
5,ΚΑΜΠΥΛΗΣ ΠΑΝΑΓΙΩΤΗΣ Γ. - ΣΤΑΜΕΛΟΣ ΣΤΑΥΡΟΣ ΣΠ.,SKODA FABIA,C1,S2000R,,
6,ΠΕΡΟΥΛΑΚΗΣ ΓΕΩΡΓΙΟΣ - ΣΑΡΡΗΣ ΕΛΕΥΘΕΡΙΟΣ,MITSUBISHI LANCER Evo 8,C2,A8,,
7,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ - ΓΡΗΓΟΡΙΟΥ ΣΩΤΗΡΙΟΣ,OPEL ASTRA H,C2,E12A,,
8,ΚΤΙΣΤΑΚΗΣ ΔΗΜΗΤΡΙΟΣ - ΚΤΙΣΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ,PEUGEOT 306,C3,E11,F2,
9,ΚΟΥΚΕΑΣ ΕΥΣΤΑΘΙΟΣ - ΜΠΑΣΙΟΥΚΑΣ ΒΑΣΙΛΕΙΟΣ,FORD FIESTA,C1,Rally2,,
10,ΑΡΓΥΡΙΟΥ ΓΕΩΡΓΙΟΣ - ΠΑΣΧΟΣ ΔΗΜΗΤΡΙΟΣ,MITSUBISHI LANCER Evo 9,C2,N4,,
11,ΚΟΡΑΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΚΟΤΣΑΛΗΣ ΓΕΩΡΓΙΟΣ Ν.,MITSUBISHI LANCER Evo 9,C2,R4GR,,
12,ΚΑΖΑΝΑΣ ΔΗΜΗΤΡΙΟΣ - ΜΑΚΡΑΚΗΣ ΘΕΟΔΩΡΟΣ,MITSUBISHI LANCER Evo 9,C2,N4,,
14,ΜΙΧΟΣ ΔΗΜΗΤΡΙΟΣ - ΧΕΙΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,PEUGEOT 208 GT-LINE 130,C3,Rally4C,F2,
15,ΜΟΣΧΟΣ ΑΘΑΝΑΣΙΟΣ - ΣΑΜΑΡΤΖΗΣ ΙΩΑΝΝΗΣ,RENAULT CLIO 1,C3,E11,F2,
16,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΙΩΑΝΝΗΣ - ΚΥΠΑΡΙΣΣΑΣ ΔΗΜΗΤΡΙΟΣ,CITROEN DS3,C3,R3T,F2,
17,ΤΙΤΑΚΗΣ ΤΙΤΟΣ - ΧΑΛΚΙΑΔΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ,CITROEN DS3,C3,R3T,F2,
18,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ - ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ,PEUGEOT 106 S16,C5,A6,F2,LEG
