Pos,No,Time,SS
1,1,15:41.22,1
2,4,15:58.54,1
3,3,16:01.56,1
4,5,16:28.99,1
5,9,16:29.01,1
6,102,16:29.47,1
7,15,16:31.37,1
8,8,16:32.08,1
9,6,16:32.65,1
10,10,16:41.02,1
11,7,16:43.56,1
12,16,16:53.63,1
13,14,16:57.89,1
14,19,17:07.89,1
15,22,17:15.74,1
16,17,17:19.85,1
17,25,17:30.37,1
18,12,17:42.83,1
19,23,17:44.71,1
20,28,17:47.07,1
21,20,17:50.96,1
22,18,17:53.62,1
23,27,18:04.33,1
24,26,18:12.50,1
25,33,18:25.57,1
26,37,18:39.65,1
27,42,18:43.68,1
28,29,18:44.27,1
29,34,18:45.49,1
30,30,18:47.99,1
31,40,18:51.32,1
32,35,18:53.94,1
33,44,18:55.39,1
34,105,19:13.86,1
35,111,19:15.81,1
36,107,19:16.68,1
37,38,19:19.39,1
38,31,19:23.95,1
39,106,19:26.16,1
40,101,19:28.29,1
41,113,19:49.74,1
42,103,19:55.24,1
43,104,19:55.60,1
44,45,20:09.60,1
45,110,20:10.80,1
46,114,20:57.41,1
47,115,21:02.75,1
48,108,21:49.30,1
49,21,24:44.42,1
50,32,28:02.07,1
1,1,06:47.56,2
2,3,06:52.86,2
3,4,06:55.84,2
4,6,07:01.00,2
5,9,07:01.56,2
6,8,07:03.80,2
7,19,07:07.08,2
8,5,07:13.18,2
9,10,07:13.40,2
10,16,07:16.75,2
11,14,07:18.32,2
12,7,07:18.97,2
13,17,07:26.17,2
14,22,07:31.08,2
15,12,07:31.29,2
16,102,07:31.42,2
17,20,07:32.14,2
18,25,07:35.30,2
19,21,07:38.22,2
20,23,07:43.33,2
21,27,07:48.77,2
22,40,07:58.26,2
23,18,07:59.43,2
24,29,08:01.21,2
25,107,08:01.63,2
26,34,08:02.42,2
27,33,08:02.52,2
28,111,08:04.25,2
29,35,08:07.06,2
30,103,08:12.58,2
31,105,08:13.26,2
32,37,08:17.85,2
33,44,08:18.08,2
34,106,08:18.64,2
35,113,08:20.07,2
36,101,08:20.46,2
37,30,08:21.16,2
38,104,08:23.07,2
39,110,08:23.85,2
40,45,08:28.49,2
41,38,08:32.66,2
42,26,08:39.36,2
43,115,08:51.46,2
44,108,08:54.38,2
45,28,09:02.25,2
46,31,09:37.74,2
47,32,09:51.64,2
1,4,15:41.20,3
2,3,15:47.01,3
3,1,15:47.88,3
4,8,16:33.25,3
5,14,16:36.00,3
6,7,16:40.25,3
7,16,16:44.20,3
8,19,17:06.02,3
9,17,17:15.35,3
10,102,17:20.87,3
11,12,17:28.28,3
12,18,17:33.97,3
13,25,17:40.23,3
14,22,17:43.81,3
15,26,17:46.95,3
16,21,17:49.34,3
17,23,17:51.99,3
18,27,17:56.54,3
19,34,18:24.13,3
20,29,18:38.33,3
21,33,18:42.73,3
22,111,18:56.88,3
23,40,19:01.27,3
24,44,19:06.30,3
25,38,19:10.09,3
26,32,19:12.35,3
27,107,19:13.16,3
28,35,19:16.90,3
29,105,19:17.77,3
30,30,19:26.41,3
31,104,19:27.88,3
32,101,19:28.57,3
33,31,19:34.23,3
34,106,19:38.70,3
35,103,19:39.27,3
36,113,19:53.76,3
37,110,20:07.79,3
38,45,20:58.58,3
39,115,21:30.90,3
40,108,21:47.68,3
41,10,23:19.55,3
42,37,24:06.06,3
43,9,34:26.66,3
1,4,06:51.50,4
2,1,06:55.10,4
3,19,07:07.87,4
4,14,07:08.77,4
5,9,07:09.04,4
6,8,07:10.72,4
7,16,07:12.14,4
8,3,07:14.13,4
9,7,07:20.75,4
10,23,07:31.84,4
11,17,07:33.21,4
12,21,07:36.24,4
13,22,07:42.22,4
14,26,07:43.09,4
15,18,07:43.73,4
16,12,07:45.81,4
17,34,07:48.72,4
18,27,07:53.64,4
19,29,07:54.62,4
20,25,07:54.95,4
21,10,07:58.44,4
22,40,07:58.51,4
23,107,07:59.17,4
24,33,08:05.90,4
25,32,08:06.70,4
26,111,08:09.18,4
27,103,08:11.12,4
28,106,08:16.38,4
29,31,08:21.39,4
30,105,08:25.22,4
31,113,08:26.91,4
32,101,08:27.55,4
33,44,08:30.24,4
34,38,08:34.27,4
35,45,08:35.89,4
36,30,08:53.76,4
37,108,08:55.68,4
38,104,09:04.81,4
39,102,09:06.18,4
40,110,09:15.10,4
41,115,09:28.74,4
42,35,10:56.45,4
43,37,10:57.42,4
