,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
No,Crew,Gr/Cl,,,,
#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,15:41.22,6:47.56,15:47.88,6:55.10
#10,Argiriou Giorgos  - Paschos D. Mitsubishi Lancer Evo IX,C2,16:41.02,7:13.40,23:19.55,7:58.44
#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,19:28.29,8:20.46,19:28.57,8:27.55
#102,Stafilopatis M.  - Chatzirigas G. Ford Sierra RS Cosworth 4x4,4 2000+,16:29.47,7:31.42,17:20.87,9:06.18
#103,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,19:55.24,8:12.58,19:39.27,8:11.12
#104,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,19:55.60,8:23.07,19:27.88,9:04.81
#105,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,19:13.86,8:13.26,19:17.77,8:25.22
#106,Papadimitriou K.  - Sevastopoulos E. Toyota Starlet EP71 Turbo,4 2000,19:26.16,8:18.64,19:38.70,8:16.38
#107,Kyriakopoulos G.  - Tripintis D. Peugeot 205 Rallye,4 -1600,19:16.68,8:01.63,19:13.16,7:59.17
#108,Nomikos Mihalis  - Trovas K. Toyota Starlet KP60,4 -1600,21:49.30,8:54.38,21:47.68,8:55.68
#110,Georgakopoulos K.  - Kontos K. Toyota Corolla 1600 GT 2 Door AE86,4 -1600,20:10.80,8:23.85,20:07.79,9:15.10
#111,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,19:15.81,8:04.25,18:56.88,8:09.18
#113,Kofinas Konstantinos  - Kofinas A. Alfa Romeo Alfetta GTV,4 2000+,19:49.74,8:20.07,19:53.76,8:26.91
#114,Lykakis Ioannis  - Kabourova Maria Volkswagen Beetle,2 -1600,20:57.41,-,-,-
#115,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,21:02.75,8:51.46,21:30.90,9:28.74
#12,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,17:42.83,7:31.29,17:28.28,7:45.81
#14,Mihos Dimítris  - Heirakis Kostas Peugeot 208 Rally4,C3 F2,16:57.89,7:18.32,16:36.00,7:08.77
#15,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,16:31.37,-,-,-
#16,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,16:53.63,7:16.75,16:44.20,7:12.14
#17,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,17:19.85,7:26.17,17:15.35,7:33.21
#18,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,17:53.62,7:59.43,17:33.97,7:43.73
#19,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,17:07.89,7:07.08,17:06.02,7:07.87
#20,Nomikos Ioannis  - Nomikos Andreas Škoda Fabia S2000,C1,17:50.96,7:32.14,-,-
#21,Bistas Ioannis  - Bakloris C. Mitsubishi Lancer Evo IX,C2,24:44.42,7:38.22,17:49.34,7:36.24
#22,Stratieva Ekaterina  - Avramov G. Opel Corsa Rally4,C3 F2,17:15.74,7:31.08,17:43.81,7:42.22
#23,Vergozissis Apostolos  - Klokas S. Peugeot 106 S16,C5 F2,17:44.71,7:43.33,17:51.99,7:31.84
#25,Michail Stamatis  - Korinthios G. Peugeot 106 S16,C5 F2,17:30.37,7:35.30,17:40.23,7:54.95
#26,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,18:12.50,8:39.36,17:46.95,7:43.09
#27,Baxevanakis P.  - Skoulariotis L. Honda Civic Type-R EP3,C3 F2,18:04.33,7:48.77,17:56.54,7:53.64
#28,Koutsodimos Ioannis  - Vlagas S. Peugeot 106 S16,C6 F2,17:47.07,9:02.25,-,-
#29,Avramidis A.  - Kyrlagitsi O. Citroën Saxo VTS,C6 F2,18:44.27,8:01.21,18:38.33,7:54.62
#3,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,16:01.56,6:52.86,15:47.01,7:14.13
#30,Kougias jr  - Farakliotis Dimitris Peugeot 206 RC,C3 F2,18:47.99,8:21.16,19:26.41,8:53.76
#31,Karagiozopoulos P.  - Karkavanidis G. Seat Ibiza,C3 F2,19:23.95,9:37.74,19:34.23,8:21.39
#32,Polatsidis D.  - Verikakis K. Citroën C2,C5 F2,28:02.07,9:51.64,19:12.35,8:06.70
#33,Tsitsigiannis A.  - Tsitsigianni A. Citroën Saxo VTS,C5 F2,18:25.57,8:02.52,18:42.73,8:05.90
#34,Tomov Aleksandar  - Brankov Yavor Renault Clio Rally5,C6 F2,18:45.49,8:02.42,18:24.13,7:48.72
#35,Manouskos Nikolaos  - Manouskos E. Citroën Saxo VTS,C6 F2,18:53.94,8:07.06,19:16.90,10:56.45
#37,Anagnostakis K.  - Alexiadis D. Suzuki Swift Sport MK4,C4 F2,18:39.65,8:17.85,24:06.06,10:57.42
#38,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,19:19.39,8:32.66,19:10.09,8:34.27
#4,Papadimitriou I.  - Petropoulos N. Škoda Fabia Rally2 evo,C1,15:58.54,6:55.84,15:41.20,6:51.50
#40,Massialas Vagelis  - Moschos I. Citroën Saxo VTS,C6 F2,18:51.32,7:58.26,19:01.27,7:58.51
#42,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,18:43.68,-,-,-
#44,Michos Ioannis  - Floros C. Citroën Saxo VTS,C5 F2,18:55.39,8:18.08,19:06.30,8:30.24
