Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,15:41.22,,116.1,1
2,#4,Papadimitriou I.  - Petropoulos N. Škoda Fabia Rally2 evo,C1,15:58.54,+17.32 +  17.32,114.0 0.57,1
3,#3,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,16:01.56,+20.34 +  3.02,113.6 0.67,1
4,#5,Kampilis Panagiotis  - Stamelos S. Škoda Fabia S2000,C1,16:28.99,+47.77 +  27.43,110.5 1.57,1
5,#9,Koukeas Efstathios  - Basioukas V. Ford Fiesta R5,C1,16:29.01,+47.79 +  0.02,110.5 1.57,1
6,#102,Stafilopatis M.  - Chatzirigas G. Ford Sierra RS Cosworth 4x4,4 2000+,16:29.47,+48.25 +  0.46,110.4 1.59,1
7,#15,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,16:31.37,+50.15 +  1.90,110.2 1.65,1
8,#8,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,16:32.08,+50.86 +  0.71,110.1 1.68,1
9,#6,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,16:32.65,+51.43 +  0.57,110.1 1.69,1
10,#10,Argiriou Giorgos  - Paschos D. Mitsubishi Lancer Evo IX,C2,16:41.02,+59.80 +  8.37,109.1 1.97,1
11,#7,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,16:43.56,+1:02.34 +  2.54,108.9 2.05,1
12,#16,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,16:53.63,+1:12.41 +  10.07,107.8 2.39,1
13,#14,Mihos Dimítris  - Heirakis Kostas Peugeot 208 Rally4,C3 F2,16:57.89,+1:16.67 +  4.26,107.3 2.53,1
14,#19,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,17:07.89,+1:26.67 +  10.00,106.3 2.86,1
15,#22,Stratieva Ekaterina  - Avramov G. Opel Corsa Rally4,C3 F2,17:15.74,+1:34.52 +  7.85,105.5 3.11,1
16,#17,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,17:19.85,+1:38.63 +  4.11,105.1 3.25,1
17,#25,Michail Stamatis  - Korinthios G. Peugeot 106 S16,C5 F2,17:30.37,+1:49.15 +  10.52,104.0 3.60,1
18,#12,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,17:42.83,+2:01.61 +  12.46,102.8 4.01,1
19,#23,Vergozissis Apostolos  - Klokas S. Peugeot 106 S16,C5 F2,17:44.71,+2:03.49 +  1.88,102.6 4.07,1
20,#28,Koutsodimos Ioannis  - Vlagas S. Peugeot 106 S16,C6 F2,17:47.07,+2:05.85 +  2.36,102.4 4.15,1
21,#20,Nomikos Ioannis  - Nomikos Andreas Škoda Fabia S2000,C1,17:50.96,+2:09.74 +  3.89,102.0 4.27,1
22,#18,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,17:53.62,+2:12.40 +  2.66,101.8 4.36,1
23,#27,Baxevanakis P.  - Skoulariotis L. Honda Civic Type-R EP3,C3 F2,18:04.33,+2:23.11 +  10.71,100.8 4.72,1
24,#26,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,18:12.50,+2:31.28 +  8.17,100.0 4.98,1
25,#33,Tsitsigiannis A.  - Tsitsigianni A. Citroën Saxo VTS,C5 F2,18:25.57,+2:44.35 +  13.07,98.8 5.42,1
26,#37,Anagnostakis K.  - Alexiadis D. Suzuki Swift Sport MK4,C4 F2,18:39.65,+2:58.43 +  14.08,97.6 5.88,1
27,#42,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,18:43.68,+3:02.46 +  4.03,97.2 6.01,1
28,#29,Avramidis A.  - Kyrlagitsi O. Citroën Saxo VTS,C6 F2,18:44.27,+3:03.05 +  0.59,97.2 6.03,1
29,#34,Tomov Aleksandar  - Brankov Yavor Renault Clio Rally5,C6 F2,18:45.49,+3:04.27 +  1.22,97.1 6.07,1
30,#30,Kougias jr  - Farakliotis Dimitris Peugeot 206 RC,C3 F2,18:47.99,+3:06.77 +  2.50,96.9 6.15,1
31,#40,Massialas Vagelis  - Moschos I. Citroën Saxo VTS,C6 F2,18:51.32,+3:10.10 +  3.33,96.6 6.26,1
32,#35,Manouskos Nikolaos  - Manouskos E. Citroën Saxo VTS,C6 F2,18:53.94,+3:12.72 +  2.62,96.4 6.35,1
33,#44,Michos Ioannis  - Floros C. Citroën Saxo VTS,C5 F2,18:55.39,+3:14.17 +  1.45,96.2 6.40,1
34,#105,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,19:13.86,+3:32.64 +  18.47,94.7 7.01,1
35,#111,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,19:15.81,+3:34.59 +  1.95,94.5 7.07,1
36,#107,Kyriakopoulos G.  - Tripintis D. Peugeot 205 Rallye,4 -1600,19:16.68,+3:35.46 +  0.87,94.5 7.10,1
37,#38,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,19:19.39,+3:38.17 +  2.71,94.2 7.19,1
38,#31,Karagiozopoulos P.  - Karkavanidis G. Seat Ibiza,C3 F2,19:23.95,+3:42.73 +  4.56,93.9 7.34,1
39,#106,Papadimitriou K.  - Sevastopoulos E. Toyota Starlet EP71 Turbo,4 2000,19:26.16,+3:44.94 +  2.21,93.7 7.41,1
40,#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,19:28.29,+3:47.07 +  2.13,93.5 7.48,1
41,#113,Kofinas Konstantinos  - Kofinas A. Alfa Romeo Alfetta GTV,4 2000+,19:49.74,+4:08.52 +  21.45,91.8 8.19,1
42,#103,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,19:55.24,+4:14.02 +  5.50,91.4 8.37,1
43,#104,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,19:55.60,+4:14.38 +  0.36,91.4 8.38,1
44,#45,Bandras Gavriil  - Bogdanos Spiros Peugeot 106,C6 F2,20:09.60,+4:28.38 +  14.00,90.3 8.84,1
45,#110,Georgakopoulos K.  - Kontos K. Toyota Corolla 1600 GT 2 Door AE86,4 -1600,20:10.80,+4:29.58 +  1.20,90.2 8.88,1
46,#114,Lykakis Ioannis  - Kabourova Maria Volkswagen Beetle,2 -1600,20:57.41,+5:16.19 +  46.61,86.9 10.4,1
47,#115,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,21:02.75,+5:21.53 +  5.34,86.5 10.6,1
48,#108,Nomikos Mihalis  - Trovas K. Toyota Starlet KP60,4 -1600,21:49.30,+6:08.08 +  46.55,83.4 12.1,1
49,#21,Bistas Ioannis  - Bakloris C. Mitsubishi Lancer Evo IX,C2,24:44.42,+9:03.20 +  2:55.12,73.6 17.9,1
