,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8
No,Crew,Gr/Cl,,,,,,,,
#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,3:41.08,3:37.24,4:49.56,4:50.01,4:45.49,4:47.71,4:45.72,4:46.21
#12,Mihailakis S.  - Ligopsichakis N. Citroën DS3 R3T Max,C3 F2,4:23.51,4:17.81,12:07.66,5:28.38,5:27.34,5:28.38,5:26.05,5:20.95
#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,4:06.26,4:06.19,5:27.60,5:22.96,5:31.88,5:21.00,5:21.83,5:18.28
#15,Korovezos Dimitris  - Filikas M. Citroën Saxo VTS,C4 F2,4:16.71,-,-,-,-,-,-,-
#16,Damianakis Giannis  - Chronakis M. Peugeot 205,C4 F2,4:10.43,4:02.07,5:26.88,5:13.65,5:47.66,-,-,-
#18,Maragakis Andreas  - Argiros E. Peugeot 206,C4 F2,4:09.35,4:03.54,5:29.42,5:32.64,5:23.07,5:32.64,5:26.74,5:26.49
#19,Zervakis Mihalis  - Liodakis I. Citroën Saxo,C4 F2,4:02.49,3:59.15,5:16.09,-,-,-,-,-
#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,3:36.23,3:37.76,4:50.33,4:49.00,4:44.77,4:47.21,4:45.98,4:44.10
#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,3:58.03,3:55.50,5:08.40,5:09.15,5:02.39,5:10.17,5:05.62,5:10.02
#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,4:12.69,4:10.04,5:31.41,5:31.42,5:30.67,5:31.42,5:29.86,5:30.83
#23,Kafetzakis I.  - Providakis E. Peugeot 106,C5 F2,4:01.85,3:57.84,5:15.41,5:18.92,5:11.79,5:14.78,5:11.06,5:24.94
#24,Massialas Vagelis  - Massialas A. Citroën Saxo VTS,C6 F2,4:30.86,4:22.26,5:56.57,6:08.35,5:49.14,6:08.35,5:49.10,6:03.65
#25,Avramidis A.  - Kyrlagitsi O. Citroën Saxo VTS,C6 F2,4:23.09,4:15.96,-,-,-,-,-,-
#26,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,4:23.48,4:25.13,5:46.07,5:45.70,5:39.72,5:45.70,5:38.93,5:45.88
#27,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,4:18.64,4:16.52,5:49.49,5:49.36,5:33.90,5:49.36,5:31.03,5:37.58
#28,Kapsalakis D.  - Badalakis M. Ford Fiesta Mk5 ST,C3 F2,4:47.70,4:28.63,5:58.36,5:59.63,5:58.67,5:59.63,5:55.30,5:52.43
#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,3:56.02,3:52.83,5:05.93,5:02.46,4:59.44,5:00.46,4:56.51,4:56.95
#30,Manouskos Nikolaos  - Bogdanos S. Citroën Saxo VTS,C6 F2,4:26.61,4:23.14,5:41.68,5:51.74,5:41.59,5:51.74,5:35.61,5:48.32
#31,Kakepakis Giannis  - Dimitriou M. Peugeot 106 Rallye,C6 F2,5:04.23,5:09.84,5:31.01,5:25.54,5:20.39,5:25.54,5:18.85,5:18.62
#32,Pothitos Kostas  - Krassadakis P. Volkswagen Polo,C6 F2,4:36.22,-,-,-,-,-,-,-
#33,Stivaktakis Aris  - Roussakis E. Toyota Yaris,C6 F2,4:37.25,4:30.29,5:59.25,6:27.64,6:04.68,6:27.64,6:18.41,6:26.89
#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,3:47.37,3:44.87,4:58.97,4:58.76,4:54.07,4:58.14,4:55.16,4:53.86
#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,3:57.48,3:57.85,5:08.87,5:14.81,5:07.49,5:08.99,5:02.39,5:06.96
#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,3:59.19,3:54.68,5:17.54,5:08.43,5:07.06,5:05.26,5:07.11,5:03.49
#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,4:02.93,3:56.79,5:14.97,5:12.26,5:05.82,5:10.04,5:05.97,5:06.23
#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,4:07.24,4:04.36,5:53.15,5:44.12,5:28.19,5:35.71,5:32.80,5:27.51
#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,3:58.07,3:55.36,5:10.75,5:08.20,5:05.77,5:05.84,5:01.00,5:02.38
