Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,3:36.23,,118.9,1
2,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,3:41.08,+4.85 +  4.85,116.3 0.68,1
3,#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,3:47.37,+11.14 +  6.29,113.0 1.56,1
4,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,3:56.02,+19.79 +  8.65,108.9 2.77,1
5,#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,3:57.48,+21.25 +  1.46,108.2 2.98,1
6,#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,3:58.03,+21.80 +  0.55,108.0 3.05,1
7,#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,3:58.07,+21.84 +  0.04,108.0 3.06,1
8,#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,3:59.19,+22.96 +  1.12,107.5 3.22,1
9,#23,Kafetzakis I.  - Providakis E. Peugeot 106,C5 F2,4:01.85,+25.62 +  2.66,106.3 3.59,1
10,#19,Zervakis Mihalis  - Liodakis I. Citroën Saxo,C4 F2,4:02.49,+26.26 +  0.64,106.0 3.68,1
11,#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,4:02.93,+26.70 +  0.44,105.8 3.74,1
12,#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,4:06.26,+30.03 +  3.33,104.4 4.21,1
13,#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,4:07.24,+31.01 +  0.98,104.0 4.34,1
14,#18,Maragakis Andreas  - Argiros E. Peugeot 206,C4 F2,4:09.35,+33.12 +  2.11,103.1 4.64,1
15,#16,Damianakis Giannis  - Chronakis M. Peugeot 205,C4 F2,4:10.43,+34.20 +  1.08,102.6 4.79,1
16,#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,4:12.69,+36.46 +  2.26,101.7 5.11,1
