1,5,F2,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΙΩΑ...  ΚΥΠΑΡΙΣΣΑΣ ΔΗΜΗΤΡΙΟΣ  CITROEN DS3,C3  R3T,10:27.64,108.98,km/h
2,2,,ΚΑΛΟΥΔΗΣ ΓΑΒΡΙΗΛ ΤΟΠΟΥΖΗΣ ΑΘΑΝΑΣΙΟΣ  MITSUBISHI LANCER,C2  A8,10:28.49,108.83,km/h
3,1,,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ ΠΑΠΑΘΩΜΑΣ ΘΩΜΑΣ  OPEL ASTRA H,C2  E12T,10:36.12,107.53,km/h
4,11,F2,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ  PEUGEOT 106,C5  A6,10:50.95,105.08,km/h
5,4,,ΣΩΤΗΡΙΑΔΗΣ ΝΙΚΟΛΑΟΣ ΚΑΛΙΓΚΟΣ ΑΘΑΝΑΣΙΟΣ MITSUBISHI LANCER,C2  N4,10:51.19,105.04,km/h
6,12,F2,ΚΑΤΣΙΩΝΗΣ ΘΕΟΦΙΛΟΣ ΘΕΟΦΑΝΙΔΗΣ ΧΡΗΣΤΟΣ Κ.  CITROEN SAXO,C4  E10,10:58.91,103.81,km/h
7,9,F2,ΠΑΡΑΣΚΕΥΑΙΔΗΣ ΓΕΩΡ... ΣΑΡΗΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ CITROEN ZX,C3  E11,10:59.33,103.74,km/h
8,6,F2,ΜΠΑ-ΕΒΑΝΑΚΗΣ ΠΑΥΛΟΣ ΜΠΕΜΠΗΣ ΓΕΩΡΓΙΟΣ HONDA CIVIC EP3,C3  A7,10:59.59,103.7,km/h
9,3,,ΓΟΡΙΤΣΑΣ ΠΟΣΕΙΔΩΝ ΣΠΥΡΟΥ ΑΠΟΣΤΟΛΟΣ MITSUBISHI LANCER,C2  N4,11:03.02,103.16,km/h
10,14,F2,ΜΑΥΡΟΔΗΣ ΔΙΟΝΥΣΙΟΣ  ΚΑΡΑΒΑΣΙΛΙΚΟΣ ΘΕΟ...  CITROEN C2,C5  R2B,11:04.20,102.98,km/h
11,15,F2,ΔΗΜΟΣ ΑΛΕ-ΑΝΔΡΟΣ ΝΤΙΤΟΡΑΣ ΑΘΑΝΑΣΙΟΣ  CITROEN SAXO,C5  A6,11:14.26,101.44,km/h
12,7,F2,ΒΑΤΣΟΣ ΝΙΚΟΛΑΟΣ ΚΥΡΛΑΓΚΙΤΣΗ ΜΑΡΙΑ ΑΝ.  RENAULT CLIO 3,C3  R3C,11:14.96,101.34,km/h
13,10,F2,ΘΕΟΦΑΝΙΔΗΣ ΣΥΜΕΩΝ ΚΟΥΜΠΩΤΗΣ ΔΗΜΗΤΡΙΟΣ PEUGEOT 207,C3  R3T,11:39.66,97.76,km/h
14,21,F2,ΠΑΖΗΣ ΣΩΚΡΑΤΗΣ ΜΠΙΛΑΔΕΡΗΣ ΒΑΣΙΛΕΙΟΣ  NISSAN MICRA K12,C6  N2,12:17.33,92.77,km/h
15,22,F2,ΤΣΑΚΙΡΟΓΛΟΥ ΑΛΕ-Α...  ΚΕΧΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ  OPEL MANTA,C3  E11,13:04.10,87.23,km/h
16,23,F2,ΚΟΥΚΑΣ ΣΤΑΥΡΟΣ ΑΒΡΑΜΙΔΗΣ ΑΠΟΣΤΟΛΟΣ  PEUGEOT 306,C3  E11,14:32.26,78.42,km/h
17,18,F2,ΡΑΚΙΤΖΗΣ ΓΡΗΓΟΡΙΟΣ  ΚΟΜΜΑΤΑΣ ΓΕΩΡΓΙΟΣ  PEUGEOT 206,C5  A6,14:38.34,77.87,km/h
