,,,F2,F2,ss_time,ss_time
ss,,,1,2,1,2
No,Crew,Gr/Cl,,,,
1,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ ΠΑΠΑΘΩΜΑΣ ΘΩΜΑΣ  OPEL ASTRA H,C2  E12T,-,-,10:31.73,10:36.12
2,ΚΑΛΟΥΔΗΣ ΓΑΒΡΙΗΛ ΤΟΠΟΥΖΗΣ ΑΘΑΝΑΣΙΟΣ  MITSUBISHI LANCER,C2  A8,-,-,10:37.51,10:28.49
3,ΓΟΡΙΤΣΑΣ ΠΟΣΕΙΔΩΝ ΣΠΥΡΟΥ ΑΠΟΣΤΟΛΟΣ MITSUBISHI LANCER,C2  N4,-,-,11:00.09,11:03.02
4,ΣΩΤΗΡΙΑΔΗΣ ΝΙΚΟΛΑΟΣ ΚΑΛΙΓΚΟΣ ΑΘΑΝΑΣΙΟΣ MITSUBISHI LANCER,C2  N4,-,-,10:51.18,10:51.19
6,ΜΠΑ-ΕΒΑΝΑΚΗΣ ΠΑΥΛΟΣ ΜΠΕΜΠΗΣ ΓΕΩΡΓΙΟΣ HONDA CIVIC EP3,C3  A7,F2,F2,11:00.06,10:59.59
7,ΒΑΤΣΟΣ ΝΙΚΟΛΑΟΣ ΚΥΡΛΑΓΚΙΤΣΗ ΜΑΡΙΑ ΑΝ.  RENAULT CLIO 3,C3  R3C,F2,F2,11:07.20,11:14.96
8,ΠΥΚΝΑΔΑΣ ΧΡΗΣΤΟΣ ΜΕΛΕΤΗΣ ΑΘΑΝΑΣΙΟΣ VOLKSWAGEN GOLF MK3,C3  A7,F2,-,13:03.22,-
9,ΠΑΡΑΣΚΕΥΑΙΔΗΣ ΓΕΩΡ... ΣΑΡΗΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ CITROEN ZX,C3  E11,F2,F2,10:59.33,10:59.33
10,ΘΕΟΦΑΝΙΔΗΣ ΣΥΜΕΩΝ ΚΟΥΜΠΩΤΗΣ ΔΗΜΗΤΡΙΟΣ PEUGEOT 207,C3  R3T,F2,F2,11:43.12,11:39.66
11,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ  PEUGEOT 106,C5  A6,-,F2,-,10:50.95
11,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ PEUGEOT 106,C5  A6,F2,-,10:49.66,-
12,ΚΑΤΣΙΩΝΗΣ ΘΕΟΦΙΛΟΣ ΘΕΟΦΑΝΙΔΗΣ ΧΡΗΣΤΟΣ Κ.  CITROEN SAXO,C4  E10,F2,F2,10:54.80,10:58.91
14,ΜΑΥΡΟΔΗΣ ΔΙΟΝΥΣΙΟΣ  ΚΑΡΑΒΑΣΙΛΙΚΟΣ ΘΕΟ...  CITROEN C2,C5  R2B,F2,F2,11:10.91,11:04.20
15,ΔΗΜΟΣ ΑΛΕ-ΑΝΔΡΟΣ ΝΤΙΤΟΡΑΣ ΑΘΑΝΑΣΙΟΣ  CITROEN SAXO,C5  A6,-,F2,-,11:14.26
15,ΔΗΜΟΣ ΑΛΕξΑΝΔΡΟΣ ΝΤΙΤΟΡΑΣ ΑΘΑΝΑΣΙΟΣ  CITROEN SAXO,C5  A6,F2,-,11:13.92,-
18,ΡΑΚΙΤΖΗΣ ΓΡΗΓΟΡΙΟΣ  ΚΟΜΜΑΤΑΣ ΓΕΩΡΓΙΟΣ  PEUGEOT 206,C5  A6,-,F2,-,14:38.34
18,ΡΑΚΙΤΖΗΣ ΓΡΗΓΟΡΙΟΣ ΚΟΜΜΑΤΑΣ ΓΕΩΡΓΙΟΣ  PEUGEOT 206,C5  A6,F2,-,12:58.87,-
19,ΜΠΑΞΕΒΑΝΑΚΗΣ ΑΝΤΩ...  ΡΕΝΤΖΟΥΛΗΣ ΜΙΧΑΗΛ  TOYOTA YARIS,C6  A5,F2,-,12:13.17,-
21,ΠΑΖΗΣ ΣΩΚΡΑΤΗΣ ΜΠΙΛΑΔΕΡΗΣ ΒΑΣΙΛΕΙΟΣ  NISSAN MICRA K12,C6  N2,F2,F2,12:24.37,12:17.33
22,ΤΣΑΚΙΡΟΓΛΟΥ ΑΛΕ-Α...  ΚΕΧΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ  OPEL MANTA,C3  E11,-,F2,-,13:04.10
22,ΤΣΑΚΙΡΟΓΛΟΥ ΑΛΕΞΑ...  ΚΕΧΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ  OPEL MANTA,C3  E11,F2,-,13:25.09,-
23,ΚΟΥΚΑΣ ΣΤΑΥΡΟΣ ΑΒΡΑΜΙΔΗΣ ΑΠΟΣΤΟΛΟΣ  PEUGEOT 306,C3  E11,F2,F2,14:34.21,14:32.26
