Pos.,No,F2,Crew,Gr/Cl,ss_time,Speed,meas,ss
2,1,,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ ΠΑΠΑΘΩΜΑΣ ΘΩΜΑΣ  OPEL ASTRA H,C2  E12T,10:31.73,108.27,km/h,1
3,2,,ΚΑΛΟΥΔΗΣ ΓΑΒΡΙΗΛ ΤΟΠΟΥΖΗΣ ΑΘΑΝΑΣΙΟΣ  MITSUBISHI LANCER,C2  A8,10:37.51,107.29,km/h,1
4,11,F2,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ PEUGEOT 106,C5  A6,10:49.66,105.29,km/h,1
5,4,,ΣΩΤΗΡΙΑΔΗΣ ΝΙΚΟΛΑΟΣ ΚΑΛΙΓΚΟΣ ΑΘΑΝΑΣΙΟΣ MITSUBISHI LANCER,C2  N4,10:51.18,105.04,km/h,1
6,12,F2,ΚΑΤΣΙΩΝΗΣ ΘΕΟΦΙΛΟΣ ΘΕΟΦΑΝΙΔΗΣ ΧΡΗΣΤΟΣ Κ.  CITROEN SAXO,C4  E10,10:54.80,104.46,km/h,1
7,9,F2,ΠΑΡΑΣΚΕΥΑΙΔΗΣ ΓΕΩΡ... ΣΑΡΗΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ CITROEN ZX,C3  E11,10:59.33,103.74,km/h,1
8,6,F2,ΜΠΑ-ΕΒΑΝΑΚΗΣ ΠΑΥΛΟΣ ΜΠΕΜΠΗΣ ΓΕΩΡΓΙΟΣ HONDA CIVIC EP3,C3  A7,11:00.06,103.63,km/h,1
9,3,,ΓΟΡΙΤΣΑΣ ΠΟΣΕΙΔΩΝ ΣΠΥΡΟΥ ΑΠΟΣΤΟΛΟΣ MITSUBISHI LANCER,C2  N4,11:00.09,103.62,km/h,1
10,7,F2,ΒΑΤΣΟΣ ΝΙΚΟΛΑΟΣ ΚΥΡΛΑΓΚΙΤΣΗ ΜΑΡΙΑ ΑΝ.  RENAULT CLIO 3,C3  R3C,11:07.20,102.52,km/h,1
11,14,F2,ΜΑΥΡΟΔΗΣ ΔΙΟΝΥΣΙΟΣ  ΚΑΡΑΒΑΣΙΛΙΚΟΣ ΘΕΟ...  CITROEN C2,C5  R2B,11:10.91,101.95,km/h,1
12,15,F2,ΔΗΜΟΣ ΑΛΕξΑΝΔΡΟΣ ΝΤΙΤΟΡΑΣ ΑΘΑΝΑΣΙΟΣ  CITROEN SAXO,C5  A6,11:13.92,101.5,km/h,1
13,10,F2,ΘΕΟΦΑΝΙΔΗΣ ΣΥΜΕΩΝ ΚΟΥΜΠΩΤΗΣ ΔΗΜΗΤΡΙΟΣ PEUGEOT 207,C3  R3T,11:43.12,97.28,km/h,1
14,19,F2,ΜΠΑΞΕΒΑΝΑΚΗΣ ΑΝΤΩ...  ΡΕΝΤΖΟΥΛΗΣ ΜΙΧΑΗΛ  TOYOTA YARIS,C6  A5,12:13.17,93.29,km/h,1
15,21,F2,ΠΑΖΗΣ ΣΩΚΡΑΤΗΣ ΜΠΙΛΑΔΕΡΗΣ ΒΑΣΙΛΕΙΟΣ  NISSAN MICRA K12,C6  N2,12:24.37,91.89,km/h,1
16,18,F2,ΡΑΚΙΤΖΗΣ ΓΡΗΓΟΡΙΟΣ ΚΟΜΜΑΤΑΣ ΓΕΩΡΓΙΟΣ  PEUGEOT 206,C5  A6,12:58.87,87.82,km/h,1
17,8,F2,ΠΥΚΝΑΔΑΣ ΧΡΗΣΤΟΣ ΜΕΛΕΤΗΣ ΑΘΑΝΑΣΙΟΣ VOLKSWAGEN GOLF MK3,C3  A7,13:03.22,87.33,km/h,1
18,22,F2,ΤΣΑΚΙΡΟΓΛΟΥ ΑΛΕΞΑ...  ΚΕΧΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ  OPEL MANTA,C3  E11,13:25.09,84.96,km/h,1
19,23,F2,ΚΟΥΚΑΣ ΣΤΑΥΡΟΣ ΑΒΡΑΜΙΔΗΣ ΑΠΟΣΤΟΛΟΣ  PEUGEOT 306,C3  E11,14:34.21,78.24,km/h,1
2,2,,ΚΑΛΟΥΔΗΣ ΓΑΒΡΙΗΛ ΤΟΠΟΥΖΗΣ ΑΘΑΝΑΣΙΟΣ  MITSUBISHI LANCER,C2  A8,10:28.49,108.83,km/h,2
3,1,,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ ΠΑΠΑΘΩΜΑΣ ΘΩΜΑΣ  OPEL ASTRA H,C2  E12T,10:36.12,107.53,km/h,2
4,11,F2,ΣΤΕΡΓΙΑΔΗΣ ΑΘΑΝΑΣΙΟΣ ΓΑΖΓΑΖΗΣ ΠΑΝΑΓΙΩΤΗΣ  PEUGEOT 106,C5  A6,10:50.95,105.08,km/h,2
5,4,,ΣΩΤΗΡΙΑΔΗΣ ΝΙΚΟΛΑΟΣ ΚΑΛΙΓΚΟΣ ΑΘΑΝΑΣΙΟΣ MITSUBISHI LANCER,C2  N4,10:51.19,105.04,km/h,2
6,12,F2,ΚΑΤΣΙΩΝΗΣ ΘΕΟΦΙΛΟΣ ΘΕΟΦΑΝΙΔΗΣ ΧΡΗΣΤΟΣ Κ.  CITROEN SAXO,C4  E10,10:58.91,103.81,km/h,2
7,9,F2,ΠΑΡΑΣΚΕΥΑΙΔΗΣ ΓΕΩΡ... ΣΑΡΗΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ CITROEN ZX,C3  E11,10:59.33,103.74,km/h,2
8,6,F2,ΜΠΑ-ΕΒΑΝΑΚΗΣ ΠΑΥΛΟΣ ΜΠΕΜΠΗΣ ΓΕΩΡΓΙΟΣ HONDA CIVIC EP3,C3  A7,10:59.59,103.7,km/h,2
9,3,,ΓΟΡΙΤΣΑΣ ΠΟΣΕΙΔΩΝ ΣΠΥΡΟΥ ΑΠΟΣΤΟΛΟΣ MITSUBISHI LANCER,C2  N4,11:03.02,103.16,km/h,2
10,14,F2,ΜΑΥΡΟΔΗΣ ΔΙΟΝΥΣΙΟΣ  ΚΑΡΑΒΑΣΙΛΙΚΟΣ ΘΕΟ...  CITROEN C2,C5  R2B,11:04.20,102.98,km/h,2
11,15,F2,ΔΗΜΟΣ ΑΛΕ-ΑΝΔΡΟΣ ΝΤΙΤΟΡΑΣ ΑΘΑΝΑΣΙΟΣ  CITROEN SAXO,C5  A6,11:14.26,101.44,km/h,2
12,7,F2,ΒΑΤΣΟΣ ΝΙΚΟΛΑΟΣ ΚΥΡΛΑΓΚΙΤΣΗ ΜΑΡΙΑ ΑΝ.  RENAULT CLIO 3,C3  R3C,11:14.96,101.34,km/h,2
13,10,F2,ΘΕΟΦΑΝΙΔΗΣ ΣΥΜΕΩΝ ΚΟΥΜΠΩΤΗΣ ΔΗΜΗΤΡΙΟΣ PEUGEOT 207,C3  R3T,11:39.66,97.76,km/h,2
14,21,F2,ΠΑΖΗΣ ΣΩΚΡΑΤΗΣ ΜΠΙΛΑΔΕΡΗΣ ΒΑΣΙΛΕΙΟΣ  NISSAN MICRA K12,C6  N2,12:17.33,92.77,km/h,2
15,22,F2,ΤΣΑΚΙΡΟΓΛΟΥ ΑΛΕ-Α...  ΚΕΧΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ  OPEL MANTA,C3  E11,13:04.10,87.23,km/h,2
16,23,F2,ΚΟΥΚΑΣ ΣΤΑΥΡΟΣ ΑΒΡΑΜΙΔΗΣ ΑΠΟΣΤΟΛΟΣ  PEUGEOT 306,C3  E11,14:32.26,78.42,km/h,2
17,18,F2,ΡΑΚΙΤΖΗΣ ΓΡΗΓΟΡΙΟΣ  ΚΟΜΜΑΤΑΣ ΓΕΩΡΓΙΟΣ  PEUGEOT 206,C5  A6,14:38.34,77.87,km/h,2
