A/A,No,ΣΩΜΑΤΕΙΟ,ΟΔΗΓΟΣ,ΣΩΜΑΤΕΙΟ,ΣΥΝΟΔΗΓΟΣ,ΟΧΗΜΑ,ΚΑΤ./ ΚΛΑΣΗ
1,1,ΕΛΛΑΔΑ,ΚΟΥΚΕΑΣ ΕΥΣΤΑΘΙΟΣ,ΑΟΛΑΠΥΡΓΟΥ,ΠΕΤΡΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ,FORD FIESTA,C1 R5/Rally2
2,2,START LINE,ΝΟΜΙΚΟΣ ΑΝΔΡΕΑΣ,ΑΣΣΟΑΑ,ΡΑΒΑΝΗΣ ΙΩΑΝΝΗΣ,SKODA FABIA,C1 S2000R
3,3,ΕΛΕΤΑ,ΑΝΤΩΝΙΟΥ ΑΝΤΩΝΙΟΣ,ΑΟΘΕΣ/ΚΗΣ,ΒΙΓΚΟΣ ΑΝΔΡΕΑΣ,MITSUBISHI LANCER,C2 A8
4,4,ΕΛΕΤΑ,ΚΑΝΔΗΛΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ,ΕΛΕΤΑ,ΠΑΠΑΝΔΡΕΟΥ ΠΑΝΤΕΛΗΣ,MITSUBISHI LANCER,C2 A8
5,5,ΑΛΜΑ ΑΙΓΙΟΥ,ΑΥΓΕΡΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΓΙΑΒΑΣΗΣ ΕΥΣΤΡΑΤΙΟΣ,CITROEN SAXO VTS,"C4 E10, F2"
6,6,ΟΜΑΘΕΣΣΑΛΙΑΣ,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ,ΛΑΤΡΙΚΑΛΩΝ,ΓΡΗΓΟΡΙΟΥ ΣΩΤΗΡΙΟΣ,OPEL ASTRA H,C2 E12A
7,7,ΑΛΑΚΟΡΙΝΘΙΑΣ,ΔΑΣΚΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,ΑΛΑΚΟΡΙΝΘΙΑΣ,ΜΟΥΚΑΣ ΕΥΑΓΓΕΛΟΣ,MITSUBISHI LANCER,C2 N4
8,8,ΑΛΜΑ ΑΙΓΙΟΥ,ΤΖΙΚΟΠΟΥΛΟΣ ΠΑΝΤΕΛΗΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,RENAULT CLIO 3,"C3 A7, F2"
9,9,ΑΣΣΟΑΑ,ΠΑΝΤΕΛΑΚΗΣ ΓΕΩΡΓΙΟΣ Π,ΕΛΛΑΔΑ,ΟΡΦΑΝΟΣ ΕΥΣΤΡΑΤΙΟΣ,RENAULT CLIO 3,"C3 R3C, F2"
10,10,ΑΛΜΑ ΑΙΓΙΟΥ,ΚΑΜΠΕΡΟΣ ΑΛΕΞΙΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΝΙΚΟΛΑΟΥ ΒΑΣΙΛΕΙΟΣ,FORD FOCUS,"C3 E11, F2"
11,11,ΟΜΑΘΕΣΣΑΛΙΑΣ,ΚΑΠΡΑΛΟΣ ΔΗΜΗΤΡΗΣ ΧΡ,ΕΛΛΑΔΑ,ΚΑΡΑΘΑΝΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,OPEL ASTRA G,"C3 E11, F2"
