A/A,No,ΟΔΗΓΟΣ,ΣΥΝΟΔΗΓΟΣ,ΟΧΗΜΑ,ΚΑΤ./ ΚΛΑΣΗ,1,2
1,1,ΚΟΥΚΕΑΣ ΕΥΣΤΑΘΙΟΣ,ΠΕΤΡΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ,FORD FIESTA,C1 R5/Rally2,09:33.76,09:40.53
2,2,ΝΟΜΙΚΟΣ ΑΝΔΡΕΑΣ,ΡΑΒΑΝΗΣ ΙΩΑΝΝΗΣ,SKODA FABIA,C1 S2000R,09:46.42,09:55.82
3,3,ΑΝΤΩΝΙΟΥ ΑΝΤΩΝΙΟΣ,ΒΙΓΚΟΣ ΑΝΔΡΕΑΣ,MITSUBISHI LANCER,C2 A8,#N/A,#N/A
4,4,ΚΑΝΔΗΛΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ,ΠΑΠΑΝΔΡΕΟΥ ΠΑΝΤΕΛΗΣ,MITSUBISHI LANCER,C2 A8,11:18.67,10:05.59
5,5,ΑΥΓΕΡΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,ΓΙΑΒΑΣΗΣ ΕΥΣΤΡΑΤΙΟΣ,CITROEN SAXO VTS,"C4 E10, F2",10:28.64,#N/A
6,6,ΓΕΡΟΔΗΜΟΣ ΓΕΩΡΓΙΟΣ,ΓΡΗΓΟΡΙΟΥ ΣΩΤΗΡΙΟΣ,OPEL ASTRA H,C2 E12A,09:53.09,09:41.85
7,7,ΔΑΣΚΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,ΜΟΥΚΑΣ ΕΥΑΓΓΕΛΟΣ,MITSUBISHI LANCER,C2 N4,10:36.78,10:20.36
8,8,ΤΖΙΚΟΠΟΥΛΟΣ ΠΑΝΤΕΛΗΣ,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ,RENAULT CLIO 3,"C3 A7, F2",10:33.67,10:25.56
9,9,ΠΑΝΤΕΛΑΚΗΣ ΓΕΩΡΓΙΟΣ Π,ΟΡΦΑΝΟΣ ΕΥΣΤΡΑΤΙΟΣ,RENAULT CLIO 3,"C3 R3C, F2",10:35.14,10:35.68
10,10,ΚΑΜΠΕΡΟΣ ΑΛΕΞΙΟΣ,ΝΙΚΟΛΑΟΥ ΒΑΣΙΛΕΙΟΣ,FORD FOCUS,"C3 E11, F2",10:39.57,10:37.61
11,11,ΚΑΠΡΑΛΟΣ ΔΗΜΗΤΡΗΣ ΧΡ,ΚΑΡΑΘΑΝΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,OPEL ASTRA G,"C3 E11, F2",10:01.76,10:12.05
12,12,ΚΑΤΣΑΡΕΛΙΑΣ ΕΜΜΑΝΟΥΗΛ Γ,ΞΑΝΘΟΣ ΝΙΚΟΛΑΟΣ,VOLKSWAGEN GOLF,"C3 E11, F2",10:21.93,10:19.96
13,14,ΜΟΣΧΟΣ ΑΘΑΝΑΣΙΟΣ,ΣΑΜΑΡΤΖΗΣ ΙΩΑΝΝΗΣΣ,RENAULT CLIO 1,"C3 E11, F2",09:44.77,#N/A
14,15,ΚΑΜΠΕΡΟΣ ΓΟΥΙΛΛΙΑΜ,ΚΑΜΠΕΡΟΥ ΧΡΥΣΑΝΘΗ,FORD FOCUS,"C3 E11, F2",11:09.41,10:54.58
15,16,ΚΑΠΟΥΡΕΛΑΚΟΣ ΚΩΝ/ΝΟΣ,ΖΑΜΠΕΛΗ ΓΕΩΡΓΙΑ,BMW 320 E30,"C3 E11, F2",#N/A,#N/A
16,17,ΚΟΠΑΝΑΚΗΣ ΓΕΩΡΓΙΟΣ,ΦΑΡΜΑΚΗΣ ΧΡΗΣΤΟΣ,OPEL CORSA C,"C4 S1600, F2",10:17.24,11:33.58
17,18,ΚΑΡΑΘΑΝΑΣΗΣ ΝΙΚΟΛΑΟΣ,ΚΑΡΑΘΑΝΑΣΗΣ ΒΑΣΙΛΕΙΟΣ,HONDA CIVIC EP 3,"C5 N3, F2",10:10.93,09:58.72
18,19,ΚΟΝΔΥΛΗΣ ΠΑΝΑΓΙΩΤΗΣ,ΤΣΟΛΑΚΗΣ ΑΔΑΜ,PEUGEOT 106 S16,"C5 A6, F2",10:07.90,10:12.98
19,20,ΠΑΝΤΙΕΡΑΣ ΣΤΑΜΑΤΙΟΣ,ΚΟΥΡΤΙΔΟΥ ΒΑΣΙΛΙΚΗ,TOYOTA YARIS,"C6 A5, F2",10:26.45,10:20.62
20,21,ΚΟΜΝΟΣ ΝΙΚΟΛΑΟΣ ΑΔΑΜ,ΚΟΝΤΟΣ ΝΙΚΟΛΑΟΣ,CITROEN SAXO VTS,"C5 A6, F2",10:45.61,10:02.68
21,22,ΘΩΜΑΣ ΓΕΩΡΓΙΟΣ,ΤΣΙΩΝΗΣ ΙΩΑΝΝΗΣ,PEUGEOT 205,"C4 E10, F2",#N/A,#N/A
22,23,ΚΑΡΟΥΖΟΣ ΓΕΩΡΓΙΟΣ,ΜΠΡΑΒΟΣ ΠΑΝΑΓΙΩΤΗΣ,TOYOTA COROLLA AE 86,"C4 E10, F2",11:26.06,11:20.16
23,24,ΖΙΖΑΣ ΑΓΗΣΙΛΑΟΣ,ΒΑΡΣΟΣ ΑΡΙΣΤΕΙΔΗΣ,HONDA CIVIC EP 3,"C5 N3, F2",10:52.34,10:57.62
