No,Time,SS
1,09:33.76,1
14,09:44.77,1
2,09:46.42,1
6,09:53.09,1
11,10:01.76,1
19,10:07.90,1
18,10:10.93,1
17,10:17.24,1
12,10:21.93,1
20,10:26.45,1
27,10:28.23,1
5,10:28.64,1
31,10:31.37,1
8,10:33.67,1
9,10:35.14,1
7,10:36.78,1
10,10:39.57,1
32,10:43.47,1
29,10:45.52,1
21,10:45.61,1
24,10:52.34,1
30,10:59.46,1
15,11:09.41,1
4,11:18.67,1
23,11:26.06,1
25,19:02.05,1
33,11:00.00,1
34,11:00.00,1
35,11:00.00,1
36,11:00.00,1
37,11:00.00,1
38,11:00.00,1
39,11:00.00,1
40,11:00.00,1
41,11:00.00,1
42,11:00.00,1
43,11:00.00,1
