,,,ss_time,ss_time
ss,,,1,2
No,Crew,Gr/Cl,,
#1,Koukeas E.  - Petropoulos N. Ford Fiesta R5,C1,9:33.76,9:40.53
#10,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,10:39.57,10:37.61
#11,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,10:01.76,10:12.05
#12,Katsarelias E.  - Xanthos N. Volkswagen Golf III,C3 F2,10:21.93,10:19.96
#14,Moschos A.  - Samartzis I. Renault Clio Maxi,C3 F2,9:44.77,-
#15,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,11:09.41,10:54.58
#17,Kopanakis Giorgos  - Farmakis C. Opel Corsa S1600,C4 F2,10:17.24,11:33.58
#18,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,10:10.93,9:58.72
#19,Kondilis Panagiotis  - Tsolakis A. Peugeot 106,C5 F2,10:07.90,10:12.98
#2,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,9:46.42,9:55.82
#20,Pantieras Stamatis  - Kourtidou V. Toyota Yaris,C6 F2,10:26.45,10:20.62
#21,Komnos Nikos  - Kontos Nikos Citroën Saxo VTS,C5 F2,10:45.61,10:02.68
#23,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,11:26.06,11:20.16
#24,Zizas Agis  - Varsos Aristidis Honda Civic Type-R EP3,C5 F2,10:52.34,10:57.62
#25,Zois Dimitris  - Sainis Dimitris Peugeot 208 R2,C5 F2,19:12.05,10:21.92
#27,Basdelis Giorgos  - Dourdoumas P. Nissan Micra K12,C6 F2,10:28.23,-
#29,Kouniakis K.  - Vardakis K. Peugeot 106,C6 F2,10:45.52,10:39.30
#30,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,10:59.46,10:38.06
#31,Tiros Nikos  - Polichronopoulos G. Peugeot 106 S16,C6 F2,10:31.37,10:25.71
#32,Mavromatis Marinos  - Marinis A. Peugeot 106 S16,C6 F2,10:43.47,10:51.03
#33,Stafilopatis M.  - Chatzirigas G. BMW M3 E30,4 2000+,11:00.00,10:07.49
#34,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,11:00.00,10:44.00
#35,Gerovassilis A.  - Verikakis K. Fiat 131 Racing,4 2000,11:00.00,10:51.21
#36,Kofinas Konstantinos  - Kofinas A. Alfa Romeo Alfetta GTV,4 2000+,11:00.00,13:24.71
#37,Kyriakopoulos G.  - Tripintis D. Peugeot 205 Rallye,4 1600,11:00.00,11:00.80
#38,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,11:00.00,10:29.83
#39,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,11:00.00,11:14.88
#4,Kandiliotis V.  - Papandreou P. Mitsubishi Lancer Evo VI,C2,11:18.67,10:05.59
#40,Tsiplantonis K.  - Vavas T. Fiat 124,3 1600,11:00.00,-
#41,Kassidopoulos Giorgos  - Pallas A. Toyota Starlet KP60,3 1600,11:00.00,11:47.42
#42,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,11:00.00,12:33.43
#43,Lykakis Ioannis  - Kabourova Maria Volkswagen Beetle,2 2000,11:00.00,-
#5,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,10:28.64,-
#6,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,9:53.09,9:41.85
#7,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,10:36.78,10:20.36
#8,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,10:33.67,10:25.56
#9,Pantelakis Giorgos  - Orfanos E. Renault Clio R3 Maxi,C3 F2,10:35.14,10:35.68
