Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Koukeas E.  - Petropoulos N. Ford Fiesta R5,C1,9:33.76,,110.1,1
2,#14,Moschos A.  - Samartzis I. Renault Clio Maxi,C3 F2,9:44.77,+11.01 +  11.01,108.0 0.63,1
3,#2,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,9:46.42,+12.66 +  1.65,107.7 0.72,1
4,#6,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,9:53.09,+19.33 +  6.67,106.5 1.10,1
5,#11,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,10:01.76,+28.00 +  8.67,105.0 1.60,1
6,#19,Kondilis Panagiotis  - Tsolakis A. Peugeot 106,C5 F2,10:07.90,+34.14 +  6.14,103.9 1.95,1
7,#18,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,10:10.93,+37.17 +  3.03,103.4 2.12,1
8,#17,Kopanakis Giorgos  - Farmakis C. Opel Corsa S1600,C4 F2,10:17.24,+43.48 +  6.31,102.4 2.48,1
9,#12,Katsarelias E.  - Xanthos N. Volkswagen Golf III,C3 F2,10:21.93,+48.17 +  4.69,101.6 2.74,1
10,#20,Pantieras Stamatis  - Kourtidou V. Toyota Yaris,C6 F2,10:26.45,+52.69 +  4.52,100.9 3.00,1
11,#27,Basdelis Giorgos  - Dourdoumas P. Nissan Micra K12,C6 F2,10:28.23,+54.47 +  1.78,100.6 3.10,1
12,#5,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,10:28.64,+54.88 +  0.41,100.5 3.13,1
13,#31,Tiros Nikos  - Polichronopoulos G. Peugeot 106 S16,C6 F2,10:31.37,+57.61 +  2.73,100.1 3.28,1
14,#8,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,10:33.67,+59.91 +  2.30,99.7 3.41,1
15,#9,Pantelakis Giorgos  - Orfanos E. Renault Clio R3 Maxi,C3 F2,10:35.14,+1:01.38 +  1.47,99.5 3.50,1
16,#7,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,10:36.78,+1:03.02 +  1.64,99.2 3.59,1
17,#10,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,10:39.57,+1:05.81 +  2.79,98.8 3.75,1
18,#32,Mavromatis Marinos  - Marinis A. Peugeot 106 S16,C6 F2,10:43.47,+1:09.71 +  3.90,98.2 3.97,1
19,#29,Kouniakis K.  - Vardakis K. Peugeot 106,C6 F2,10:45.52,+1:11.76 +  2.05,97.9 4.09,1
20,#21,Komnos Nikos  - Kontos Nikos Citroën Saxo VTS,C5 F2,10:45.61,+1:11.85 +  0.09,97.9 4.09,1
21,#24,Zizas Agis  - Varsos Aristidis Honda Civic Type-R EP3,C5 F2,10:52.34,+1:18.58 +  6.73,96.9 4.48,1
22,#30,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,10:59.46,+1:25.70 +  7.12,95.8 4.88,1
23,#33,Stafilopatis M.  - Chatzirigas G. BMW M3 E30,4 2000+,11:00.00,+1:26.24 +  0.54,95.7 4.91,1
23,#34,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#35,Gerovassilis A.  - Verikakis K. Fiat 131 Racing,4 2000,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#36,Kofinas Konstantinos  - Kofinas A. Alfa Romeo Alfetta GTV,4 2000+,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#37,Kyriakopoulos G.  - Tripintis D. Peugeot 205 Rallye,4 1600,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#38,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#39,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#40,Tsiplantonis K.  - Vavas T. Fiat 124,3 1600,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#41,Kassidopoulos Giorgos  - Pallas A. Toyota Starlet KP60,3 1600,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#42,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
23,#43,Lykakis Ioannis  - Kabourova Maria Volkswagen Beetle,2 2000,11:00.00,+1:26.24 +  0.00,95.7 4.91,1
34,#15,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,11:09.41,+1:35.65 +  9.41,94.4 5.45,1
35,#4,Kandiliotis V.  - Papandreou P. Mitsubishi Lancer Evo VI,C2,11:18.67,+1:44.91 +  9.26,93.1 5.98,1
36,#23,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,11:26.06,+1:52.30 +  7.39,92.1 6.40,1
37,#25,Zois Dimitris  - Sainis Dimitris Peugeot 208 R2,C5 F2,19:12.05,+9:38.29 +  7:45.99,54.8 33.0,1
1,#1,Koukeas E.  - Petropoulos N. Ford Fiesta R5,C1,9:40.53,,108.8,2
2,#6,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,9:41.85,+1.32 +  1.32,108.6 0.08,2
3,#2,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,9:55.82,+15.29 +  13.97,106.0 0.87,2
4,#18,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,9:58.72,+18.19 +  2.90,105.5 1.04,2
5,#21,Komnos Nikos  - Kontos Nikos Citroën Saxo VTS,C5 F2,10:02.68,+22.15 +  3.96,104.8 1.26,2
6,#4,Kandiliotis V.  - Papandreou P. Mitsubishi Lancer Evo VI,C2,10:05.59,+25.06 +  2.91,104.3 1.43,2
7,#33,Stafilopatis M.  - Chatzirigas G. BMW M3 E30,4 2000+,10:07.49,+26.96 +  1.90,104.0 1.54,2
8,#11,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,10:12.05,+31.52 +  4.56,103.2 1.80,2
9,#19,Kondilis Panagiotis  - Tsolakis A. Peugeot 106,C5 F2,10:12.98,+32.45 +  0.93,103.1 1.85,2
10,#12,Katsarelias E.  - Xanthos N. Volkswagen Golf III,C3 F2,10:19.96,+39.43 +  6.98,101.9 2.25,2
11,#7,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,10:20.36,+39.83 +  0.40,101.8 2.27,2
12,#20,Pantieras Stamatis  - Kourtidou V. Toyota Yaris,C6 F2,10:20.62,+40.09 +  0.26,101.8 2.28,2
13,#25,Zois Dimitris  - Sainis Dimitris Peugeot 208 R2,C5 F2,10:21.92,+41.39 +  1.30,101.6 2.36,2
14,#8,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,10:25.56,+45.03 +  3.64,101.0 2.57,2
15,#31,Tiros Nikos  - Polichronopoulos G. Peugeot 106 S16,C6 F2,10:25.71,+45.18 +  0.15,101.0 2.57,2
16,#38,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,10:29.83,+49.30 +  4.12,100.3 2.81,2
17,#9,Pantelakis Giorgos  - Orfanos E. Renault Clio R3 Maxi,C3 F2,10:35.68,+55.15 +  5.85,99.4 3.14,2
18,#10,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,10:37.61,+57.08 +  1.93,99.1 3.25,2
19,#30,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,10:38.06,+57.53 +  0.45,99.0 3.28,2
20,#29,Kouniakis K.  - Vardakis K. Peugeot 106,C6 F2,10:39.30,+58.77 +  1.24,98.8 3.35,2
21,#34,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,10:44.00,+1:03.47 +  4.70,98.1 3.62,2
22,#32,Mavromatis Marinos  - Marinis A. Peugeot 106 S16,C6 F2,10:51.03,+1:10.50 +  7.03,97.0 4.02,2
23,#35,Gerovassilis A.  - Verikakis K. Fiat 131 Racing,4 2000,10:51.21,+1:10.68 +  0.18,97.0 4.03,2
24,#15,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,10:54.58,+1:14.05 +  3.37,96.5 4.22,2
25,#24,Zizas Agis  - Varsos Aristidis Honda Civic Type-R EP3,C5 F2,10:57.62,+1:17.09 +  3.04,96.1 4.39,2
26,#37,Kyriakopoulos G.  - Tripintis D. Peugeot 205 Rallye,4 1600,11:00.80,+1:20.27 +  3.18,95.6 4.57,2
27,#39,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,11:14.88,+1:34.35 +  14.08,93.6 5.38,2
28,#23,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,11:20.16,+1:39.63 +  5.28,92.9 5.68,2
29,#17,Kopanakis Giorgos  - Farmakis C. Opel Corsa S1600,C4 F2,11:33.58,+1:53.05 +  13.42,91.1 6.44,2
30,#41,Kassidopoulos Giorgos  - Pallas A. Toyota Starlet KP60,3 1600,11:47.42,+2:06.89 +  13.84,89.3 7.23,2
31,#42,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,12:33.43,+2:52.90 +  46.01,83.9 9.85,2
32,#36,Kofinas Konstantinos  - Kofinas A. Alfa Romeo Alfetta GTV,4 2000+,13:24.71,+3:44.18 +  51.28,78.5 12.8,2
