Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,5:49.77,,114.8,1
2,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,5:57.68,+7.91 +  7.91,112.2 0.71,1
3,#2,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,6:01.75,+11.98 +  4.07,111.0 1.07,1
4,#10,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,6:05.32,+15.55 +  3.57,109.9 1.39,1
5,#9,Damianakis Giannis  - Liodakis I. Peugeot 205 Rallye,C4 F2,6:07.46,+17.69 +  2.14,109.2 1.59,1
6,#4,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta ST,C3 F2,6:12.06,+22.29 +  4.60,107.9 2.00,1
7,#6,Titakis Titos  - Chronakis Marios Citroën DS3 R3T Max,C3 F2,6:14.02,+24.25 +  1.96,107.3 2.17,1
8,#11,Kafetzakis I.  - Providakis E. Peugeot 106 S16,C5 F2,6:18.09,+28.32 +  4.07,106.2 2.54,1
9,#5,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,6:21.99,+32.22 +  3.90,105.1 2.89,1
10,#8,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,6:24.01,+34.24 +  2.02,104.5 3.07,1
11,#12,Polias Mihalis  - Roussaki Stella Citroën Saxo VTS,C5 F2,6:25.95,+36.18 +  1.94,104.0 3.24,1
12,#15,Ioannidis Giorgos  - Dimou George Citroën AX GT,C5 F2,6:31.63,+41.86 +  5.68,102.5 3.75,1
13,#16,Maragakis Andreas  - Argiros E. Citroën Saxo,C6 F2,6:34.96,+45.19 +  3.33,101.6 4.05,1
14,#17,Partheniadis E.  - Sifakis D. Citroën Saxo VTS,C6 F2,6:43.54,+53.77 +  8.58,99.5 4.82,1
15,#18,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,6:46.42,+56.65 +  2.88,98.8 5.08,1
