,,,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5
No,Crew,Gr/Cl,,,,,
#1,Kampilis Panagiotis  - Stamelos S. Škoda Fabia S2000,C1,6:54.86,3:21.09,6:47.03,3:19.14,3:21.96
#10,Theofanidis S.  - Theofanidis K. Peugeot 207 RC R3T,C3 F2,7:45.49,3:46.66,7:33.99,3:39.92,3:38.67
#14,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,7:15.57,3:33.16,7:18.49,3:33.97,3:33.22
#16,Michail Stamatis  - Korinthios G. Peugeot 106 S16,C5 F2,7:10.79,3:30.57,7:03.72,3:27.02,3:26.72
#17,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,7:24.62,3:41.51,7:27.76,3:41.42,3:42.52
#19,Trichidis Nikolaos  - Kaparas S. Citroën Xsara VTS,C3 F2,7:41.73,-,-,-,-
#2,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,6:48.44,-,-,-,-
#20,Katsionis T.  - Theofanidis C. Citroën Saxo VTS,C4 F2,7:18.69,3:31.70,7:14.10,3:29.46,3:31.44
#22,Efthimiadis H.  - Laboglou S. Peugeot 106 S16,C5 F2,7:41.73,3:55.77,8:06.24,3:51.03,3:52.57
#23,Figioris Vassilis  - Kitsos C. Opel Ascona 1.9 SR,C3 F2,7:41.73,4:06.93,8:00.08,4:04.05,4:11.01
#24,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,7:41.73,3:56.37,7:58.31,3:51.02,3:52.54
#25,Massialas Vagelis  - Mossios I. Citroën Saxo VTS,C6 F2,7:41.73,3:50.15,7:40.52,3:50.70,3:41.83
#27,Kehagias Dimitris  - Rakitzis G. Peugeot 106 S16,C5 F2,7:41.73,3:56.14,8:05.92,3:56.11,4:05.76
#28,Anastasiou Makis  - Vagdoutis A. Renault Clio III RS,C5 F2,7:41.73,4:03.20,8:02.29,3:58.64,3:55.67
#29,Labrou Athanassios  - Traikos E. Renault Clio III RS,C5 F2,7:41.73,4:28.00,8:20.21,4:05.96,4:27.03
#3,Vlachos Apostolos  - Legantis N. Mitsubishi Lancer Evo IX,C2,6:54.62,3:23.41,7:00.44,3:24.28,3:25.37
#30,Koutsoukos Angelos  - Bokaris E. Toyota Starlet EP91,C4 F2,7:41.73,4:19.33,-,-,-
#5,Sotiriadis Nikos  - Kaligos A. Mitsubishi Lancer Evo IX,C2,7:19.23,3:36.48,7:09.76,3:32.77,3:31.93
#6,Panagiotopoulos Akis  - Dais P. Subaru Impreza STi N8,C2,7:34.42,3:40.63,7:17.21,3:36.13,3:38.01
#7,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,7:01.70,3:31.07,7:00.56,3:30.68,3:30.95
#8,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,7:11.58,3:30.53,7:03.76,3:29.25,3:28.40
#9,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,7:27.19,3:37.47,7:16.22,3:33.43,3:33.36
