Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#2,Gerodimos Giorgos  - Grigoriou S. Opel Astra H OPC,C2,6:48.44,,111.5,1
2,#3,Vlachos Apostolos  - Legantis N. Mitsubishi Lancer Evo IX,C2,6:54.62,+6.18 +  6.18,109.8 0.49,1
3,#1,Kampilis Panagiotis  - Stamelos S. Škoda Fabia S2000,C1,6:54.86,+6.42 +  0.24,109.8 0.51,1
4,#7,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,7:01.70,+13.26 +  6.84,108.0 1.05,1
5,#16,Michail Stamatis  - Korinthios G. Peugeot 106 S16,C5 F2,7:10.79,+22.35 +  9.09,105.7 1.77,1
6,#8,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,7:11.58,+23.14 +  0.79,105.5 1.83,1
7,#14,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,7:15.57,+27.13 +  3.99,104.6 2.14,1
8,#20,Katsionis T.  - Theofanidis C. Citroën Saxo VTS,C4 F2,7:18.69,+30.25 +  3.12,103.8 2.39,1
9,#5,Sotiriadis Nikos  - Kaligos A. Mitsubishi Lancer Evo IX,C2,7:19.23,+30.79 +  0.54,103.7 2.43,1
10,#17,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,7:24.62,+36.18 +  5.39,102.4 2.86,1
11,#9,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,7:27.19,+38.75 +  2.57,101.8 3.06,1
12,#6,Panagiotopoulos Akis  - Dais P. Subaru Impreza STi N8,C2,7:34.42,+45.98 +  7.23,100.2 3.63,1
13,#19,Trichidis Nikolaos  - Kaparas S. Citroën Xsara VTS,C3 F2,7:41.73,+53.29 +  7.31,98.6 4.21,1
13,#22,Efthimiadis H.  - Laboglou S. Peugeot 106 S16,C5 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#23,Figioris Vassilis  - Kitsos C. Opel Ascona 1.9 SR,C3 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#24,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#25,Massialas Vagelis  - Mossios I. Citroën Saxo VTS,C6 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#27,Kehagias Dimitris  - Rakitzis G. Peugeot 106 S16,C5 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#28,Anastasiou Makis  - Vagdoutis A. Renault Clio III RS,C5 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#29,Labrou Athanassios  - Traikos E. Renault Clio III RS,C5 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
13,#30,Koutsoukos Angelos  - Bokaris E. Toyota Starlet EP91,C4 F2,7:41.73,+53.29 +  0.00,98.6 4.21,1
22,#10,Theofanidis S.  - Theofanidis K. Peugeot 207 RC R3T,C3 F2,7:45.49,+57.05 +  3.76,97.8 4.51,1
1,#1,Kampilis Panagiotis  - Stamelos S. Škoda Fabia S2000,C1,3:21.09,,108.8,2
2,#3,Vlachos Apostolos  - Legantis N. Mitsubishi Lancer Evo IX,C2,3:23.41,+2.32 +  2.32,107.6 0.38,2
3,#8,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,3:30.53,+9.44 +  7.12,104.0 1.55,2
4,#16,Michail Stamatis  - Korinthios G. Peugeot 106 S16,C5 F2,3:30.57,+9.48 +  0.04,103.9 1.56,2
5,#7,Stergiadis A.  - Gazgazis P. Peugeot 106 S16,C5 F2,3:31.07,+9.98 +  0.50,103.7 1.64,2
6,#20,Katsionis T.  - Theofanidis C. Citroën Saxo VTS,C4 F2,3:31.70,+10.61 +  0.63,103.4 1.75,2
7,#14,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,3:33.16,+12.07 +  1.46,102.7 1.99,2
8,#5,Sotiriadis Nikos  - Kaligos A. Mitsubishi Lancer Evo IX,C2,3:36.48,+15.39 +  3.32,101.1 2.53,2
9,#9,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,3:37.47,+16.38 +  0.99,100.6 2.69,2
10,#6,Panagiotopoulos Akis  - Dais P. Subaru Impreza STi N8,C2,3:40.63,+19.54 +  3.16,99.2 3.21,2
11,#17,Tzikopoulos P.  - Pantazopoulos P. Renault Clio III,C3 F2,3:41.51,+20.42 +  0.88,98.8 3.36,2
12,#10,Theofanidis S.  - Theofanidis K. Peugeot 207 RC R3T,C3 F2,3:46.66,+25.57 +  5.15,96.6 4.21,2
13,#25,Massialas Vagelis  - Mossios I. Citroën Saxo VTS,C6 F2,3:50.15,+29.06 +  3.49,95.1 4.78,2
14,#22,Efthimiadis H.  - Laboglou S. Peugeot 106 S16,C5 F2,3:55.77,+34.68 +  5.62,92.8 5.70,2
