,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8
No,Crew,Gr/Cl,,,,,,,,
#10,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,10:35.75,6:30.85,3:21.44,10:20.33,-,-,8:17.25,7:00.61
#12,Nomikos Ioannis  - Nomikos Andreas Škoda Fabia S2000,C1,10:49.35,6:46.98,3:06.74,10:43.65,6:40.79,3:07.83,7:58.42,7:29.24
#14,Titakis Titos  - Makrakis T. Citroën DS3 R3T Max,C3 F2,10:33.00,6:50.88,3:05.57,10:27.82,6:43.17,3:03.79,8:02.00,7:07.39
#15,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,10:50.18,6:38.16,3:06.59,10:27.24,6:32.88,3:01.21,7:55.51,7:08.63
#17,Skoulariotis L.  - Makarios A. Renault Clio II,C3 F2,10:53.78,7:13.29,3:06.34,10:51.32,6:55.82,3:05.33,-,-
#18,Vastardis Kostas  - Dais P. Citroën Xsara,C3 F2,11:01.38,7:00.68,3:12.87,10:40.14,7:14.39,3:15.61,9:12.25,7:45.53
#19,Lakis A.  - Triantafillidis V. Peugeot 306,C3 F2,11:03.83,6:53.15,3:03.98,-,-,-,-,-
#2,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,9:39.98,6:01.75,2:47.41,9:24.65,5:53.50,2:42.54,6:29.23,6:26.14
#20,Xenokostas G.  - Saritsoglou I. Peugeot 205,C3 F2,11:39.35,7:29.37,3:24.53,11:18.79,8:21.61,5:36.63,10:02.90,-
#22,Figioris Vassilis  - Kitsos C. Opel Ascona B 1.9 SR,C3 F2,12:20.25,7:38.18,3:32.32,11:55.84,7:44.73,3:34.12,9:49.26,8:51.36
#23,Vatsos Nikos  - Kyrlagitsi Maria Renault Clio R3,C3 F2,10:55.58,6:41.95,3:06.61,10:46.49,6:47.44,3:10.10,8:44.23,7:44.73
#24,Anagnostakis K.  - Alexiadis D. Suzuki Swift Sport MK4,C4 F2,11:29.51,7:09.11,3:16.25,11:18.08,7:11.17,3:18.07,8:53.80,7:57.63
#25,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,12:27.75,7:43.40,3:37.39,12:04.91,7:47.09,3:31.10,10:00.36,8:27.90
#26,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,10:55.60,6:49.54,3:08.11,10:53.35,6:52.41,3:09.01,8:27.84,7:37.78
