,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
No,Crew,Gr/Cl,,,,,,
#1,Koukeas Efstathios  - Spirou K. Ford Fiesta R5,C1,2:04.47,5:36.09,4:13.01,2:02.62,6:05.81,-
#11,Margaronis A.  - Kalyviotis A. Peugeot 306 Maxi,C3 F2,2:10.62,5:57.54,4:21.17,2:41.57,5:53.25,4:22.24
#12,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,2:10.62,5:50.21,4:40.39,2:08.49,5:35.89,4:14.80
#14,Rekkas Viktoras  - Karliotis K. Citroën Saxo VTS,C6 F2,2:10.62,6:10.27,4:23.35,2:17.74,5:52.91,4:19.24
#15,Dekas Giorgos  - Heilakis Fotis Citroën Saxo Kit Car,C4 F2,2:10.62,-,-,-,-,-
#16,Zois Dimitris  - Kollias Ioannis Peugeot 208 R2,C5 F2,2:10.62,6:04.98,4:34.71,2:21.07,6:14.70,4:29.93
#17,Papaloukas Nikos  - Gionis G. Renault Clio Sport,C5 F2,2:10.62,6:04.80,4:30.73,2:20.04,-,-
#18,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,2:10.62,6:04.79,4:30.10,2:23.12,6:04.76,5:13.15
#19,Rekkas Panangelos  - Menounos A. Peugeot 106 S16,C6 F2,2:10.62,5:57.77,4:23.79,2:14.95,5:49.74,4:21.16
#2,Zakheos Nikolaos  - Fragkou M. Honda Civic Type-R R3,C3 F2,2:10.62,-,-,-,-,-
#20,Benoukas Marinos  - Labrakis D. Peugeot 106,C6 F2,2:10.62,6:05.56,4:38.10,2:24.56,5:55.35,4:21.02
#21,Dekas K.  - Barkonikos A. Peugeot 205 GTI 1.6,C4 F2,2:10.62,-,-,-,-,-
#22,Kalaitzian I.  - Sotiropoulos F. Ford Puma Kit Car,C4 F2,2:10.62,6:11.23,4:38.80,2:16.85,5:58.24,4:22.31
#23,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,2:10.62,6:04.29,4:25.14,2:14.00,5:55.15,4:23.65
#24,Kouniakis K.  - Vardakis K. Peugeot 106 S16,C6 F2,2:10.62,6:30.80,5:03.66,-,-,-
#25,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,2:10.62,6:10.23,4:26.09,2:15.21,5:57.04,4:26.23
#27,Chrissafi Marina  - Manouskos N. Citroën Saxo VTS,C6 F2,2:10.62,8:17.00,5:44.42,3:09.46,7:41.18,5:26.58
#28,Pakkos F.  - Papachristopoulos V. Opel Manta 200,C3 F2,2:10.62,7:03.93,5:13.44,2:43.44,6:59.72,5:13.32
#29,Stafilopatis M.  - Chatzirigas G. Lancia Delta Integrale 16V,4 2000+,2:10.62,5:28.88,4:03.82,2:10.14,5:28.94,4:09.63
#3,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,2:05.13,5:43.21,4:01.94,2:04.62,5:24.18,3:56.95
#31,Melas D.  - Vardaxis S. Porsche 911 Carrera RS 3.0,2,2:10.62,6:22.66,4:47.26,2:24.12,6:31.02,4:46.58
#32,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,2:10.62,5:57.19,4:27.47,2:17.69,5:53.41,4:31.63
#33,Papazoglou L.  - Nikolopoulou M. Lancia Delta Integrale,4 2000+,2:10.62,6:28.93,4:52.31,2:27.80,6:11.31,4:50.16
#34,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,2:10.62,6:23.84,4:53.32,2:29.83,6:27.15,4:45.64
#35,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,2:10.62,6:27.90,4:47.85,2:27.15,6:21.84,4:47.62
#36,Gerovassilis A.  - Verikakis K. Fiat 131 Racing,4 2000,2:10.62,6:21.29,4:43.46,2:25.84,6:16.82,4:52.93
#37,Tsalamatas Ioannis  - Zografos L. Peugeot 309 GTI 16,4,2:10.62,6:25.39,4:46.52,2:21.12,6:15.06,4:38.14
#4,Nomikos Andreas  - Mataliotakis A. Škoda Fabia S2000,C1,2:16.60,5:54.22,4:20.38,2:11.58,5:42.94,4:08.56
#6,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,2:10.62,5:51.69,4:23.00,2:14.87,5:40.90,4:15.55
#7,Kandiliotis V.  - Papandreou P. Peugeot 208 Rally4,C3 F2,2:10.62,6:01.24,4:24.75,2:15.26,5:56.97,4:23.62
#8,Gyzis Ioannis  - Pafra Eirini Renault Clio Williams,C3 F2,2:10.62,-,-,-,-,-
#9,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,2:10.62,5:22.16,3:57.90,2:03.14,5:53.48,4:09.43
