Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Koukeas Efstathios  - Spirou K. Ford Fiesta R5,C1,2:04.47,,121.5,1
2,#3,Avgeropoulos C.  - Giavassis S. Citroën Saxo Kit Car,C4 F2,2:05.13,+0.66 +  0.66,120.8 0.16,1
3,#2,Zakheos Nikolaos  - Fragkou M. Honda Civic Type-R R3,C3 F2,2:10.62,+6.15 +  5.49,115.8 1.46,1
3,#6,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#7,Kandiliotis V.  - Papandreou P. Peugeot 208 Rally4,C3 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#8,Gyzis Ioannis  - Pafra Eirini Renault Clio Williams,C3 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#9,Moschos A.  - Samartzis I. Renault Clio Kit Car,C3 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#11,Margaronis A.  - Kalyviotis A. Peugeot 306 Maxi,C3 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#12,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#14,Rekkas Viktoras  - Karliotis K. Citroën Saxo VTS,C6 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#15,Dekas Giorgos  - Heilakis Fotis Citroën Saxo Kit Car,C4 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#16,Zois Dimitris  - Kollias Ioannis Peugeot 208 R2,C5 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#17,Papaloukas Nikos  - Gionis G. Renault Clio Sport,C5 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#18,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#19,Rekkas Panangelos  - Menounos A. Peugeot 106 S16,C6 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#20,Benoukas Marinos  - Labrakis D. Peugeot 106,C6 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#21,Dekas K.  - Barkonikos A. Peugeot 205 GTI 1.6,C4 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#22,Kalaitzian I.  - Sotiropoulos F. Ford Puma Kit Car,C4 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
3,#23,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,2:10.62,+6.15 +  0.00,115.8 1.46,1
