Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#9,Todeschini F.  - De Castelli S. Hyundai i20 N Rally2,R5/Rally2,6:23.8,,83.6,1
2,#3,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia Rally2 evo,R5/Rally2,6:24.9,+1.1 +  1.1,83.3 0.12,1
3,#1,Andreucci Paolo  - Briani Rudy Škoda Fabia Rally2 evo,R5/Rally2 Over 55,6:29.6,+5.8 +  4.7,82.3 0.65,1
4,#2,Ciuffi Tommaso  - Cigni Pietro Škoda Fabia Rally2 evo,R5/Rally2,6:35.0,+11.2 +  5.4,81.2 1.26,1
5,#8,Oldrati Enrico  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,6:37.8,+14.0 +  2.8,80.6 1.57,1
6,#19,Bresolin Edoardo  - Pollet Rudy Škoda Fabia Rally2 evo,R5/Rally2,6:39.9,+16.1 +  2.1,80.2 1.81,1
7,#12,Dati Emanuele  - Ciucci Giacomo Škoda Fabia Rally2 evo,R5/Rally2,6:43.2,+19.4 +  3.3,79.6 2.18,1
8,#18,Quilichini J.  - Belhacène M. Škoda Fabia R5,R5/Rally2,6:46.2,+22.4 +  3.0,79.0 2.51,1
9,#6,Vagnini Jader  - Musiari Martina Škoda Fabia R5,R5/Rally2,6:47.3,+23.5 +  1.1,78.8 2.64,1
10,#29,Aligizakis E.  - Amaxopoulos D. Škoda Fabia R5,R5/Rally2,6:47.8,+24.0 +  0.5,78.7 2.69,1
11,#21,Epis Filippo  - Zanni Gabriele Škoda Fabia R5,R5/Rally2,6:55.8,+32.0 +  8.0,77.1 3.59,1
12,#16,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo,R5/Rally2,6:56.4,+32.6 +  0.6,77.0 3.66,1
13,#34,Travaglia Aronne  - Brachi Simone Ford Fiesta N5,N5,6:56.9,+33.1 +  0.5,76.9 3.71,1
14,#15,Hoelbling Luca  - Righetti Stefano Škoda Fabia Rally2 evo,R5/Rally2,6:59.3,+35.5 +  2.4,76.5 3.98,1
15,#11,Grossi A.  - Cardinali F. Škoda Fabia R5,R5/Rally2 Under 25,7:00.6,+36.8 +  1.3,76.3 4.13,1
16,#31,Tavelli Gianluca  - Cottellero N. Škoda Fabia Rally2 evo,R5/Rally2,7:01.0,+37.2 +  0.4,76.2 4.18,1
17,#26,Griotti Daniele  - Grimaldi Fabio Škoda Fabia Rally2 evo,R5/Rally2 Over 55,7:02.1,+38.3 +  1.1,76.0 4.30,1
18,#25,Roncoroni Marco  - Brusadelli P. Škoda Fabia Rally2 evo,R5/Rally2,7:02.9,+39.1 +  0.8,75.8 4.39,1
19,#51,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,Rally4 Under 25,7:03.4,+39.6 +  0.5,75.8 4.44,1
20,#37,Mattonen  - Taglienti Giulia Mitsubishi Lancer Evo X,N4,7:04.2,+40.4 +  0.8,75.6 4.53,1
21,#49,Cogni Giorgio  - Colapietro Andrea Peugeot 208 Rally4,Rally4,7:04.4,+40.6 +  0.2,75.6 4.56,1
22,#54,Pesavento Davide  - Zaramella M. Peugeot 208 Rally4,Rally4 Under 25,7:06.7,+42.9 +  2.3,75.2 4.81,1
23,#42,Temeroli Simone  - Simoncini D. Mitsubishi Lancer Evo IX,N4,7:08.0,+44.2 +  1.3,74.9 4.96,1
24,#39,Peljhan Darko  - Čar Matej Mitsubishi Lancer Evo IX,N4,7:10.2,+46.4 +  2.2,74.6 5.21,1
25,#27,Pavlidis Nikos  - Harryman Allan Škoda Fabia Rally2 evo,R5/Rally2 Over 55,7:11.6,+47.8 +  1.4,74.3 5.36,1
26,#52,Marchioro Nicolò  - Marchetti M. Peugeot 208 Rally4,Rally4,7:16.3,+52.5 +  4.7,73.5 5.89,1
27,#55,Ancillotti L.  - Ancillotti C. Peugeot 208 Rally4,Rally4,7:16.5,+52.7 +  0.2,73.5 5.91,1
28,#35,Rossetto Alessandro  - Lazzer M. Volkswagen Polo MK5 N5,N5,7:19.2,+55.4 +  2.7,73.0 6.22,1
29,#22,Squarcialupi M.  - Squarcialupi G. Hyundai i20 N Rally2,R5/Rally2,7:19.5,+55.7 +  0.3,73.0 6.25,1
30,#41,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,7:20.2,+56.4 +  0.7,72.9 6.33,1
31,#59,Bartolini Davide  - Selva Roberto Peugeot 208 Rally4,Rally4,7:22.3,+58.5 +  2.1,72.5 6.57,1
32,#56,Pierulivo Leonardo  - Ferrigno E. Peugeot 208 Rally4,Rally4 Under 25,7:24.5,+1:00.7 +  2.2,72.2 6.81,1
33,#33,Rigo Riccardo  - Darderi Daiana Citroën DS3 N5,N5,7:24.9,+1:01.1 +  0.4,72.1 6.86,1
34,#44,Piccolotto Michele  - Marchiori M. Mitsubishi Lancer Evo X,N4,7:25.5,+1:01.7 +  0.6,72.0 6.92,1
35,#86,Prosenc Borut  - Selan Blaž Renault Clio Rally5,Rally5,7:26.3,+1:02.5 +  0.8,71.9 7.01,1
36,#58,Brancadori Alberto  - Pollini C. Peugeot 208 Rally4,Rally4 Over 55,7:26.6,+1:02.8 +  0.3,71.8 7.05,1
37,#74,Zorzi Alessandro  - Franzoni R. Peugeot 208 R2,Rally4/R2,7:29.5,+1:05.7 +  2.9,71.4 7.37,1
38,#57,Stella Manuele  - Refondini Sara Peugeot 208 Rally4,Rally4,7:29.7,+1:05.9 +  0.2,71.3 7.40,1
39,#43,Marrini Stefano  - Valentini S. Mitsubishi Lancer Evo IX,N4,7:30.4,+1:06.6 +  0.7,71.2 7.47,1
40,#72,Leuratti Giorgio  - Del Rio L. Peugeot 208 Rally4,Rally4,7:30.7,+1:06.9 +  0.3,71.2 7.51,1
41,#53,Diserò Luca  - Manocchi Giada Peugeot 208 Rally4,Rally4,7:31.8,+1:08.0 +  1.1,71.0 7.63,1
42,#28,Barni Maurizio  - Zanella Flavio Škoda Fabia Rally2 evo,R5/Rally2,7:32.6,+1:08.8 +  0.8,70.9 7.72,1
43,#83,Solitro Fabio  - Porzio Alberto Renault Clio Rally5,Rally5 Under 25,7:32.9,+1:09.1 +  0.3,70.8 7.76,1
