,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7
No,Crew,Gr/Cl,,,,,,,
#1,Lovisetto Adriano  - Gasparotto I. CitroÃ«n C3 Rally2,R5/Rally2,8:34.1,5:02.8,4:24.8,-,-,-,-
#10,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2,8:24.5,4:54.7,4:17.4,8:13.2,4:53.7,4:15.5,8:24.7
#100,PellÃ¨ Roberto  - Righetti Mattia Renault Clio Rally5,Rally5,9:22.7,5:38.9,4:52.7,9:15.7,5:34.4,4:49.4,9:23.7
#101,Busin Matteo  - Casa Federico Suzuki Swift 1000 turbo,RSTB 1.0 Plus,10:56.9,6:30.3,7:25.9,11:25.0,6:58.1,6:06.2,12:12.5
#102,BaÃ¹ Remigio  - Cerato Silvano Peugeot 208 GTI,RSTB 1.6 Plus,10:50.5,6:10.4,5:30.0,10:44.5,6:17.7,5:47.5,11:43.3
#103,Crescenzo Michele  - Savegnago M. Peugeot 106 Maxi,K10,10:33.0,5:47.8,5:12.5,10:12.4,5:48.6,5:12.1,10:33.7
#105,Pontalto Michele  - Durat Jessica Peugeot 106,A6,9:52.8,5:44.2,4:57.9,9:38.0,5:54.2,-,-
#106,Zanon Andrea  - Filippozzi Lisa Peugeot 106 Rallye,A6,9:15.6,5:32.5,4:46.8,9:05.4,5:39.2,-,-
#107,Ghion Mattia  - Lorenzin Vanessa Peugeot 106 Rallye,A6,9:08.9,5:24.4,4:42.2,9:01.5,5:33.1,4:50.8,9:34.8
#108,Nonnato Filippo  - Mogentale C. Peugeot 106 Rallye,A6,9:20.2,5:37.0,4:46.2,-,-,-,-
#109,Cecchin Maicol  - Fiorot Andrea Peugeot 106 16V,A6 Under 25,10:04.7,5:54.5,5:07.9,9:48.7,5:59.4,5:28.8,11:42.6
#11,Toffano Giovanni  - Gambasin M. Å koda Fabia Rally2 evo,R5/Rally2,8:26.7,4:57.0,4:15.5,8:18.5,4:58.5,4:12.5,8:34.3
#110,Alessio Michele Luca  - Menegon M. Peugeot 106 S16,A6,10:06.1,5:51.3,5:00.7,9:47.8,6:01.2,5:16.4,-
#111,Sbalchiero R.  - Santacaterina M. Renault Clio III RS,RS 2.0,10:44.3,6:13.4,5:28.9,10:40.7,6:20.6,5:40.4,11:15.1
#112,Scalzotto Marco  - Tiraboschi S. Suzuki Swift R1B,RS 1.6 Plus Under 25,10:40.7,6:28.6,5:30.0,10:18.8,6:25.0,5:32.4,10:33.9
#113,Lavarini Manuel  - Zanoni Gabriele Peugeot 205 Rallye,A5,9:47.0,5:57.7,5:11.6,9:51.3,6:03.2,5:24.8,10:22.4
#114,Pilat Roberto  - Refondini Sara Peugeot 205 Rallye,A5,10:10.2,6:05.9,5:16.8,9:57.2,6:10.1,5:26.5,10:38.2
#116,Rancan Marco  - Rancan Tigei Peugeot 106 XSi,A5,10:18.8,6:17.9,5:21.5,10:11.8,6:20.5,5:34.0,11:02.3
#117,Cazzaro Federico  - Gorza Roberto Peugeot 106 XSi,A5,10:53.4,6:26.4,-,-,-,-,-
#119,Tessari Sascha  - Panato T. CitroÃ«n Saxo VTS,N2 Under 25,9:21.2,5:43.4,4:45.6,9:23.5,5:45.3,5:01.0,9:36.0
#120,De Barba Matteo  - Piceno Denis Peugeot 106 Rallye,N2,9:35.9,5:44.6,4:53.9,9:24.6,5:47.4,4:55.5,9:31.5
#121,Scapin Gaetano  - Tinazzo Mirko Peugeot 106 Rallye,N2,9:37.7,5:48.5,4:55.6,9:50.8,6:04.3,5:10.0,10:12.6
#122,Spiller Federico  - Ambrosini Luca Peugeot 106 Rallye,N2,9:38.1,5:38.9,4:52.5,9:27.1,-,-,-
#123,Zambon Giacomo  - Corato Stefano Peugeot 106 Rallye,N2,10:03.6,8:28.4,-,-,-,-,-
#124,Cella Gianluca  - Saccavini Paolo Peugeot 106 Rallye,N2,9:46.7,5:53.5,5:02.4,9:42.6,6:13.9,5:13.7,10:27.6
#125,Simonetto Luca  - Cortiana Kay Peugeot 106 Rallye,N2,9:59.2,5:54.4,5:02.3,9:48.0,6:12.2,5:20.3,10:20.8
#126,De Marco Edoardo  - Argenta Nicola Peugeot 106 Rallye,N2,9:27.0,5:44.4,5:02.1,9:19.6,5:57.7,4:54.0,9:29.6
#127,Brazzale Dino  - Zuliani Denis Peugeot 106 Rallye,N2,9:53.1,6:10.6,5:27.8,10:01.1,6:19.2,5:30.5,10:53.8
#128,Pipan Martin  - Sica Elena CitroÃ«n Saxo VTS,N2,10:15.0,6:11.7,5:16.6,10:08.2,6:23.8,5:25.8,10:30.2
#129,Mattiazzo Mirco  - Comarella M. Peugeot 106 Rallye,N2,10:46.3,6:45.0,5:49.9,9:52.5,6:18.9,5:18.4,10:17.2
#130,Sartori A.  - Facchinetti M. Peugeot 106 Rallye,N2,10:55.3,-,-,-,-,-,-
#131,Cogo Simone  - Erriu Daniele Peugeot 106 Rallye S2,N2,11:17.2,6:30.4,5:37.1,11:10.4,6:53.9,5:54.3,11:50.2
#133,Graziani Mirco  - Beltramello S. CitroÃ«n Saxo VTS,RS 1.6,10:32.1,6:14.8,5:24.4,10:15.4,6:28.4,5:46.6,11:04.0
