Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#5,Avbelj BoÅ¡tjan  - Andrejka D. Å koda Fabia Rally2 evo,R5/Rally2,8:06.8,,81.2,1
2,#2,Andriolo Rudy  - Menegon Manuel Å koda Fabia Rally2 evo,R5/Rally2,8:15.1,+8.3 +  8.3,79.8 0.76,1
3,#6,Bianco Efrem  - Lamonato Dino Å koda Fabia Rally2 evo,R5/Rally2,8:15.4,+8.6 +  0.3,79.8 0.78,1
4,#3,Rossetti Luca  - Mori Eleonora Hyundai i20 N Rally2,R5/Rally2,8:16.3,+9.5 +  0.9,79.6 0.87,1
5,#8,Sossella Manuel  - Falzone G. Hyundai i20 N Rally2,R5/Rally2,8:18.7,+11.9 +  2.4,79.3 1.08,1
6,#10,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2,8:24.5,+17.7 +  5.8,78.4 1.61,1
7,#11,Toffano Giovanni  - Gambasin M. Å koda Fabia Rally2 evo,R5/Rally2,8:26.7,+19.9 +  2.2,78.0 1.81,1
8,#15,Brunello NicolÃ²  - Dal Maso A. Å koda Fabia R5,R5/Rally2,8:26.8,+20.0 +  0.1,78.0 1.82,1
9,#16,Scalzotto Andrea  - Rutigliano N. CitroÃ«n C3 Rally2,R5/Rally2,8:30.5,+23.7 +  3.7,77.4 2.16,1
10,#29,Nodari Paolo  - Nodari Giulio Å koda Fabia R5,R5/Rally2,8:31.0,+24.2 +  0.5,77.4 2.20,1
11,#14,Romagna Simone  - Addondi Luca Å koda Fabia Rally2 evo,R5/Rally2,8:32.2,+25.4 +  1.2,77.2 2.31,1
12,#19,Zanotto Williams  - Buccino C. Å koda Fabia R5,R5/Rally2,8:33.7,+26.9 +  1.5,76.9 2.45,1
13,#1,Lovisetto Adriano  - Gasparotto I. CitroÃ«n C3 Rally2,R5/Rally2,8:34.1,+27.3 +  0.4,76.9 2.49,1
14,#9,Pozza Francesco  - Zortea Marco Å koda Fabia Rally2 evo,R5/Rally2,8:37.0,+30.2 +  2.9,76.5 2.75,1
15,#27,Ferri Luca  - Ometto Pietro Elia Å koda Fabia Rally2 evo,R5/Rally2,8:37.2,+30.4 +  0.2,76.4 2.77,1
