,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7
No,Crew,Gr/Cl,,,,,,,
#1,De Tisi Pietro  - Gasparotto Ivan Škoda Fabia Rally2 evo,R5/Rally2,4:22.1,6:50.6,6:13.3,4:13.1,6:48.7,6:09.5,4:11.1
#10,Chiarani Maurizio  - Gallorini R. Škoda Fabia R5,R5/Rally2,4:43.4,7:05.2,6:25.3,4:27.3,7:04.3,6:28.6,4:27.6
#11,Milani Michele  - Camazzola C. Škoda Fabia R5,R5/Rally2,4:52.8,7:58.7,6:50.9,4:39.8,7:57.4,7:12.1,4:36.0
#12,Cappelletti D.  - Taufer D. Škoda Fabia R5,R5/Rally2,4:44.8,7:23.6,6:33.2,4:27.6,7:21.6,6:29.7,4:23.0
#14,Pioner Maurizio  - Ugolini Bruna Lancia Delta Integrale 16V,A8 Over 55,5:04.4,7:51.7,7:05.4,4:50.8,7:57.1,7:17.3,4:50.2
#15,Toscana Christian  - Turco Fabio Renault Clio S1600,S1600,4:40.0,7:24.0,6:41.2,4:31.1,7:16.4,6:37.4,4:27.5
#16,Zigliani Ludwig  - Rota Giuseppe Renault Clio S1600,S1600,4:53.3,7:49.6,6:52.5,4:43.4,7:36.7,6:49.5,4:41.6
#18,Irlacher Wolfgang  - Miedl Regina Honda Civic Type-R R3,R3 Over 55,5:11.5,7:51.3,6:58.4,4:46.8,-,-,-
#19,Rainer Cesare  - Moser Thomas Renault Clio R3,R3,4:42.2,7:16.2,6:36.9,4:33.1,7:14.6,6:33.1,4:30.7
#2,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2 Over 55,4:21.4,6:48.4,6:13.4,4:18.0,6:43.5,6:07.9,4:15.2
#20,Micheloni Gianluca  - Antonelli R. Renault Clio R3,R3,5:06.6,7:45.3,6:57.7,4:47.7,7:40.7,6:58.1,4:55.2
#21,Reginato Andrea  - Crestani Marco Toyota GR Yaris,R1T 4x4 Naz,5:03.1,8:13.4,7:14.0,4:44.9,7:53.2,7:07.0,4:39.7
#22,Strabello Paolo  - Bianchi Davide Peugeot 208 Rally4,Rally4 Over 55,4:48.1,7:32.4,6:56.9,4:40.6,7:27.3,6:44.2,4:39.1
#23,Scalco Leonardo  - Toffano Mattia Peugeot 208 Rally4,Rally4,4:55.2,7:21.6,6:41.1,6:32.9,7:21.3,8:34.4,-
#24,Strabello Stefano  - Montavoci S. Peugeot 208 Rally4,Rally4,4:41.3,7:16.9,6:37.7,4:34.8,7:10.1,6:39.5,4:31.3
#25,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,4:47.5,7:31.0,6:42.5,4:40.7,7:34.2,6:46.1,4:36.3
#26,Pintarelli Matteo  - Manica F. Peugeot 208 Rally4,Rally4,4:48.8,7:22.7,6:41.3,4:38.6,7:30.5,6:54.2,4:38.6
#27,Vardanega Roger  - Pellegrino S. Peugeot 208 Rally4,Rally4,4:55.7,8:27.9,7:08.5,5:00.9,8:24.4,7:27.4,4:54.4
#28,Ferrarol Maurizio  - Frigerio G. Renault Clio Rally4,Rally4,5:23.6,8:55.7,7:29.9,4:56.0,8:31.4,7:07.7,4:50.0
#29,Rousopoulos C.  - Zografos L. Peugeot 208 Rally4,Rally4,4:52.8,-,-,-,-,-,-
#3,De Tisi Giorgio  - Pozzi Daniel Škoda Fabia Rally2 evo,R5/Rally2 Over 55,4:25.4,6:54.7,6:23.0,4:15.2,6:50.4,6:17.3,4:10.1
#30,Angi Simone  - Maddalozzo Jenny Peugeot 208 Rally4,Rally4,4:47.2,7:25.8,6:45.4,4:35.8,7:26.3,6:43.4,4:37.7
#31,Casagrande D.  - Franceschini L. Peugeot 208 R2,Rally4/R2,4:48.3,7:26.6,6:47.7,4:36.8,7:13.5,6:40.1,4:32.7
#32,Zanon Andrea  - Filippozzi Lisa Peugeot 208 R2,Rally4/R2,4:52.1,7:30.2,6:49.8,4:37.0,7:17.8,6:47.3,4:37.4
#33,Travaglini Luca  - Calliari Nico Peugeot 208 R2,Rally4/R2,5:10.3,8:00.4,7:13.4,4:53.2,7:52.1,7:06.7,4:53.3
#34,Betta Armando  - Modenini Mattea Peugeot 208 R2,Rally4/R2,5:32.4,8:30.0,7:32.4,5:06.7,8:24.2,7:22.0,4:57.9
#35,Pontalti Mirko  - De Nando S. Renault Clio Williams,A7,4:45.4,-,-,-,-,-,-
#36,Lunelli Rino  - Boni Massimo Mini Cooper S,RSTB 1.6 Plus Over 55,5:06.6,7:57.4,7:05.0,4:50.6,7:42.5,6:57.7,4:55.0
#37,Marinelli Michele  - D'Errico M. Suzuki Swift Sport Hybrid,Ra5H,5:33.5,8:18.2,7:28.1,5:10.1,8:12.4,7:22.5,-
#38,Pederiva Ivano  - Gretter Daniele Renault Clio Rally5,Rally5,6:14.8,8:33.7,7:17.9,4:58.3,8:34.3,7:16.0,4:53.4
#39,Pellè Roberto  - Zampedri Serena Renault Clio Rally5,Rally5,4:52.5,7:35.0,6:54.8,4:46.2,7:28.6,6:48.9,4:42.6
#4,Daprà Matteo  - Conci Mattias Škoda Fabia Rally2 evo,R5/Rally2,4:20.7,6:34.1,6:06.1,4:10.8,6:35.9,6:05.4,4:07.7
