Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#6,Zanolli Alessandro  - Pozzo Denis Škoda Fabia Rally2 evo,R5/Rally2,4:20.5,,93.7,1
2,#4,Daprà Matteo  - Conci Mattias Škoda Fabia Rally2 evo,R5/Rally2,4:20.7,+0.2 +  0.2,93.6 0.03,1
3,#2,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2 Over 55,4:21.4,+0.9 +  0.7,93.4 0.13,1
4,#1,De Tisi Pietro  - Gasparotto Ivan Škoda Fabia Rally2 evo,R5/Rally2,4:22.1,+1.6 +  0.7,93.1 0.24,1
5,#5,Menegatti Paolo  - Rutigliano N. Škoda Fabia Rally2 evo,R5/Rally2,4:22.6,+2.1 +  0.5,92.9 0.31,1
6,#3,De Tisi Giorgio  - Pozzi Daniel Škoda Fabia Rally2 evo,R5/Rally2 Over 55,4:25.4,+4.9 +  2.8,92.0 0.72,1
7,#7,Ferri Luca  - Ventoso Nicolò Škoda Fabia Rally2 evo,R5/Rally2,4:26.3,+5.8 +  0.9,91.7 0.86,1
8,#8,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,4:32.8,+12.3 +  6.5,89.5 1.81,1
9,#9,Bergamin Jacopo  - Tasselli Alice Škoda Fabia Rally2 evo,R5/Rally2,4:34.0,+13.5 +  1.2,89.1 1.99,1
10,#15,Toscana Christian  - Turco Fabio Renault Clio S1600,S1600,4:40.0,+19.5 +  6.0,87.2 2.88,1
11,#24,Strabello Stefano  - Montavoci S. Peugeot 208 Rally4,Rally4,4:41.3,+20.8 +  1.3,86.8 3.07,1
12,#19,Rainer Cesare  - Moser Thomas Renault Clio R3,R3,4:42.2,+21.7 +  0.9,86.5 3.20,1
13,#44,Melchiori Ivan  - Corradini G. Renault Clio Rally5,Rally5,4:43.2,+22.7 +  1.0,86.2 3.35,1
14,#10,Chiarani Maurizio  - Gallorini R. Škoda Fabia R5,R5/Rally2,4:43.4,+22.9 +  0.2,86.1 3.38,1
15,#12,Cappelletti D.  - Taufer D. Škoda Fabia R5,R5/Rally2,4:44.8,+24.3 +  1.4,85.7 3.58,1
16,#35,Pontalti Mirko  - De Nando S. Renault Clio Williams,A7,4:45.4,+24.9 +  0.6,85.5 3.67,1
17,#30,Angi Simone  - Maddalozzo Jenny Peugeot 208 Rally4,Rally4,4:47.2,+26.7 +  1.8,85.0 3.94,1
18,#25,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,4:47.5,+27.0 +  0.3,84.9 3.98,1
19,#22,Strabello Paolo  - Bianchi Davide Peugeot 208 Rally4,Rally4 Over 55,4:48.1,+27.6 +  0.6,84.7 4.07,1
20,#31,Casagrande D.  - Franceschini L. Peugeot 208 R2,Rally4/R2,4:48.3,+27.8 +  0.2,84.7 4.10,1
21,#26,Pintarelli Matteo  - Manica F. Peugeot 208 Rally4,Rally4,4:48.8,+28.3 +  0.5,84.5 4.17,1
22,#42,Čendak Martin  - Markežič Jakob Renault Clio Rally5,Rally5 Under 25,4:51.3,+30.8 +  2.5,83.8 4.54,1
23,#32,Zanon Andrea  - Filippozzi Lisa Peugeot 208 R2,Rally4/R2,4:52.1,+31.6 +  0.8,83.6 4.66,1
24,#39,Pellè Roberto  - Zampedri Serena Renault Clio Rally5,Rally5,4:52.5,+32.0 +  0.4,83.4 4.72,1
25,#11,Milani Michele  - Camazzola C. Škoda Fabia R5,R5/Rally2,4:52.8,+32.3 +  0.3,83.4 4.76,1
25,#29,Rousopoulos C.  - Zografos L. Peugeot 208 Rally4,Rally4,4:52.8,+32.3 +  0.0,83.4 4.76,1
