,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Crew,Gr/Cl,Race,,,,,,,,,,,,,,
Amaxopoulos D.,2 C,Historic Acropolis,9,20,16,8,15,18,8,14,17,14,5,19,13,3
Antonopoulos P,3 D,Historic Acropolis,38,30,28,-,-,-,-,-,-,-,-,-,-,-
Argiriou Kosta,4 E,Historic Acropolis,13,9,15,15,14,10,18,11,9,10,19,7,12,17
Athanasoulas A,3 D,Historic Acropolis,12,41,36,31,3,13,12,7,8,9,-,-,-,-
Christodoulou ,4 E,Historic Acropolis,44,36,39,35,12,7,4,6,35,34,7,3,5,13
Christou Dimit,2 C,Historic Acropolis,39,32,31,27,33,36,33,32,31,37,29,29,32,31
Coughtrie Tom ,3 D,Historic Acropolis,21,16,9,13,7,8,13,28,20,18,15,13,20,18
Delaportas Gio,4 E,Historic Acropolis,11,5,8,10,27,9,38,5,7,5,8,5,6,11
Dodos Giorgos ,4 E,Historic Acropolis,32,26,22,23,25,28,26,31,29,28,26,22,28,25
Ganos Antonios,3 D,Historic Acropolis,36,28,26,24,30,32,29,26,22,25,30,26,31,29
Georgakopoulos,4 E,Historic Acropolis,22,18,14,18,8,23,25,38,23,13,23,21,21,26
Graham Ernie  ,4 E,Historic Acropolis,5,3,4,5,13,4,2,3,4,3,3,6,3,4
Guignard Eric ,3 D,Historic Acropolis,25,7,10,7,10,11,10,8,5,11,11,8,8,19
Halivelakis A.,3 D,Historic Acropolis,4,10,3,3,39,38,37,35,34,32,6,10,10,6
Kalaitzian I. ,4 E,Historic Acropolis,23,25,27,35,35,33,34,29,33,27,25,27,24,23
Kalamaras Teo ,4 E,Historic Acropolis,30,35,35,39,26,30,22,25,25,23,28,25,26,21
Kansos P.  - G,4 E,Historic Acropolis,43,31,33,29,38,39,39,36,35,34,34,30,-,-
Kassidopoulos ,4 E,Historic Acropolis,33,13,21,22,19,21,24,20,18,24,22,28,29,28
Kofinas Konsta,4 E,Historic Acropolis,27,36,39,35,22,26,30,22,28,22,24,23,23,20
Koutsikos P.  ,3 D,Historic Acropolis,17,17,-,-,-,-,-,-,-,-,-,-,-,-
Kovařík Oldřic,1 A,Historic Acropolis,34,27,24,26,29,31,32,30,30,29,27,36,33,33
Kovařík Oldřic,4 E,Historic Acropolis,8,4,6,4,16,5,6,9,11,4,13,18,9,12
Lambrou Karolo,NAT,Historic Acropolis,37,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayr Siegfried,3 D,Historic Acropolis,19,19,17,9,6,19,21,15,16,8,21,11,16,15
McCormack Mart,3 D,Historic Acropolis,1,2,1,1,1,1,1,1,1,1,1,2,1,1
Melas D.  - Va,2 C,Historic Acropolis,16,6,7,12,34,17,16,13,13,15,12,12,7,5
Nioras Grigori,4 E,Historic Acropolis,26,21,18,19,17,20,17,19,19,20,17,14,19,16
Nomikos Mihali,4 E,Historic Acropolis,20,24,19,25,24,22,27,27,27,26,36,16,22,22
Papadimitriou ,4 E,Historic Acropolis,14,14,12,17,5,12,14,12,14,12,16,4,11,14
Papandreou A. ,3 D,Historic Acropolis,29,29,29,31,28,34,28,18,26,32,31,31,27,27
Paradissis Gio,NAT,Historic Acropolis,6,8,11,6,9,24,9,16,10,16,4,15,18,7
Paradissis P. ,3 D,Historic Acropolis,2,39,36,31,4,3,3,4,3,6,-,-,-,-
Paravalos Ioan,4 E,Historic Acropolis,18,42,34,-,-,-,-,-,-,-,-,-,-,-
Pasutti Paolo ,2 C,Historic Acropolis,24,12,13,16,21,15,15,17,12,17,14,32,17,32
Pierangioli V.,4 E,Historic Acropolis,3,1,2,2,11,2,5,2,2,2,2,1,2,2
Pierroutsakos ,4 E,Historic Acropolis,15,-,-,-,-,-,-,-,-,-,-,-,-,-
Roustemis A.  ,4 E,Historic Acropolis,10,15,5,14,32,16,11,21,15,19,18,24,14,10
Sassos  - Mata,4 E,Historic Acropolis,40,36,39,35,23,27,20,36,35,34,10,9,15,8
Stafilopatis M,3 D,Historic Acropolis,7,11,20,11,18,6,7,10,6,7,9,17,4,9
Tzilavis Savva,2 C,Historic Acropolis,41,33,32,30,37,37,36,33,32,31,32,34,34,34
Vassilakis Geo,4 E,Historic Acropolis,35,23,23,21,31,29,31,24,21,38,33,33,30,30
Vassilopoulos ,2 C,Historic Acropolis,31,22,25,20,20,25,23,23,24,21,20,20,25,24
Vazakas Dimitr,3 D,Historic Acropolis,28,39,36,31,2,14,19,-,-,-,-,-,-,-
Vitogiannis G.,NAT,Historic Acropolis,42,34,30,28,36,35,35,34,38,30,35,35,-,-
