Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
McCormack Mart,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,448.19
Paradissis P. ,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,458.87
Pierangioli V.,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,460.5
Halivelakis A.,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,485.97
Graham Ernie  ,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,491.76
Paradissis Gio,NAT,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,494.4
Stafilopatis M,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,505.91
Kovařík Oldřic,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,509.74
Amaxopoulos D.,2 C,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,511.59
Roustemis A.  ,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,513.29
Delaportas Gio,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,513.79
Athanasoulas A,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,515.88
Argiriou Kosta,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,519.64
Papadimitriou ,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,520.15
Pierroutsakos ,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,522.81
Melas D.  - Va,2 C,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,529.84
Koutsikos P.  ,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,538.46
Paravalos Ioan,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,538.6
Mayr Siegfried,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,538.68
Nomikos Mihali,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,538.74
Coughtrie Tom ,3 D,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,540.09
Georgakopoulos,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,540.37
Kalaitzian I. ,4 E,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,541.1
Pasutti Paolo ,2 C,1,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,541.89
