,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
No,Crew,Gr/Cl,,,,,,,,,,,,,,
#1,McCormack Marty  - Mitchell Barney Ford Escort RS 1800 MKII,3 D1,7:28.19,12:32.30,6:27.18,5:47.61,15:58.02,8:51.68,5:23.69,15:23.76,9:00.51,12:26.39,6:43.10,11:20.04,12:21.98,4:44.45
#10,Kovařík Oldřich st.  - Dufek P. Škoda Octavia Super,1 A1,9:58.57,15:08.40,8:25.47,8:45.44,19:02.75,11:41.01,7:32.68,18:43.04,11:40.48,18:38.93,8:38.35,23:25.28,16:04.93,7:18.53
#11,Pierangioli V.  - Farnocchia S. Ford Sierra RS Cosworth 4x4,4 E3,7:40.50,12:14.93,6:31.07,6:13.99,17:43.88,9:17.15,6:09.57,15:35.23,52:00.00,13:32.30,6:43.85,10:48.09,12:22.59,4:58.45
#12,Paradissis P.  - Fragkou M. Ford Escort RS 1800 MKII,3 D1,7:38.87,-,-,-,17:29.29,9:35.83,6:02.01,16:10.82,9:31.08,13:49.42,-,-,-,-
#12,Paradissis P.  - Fragkou M. Ford Escort RS 1800 MKII  [SR],3 D1,-,22:32.30 [N],16:27.18 [N],15:47.61 [N],-,-,-,-,-,-,-,-,-,-
#14,Stafilopatis M.  - Chatzirigas G. Ford Escort RS 1800 MKII,3 D1,8:25.91,13:51.12,8:04.04,6:56.49,18:01.58,9:55.28,6:13.90,16:42.88,36:16.46,13:53.36,7:32.79,12:18.94,13:14.11,5:24.36
#15,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 D1,8:05.97,13:47.10,7:13.40,6:35.68,25:58.02,18:51.68,15:23.69 [N],25:23.76,19:00.51,22:26.39,7:30.72,12:03.11,13:35.72,5:20.52
#16,Vassilakis George  - Tsadaris N. Lancia Delta HF 4WD,4 E3,10:02.29,14:24.21,8:20.20,7:53.47,19:19.01,11:32.74,7:24.06,18:09.20,10:48.44,52:12.13,10:02.77,14:31.10,15:18.44,6:49.10
#18,Amaxopoulos D.  - Moraiti H. Toyota Corolla TE35,2 C1,8:31.59,14:16.53,7:50.16,6:52.85,17:55.87,10:38.67,6:16.59,17:14.03,10:34.78,14:34.78,7:28.77,12:23.31,13:44.17,5:12.59
#20,Paradissis Giorgos  - Stergiou P. Ford Escort RS 2000 MKII,NAT,8:14.40,13:39.36,7:35.47,6:40.45,17:40.78,10:56.63,6:17.39,17:19.97,10:19.48,14:43.00,7:24.68,12:13.99,13:59.42,5:21.52
#21,Sassos  - Mataliotakis Alexandros Peugeot 309 GTI 16,4 E2,10:56.85,22:14.93,16:31.07,16:13.99,18:39.52,11:17.63,6:40.67,25:35.23,19:16.60,23:32.30,7:33.24,11:50.85,13:46.33,5:22.48
#22,Pierroutsakos G.  - Karastefanou S. Peugeot 205 Rallye,4 E2,8:42.81,-,-,-,-,-,-,-,-,-,-,-,-,-
