No,CP1,162m,CP2,1740m,CP3,2140m,CP4,2680m,CP5,3380m,CP6,3790m,CP7,4030m,CP8,4640m,CP9,5360m,CP10,6200m,CP11,7490m,8120m,CP13,8790m,CP14,9670m,CP15,10900m
1,00:11.91,69,01:28.60,90,01:45.38,50,02:05.69,90,02:37.23,77,02:56.63,34,03:07.82,63,03:31.57,103,04:00.30,74,04:33.53,53,05:34.60,67,72,06:31.13,68,07:09.56,89,07:49.41,80
2,00:16.20,48,01:25.49,89,01:41.46,63,02:01.44,118,02:31.24,104,02:50.24,68,03:01.31,82,03:23.68,132,03:53.50,86,04:24.55,64,05:25.46,72,70,06:22.59,79,07:00.56,93,07:39.25,106
4,00:15.55,54,01:32.84,85,01:51.50,30,02:10.20,110,02:42.53,92,03:02.73,43,03:13.60,83,03:36.51,134,04:06.78,82,04:41.64,52,05:44.42,68,65,06:42.44,70,07:21.74,98,08:01.00,85
6,00:12.36,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:16.15,65,01:36.79,74,01:56.47,41,02:19.34,79,02:52.68,74,03:13.59,39,03:25.78,68,04:12.00,100,04:44.77,68,05:22.50,52,06:29.31,63,57,07:32.85,68,08:13.59,96,08:58.83,64
8,00:16.63,71,01:31.23,87,01:48.46,42,02:09.11,117,02:41.76,79,03:00.27,65,03:14.32,70,03:38.18,131,04:05.79,84,04:37.68,66,05:37.85,69,72,06:34.24,64,07:10.83,104,07:49.22,79
9,00:17.64,66,01:32.63,94,01:49.58,41,02:11.73,87,02:44.60,86,03:02.80,64,03:16.21,78,03:41.57,94,04:12.53,80,04:44.35,51,05:47.19,67,69,06:46.76,60,07:22.97,97,08:06.89,67
10,00:17.70,62,01:37.22,86,01:53.67,46,02:18.63,75,02:50.81,83,03:10.60,45,03:23.40,80,03:48.30,113,04:19.17,92,04:55.32,56,06:01.30,52,66,07:00.61,58,07:40.73,59,09:31.93,22
11,00:15.10,71,01:34.10,84,01:51.62,44,02:14.30,89,02:47.60,86,03:06.72,41,03:19.40,75,03:44.72,105,04:15.62,77,04:49.38,54,05:51.60,64,60,06:51.76,73,07:30.52,64,09:14.66,27
12,00:16.82,68,01:32.13,79,01:49.74,43,02:10.85,94,02:43.66,82,03:02.00,62,03:15.58,71,03:40.30,125,04:09.85,71,04:43.41,64,05:45.58,54,71,06:39.46,61,07:21.37,27,09:49.00,32
