No,CP1,162m,CP2,1740m,CP3,2140m,CP4,2680m,CP5,3380m,CP6,3790m,CP7,4030m,CP8,4640m,CP9,5360m,CP10,6200m,CP11,7490m,CP12,8120m,CP13,8790m,CP14,9670m,CP15,10900m
1,00:14.21,61,01:27.00,88,01:44.71,38,02:05.80,88,02:33.91,74,02:54.68,36,03:07.10,73,03:29.14,134,03:58.86,68,04:31.30,56,05:33.80,73,06:00.00,71,06:29.40,78,07:07.32,87,07:47.68,77
2,00:17.35,57,01:26.67,87,01:41.71,66,02:00.49,128,02:30.48,96,02:50.44,70,03:01.40,80,03:24.23,119,03:55.74,75,04:27.30,59,05:30.25,71,05:57.27,66,06:25.50,69,07:03.35,84,07:42.64,107
4,00:14.25,58,01:30.26,86,01:49.49,29,02:07.14,94,02:38.38,77,02:57.26,57,03:09.40,83,03:33.14,119,04:02.83,89,04:36.76,59,05:37.71,63,06:05.68,72,06:36.47,68,07:14.67,112,07:54.50,83
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:15.26,65,01:36.86,76,01:57.00,37,02:18.57,82,02:52.69,81,03:13.53,43,03:25.41,64,03:50.19,112,04:22.50,70,04:58.71,51,06:05.15,62,06:34.76,58,07:06.50,67,07:47.41,92,08:34.65,76
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00:17.91,57,01:32.55,78,01:49.66,33,02:10.42,112,02:42.34,73,03:01.60,73,03:15.68,80,03:38.19,122,04:08.55,73,04:42.79,52,05:46.90,59,06:13.54,63,06:43.34,72,07:22.46,87,08:06.59,75
10,00:17.60,61,01:34.30,80,01:53.25,38,02:14.34,78,02:50.60,85,03:10.20,39,03:22.60,76,03:47.16,112,04:19.60,66,04:54.81,53,06:00.59,54,06:29.82,57,07:00.50,67,07:39.14,94,08:22.58,62
11,00:21.58,61,01:35.33,82,01:53.69,42,02:16.17,84,02:49.50,77,03:10.21,40,03:22.40,83,03:49.43,102,04:16.35,87,04:51.44,38,05:55.62,54,06:22.63,70,06:53.68,70,07:30.50,97,08:14.60,75
12,00:13.68,70,01:30.30,83,01:47.17,47,02:08.42,97,02:40.57,73,02:59.58,46,03:12.80,74,03:36.43,121,04:05.62,76,04:39.50,56,05:40.27,71,06:07.85,76,06:37.55,66,,,,
14,00:16.62,72,01:34.57,88,01:52.71,46,02:16.10,84,02:56.64,80,03:17.35,61,03:30.48,66,03:57.97,109,04:27.55,80,05:04.16,65,06:07.53,78,06:37.50,73,07:08.16,59,07:48.78,101,08:31.79,72
15,00:16.26,68,01:34.36,78,01:52.00,42,02:12.60,87,02:46.00,82,03:04.55,45,03:16.46,87,03:41.55,119,04:12.14,71,04:46.73,52,06:00.30,64,06:30.00,61,07:01.42,67,07:39.20,105,08:22.00,77
16,00:15.45,66,01:38.68,65,01:59.58,30,02:24.90,82,03:02.19,79,03:23.57,35,03:36.20,67,04:06.69,93,04:40.57,75,05:19.41,42,06:27.00,62,06:57.44,60,07:29.74,71,08:10.52,92,08:57.50,73
17,00:15.76,56,01:42.40,72,02:03.00,34,02:26.27,75,03:01.00,73,03:23.28,39,03:35.63,67,04:00.86,99,04:35.47,63,05:13.71,50,06:24.30,57,06:56.17,55,07:31.37,64,08:15.68,86,09:04.30,59
18,00:16.52,61,01:37.81,77,01:58.59,30,02:21.33,79,02:55.59,83,03:14.68,46,03:28.55,67,03:55.89,99,04:29.52,63,05:06.43,58,06:15.49,67,06:47.66,60,07:22.71,59,08:03.50,86,08:49.43,59
19,00:19.49,52,01:39.53,71,01:58.18,50,02:21.59,83,02:57.41,80,03:17.78,50,03:30.34,78,03:57.89,97,04:31.11,77,05:09.81,54,06:19.22,67,06:49.40,66,07:23.75,56,08:04.45,86,08:49.45,68
20,00:16.68,58,01:40.35,76,01:59.41,36,02:22.67,82,02:58.55,79,03:20.00,40,03:33.15,63,04:03.13,82,04:38.15,65,05:17.54,49,06:26.62,57,06:58.64,55,07:32.77,66,08:15.54,90,09:02.00,70
21,00:19.49,68,01:39.71,71,01:58.55,32,02:20.62,79,02:56.57,85,03:17.33,41,03:29.66,73,03:56.67,105,04:29.79,73,05:07.12,56,06:16.52,62,06:47.00,62,07:21.33,61,08:04.34,89,08:49.26,69
22,00:17.24,71,01:34.68,84,01:52.35,52,02:15.78,88,02:50.64,86,03:10.62,56,03:23.77,63,03:50.45,100,04:22.34,75,04:57.35,53,06:01.29,80,06:35.58,62,07:09.15,68,07:49.55,94,08:30.37,85
23,00:18.58,60,01:38.80,78,01:58.00,36,02:21.51,81,02:58.38,77,03:19.28,41,03:32.14,69,03:59.63,103,04:32.71,64,05:09.43,47,06:16.82,56,06:48.39,60,07:21.50,72,08:03.81,94,08:47.70,72
24,00:18.15,58,01:39.54,69,01:58.62,41,02:23.48,81,02:59.77,80,03:36.66,43,03:50.37,57,04:20.25,96,04:53.78,67,05:30.50,52,06:39.15,59,07:10.23,63,07:43.20,68,08:24.61,86,09:11.00,74
