No,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
#2,Ismailos Panos,C2,1,Korinthou,21/10/2023,Gravel,Cup,1,482.56
#6,Mider  - Nasso,C2,1,Korinthou,21/10/2023,Gravel,Cup,2,485.99
#8,Lefkaditis Sav,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,3,490.72
#1,Paradissis P. ,C2,1,Korinthou,21/10/2023,Gravel,Cup,4,502.48
#12,Dimopoulos Ant,C4 F2,1,Korinthou,21/10/2023,Gravel,Cup,5,504.74
#4,Flandy  - Stef,C3,1,Korinthou,21/10/2023,Gravel,Cup,6,508.57
#16,Zygogiannis K.,C2,1,Korinthou,21/10/2023,Gravel,Cup,7,513.24
#15,Tsatsaris Aris,C2,1,Korinthou,21/10/2023,Gravel,Cup,8,515.27
#11,Panoutsos T.  ,C5 F2,1,Korinthou,21/10/2023,Gravel,Cup,9,517.88
#9,Tsakalos Theod,C5 F2,1,Korinthou,21/10/2023,Gravel,Cup,10,520.83
#22,Tsakalos Athan,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,11,522.01
#18,Antoniou K.  -,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,12,523.81
#10,Agathokleous G,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,13,528.81
#14,Giannakopoulos,C5 F2,1,Korinthou,21/10/2023,Gravel,Cup,14,541.93
#19,Chatzigakis G.,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,15,543.49
#23,Toussoulis K. ,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,16,543.77
#30,Roustemis A.  ,4,1,Korinthou,21/10/2023,Gravel,Cup,17,548.56
#7,Gazetas H.  - ,C2,1,Korinthou,21/10/2023,Gravel,Cup,18,552.03
#35,Kokkinos Steli,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,19,555.92
#33,Anastassopoulo,C4 F2,1,Korinthou,21/10/2023,Gravel,Cup,20,563.06
#29,Manetas Giorgo,C4 F2,1,Korinthou,21/10/2023,Gravel,Cup,21,563.71
#20,Dimos Giorgos ,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,22,567.19
#21,Kalamaras Teo ,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,23,569.92
#24,Sotiropoulos N,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,24,572.92
#25,Englezos T.  -,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,25,577.46
#34,Mavraganis A. ,C4 F2,1,Korinthou,21/10/2023,Gravel,Cup,26,578.96
#36,Gazetas Dionis,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,27,589.12
#40,Kimonidis Hect,TZ1,1,Korinthou,21/10/2023,Gravel,Cup,28,589.24
#26,Delaportas Gio,4,1,Korinthou,21/10/2023,Gravel,Cup,29,597.06
#17,Sias Haralambo,C2,1,Korinthou,21/10/2023,Gravel,Cup,30,603.99
#28,Kotsopoulos An,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,31,609.08
#32,Likomitros D. ,C3 F2,1,Korinthou,21/10/2023,Gravel,Cup,32,609.1
#37,Kattis Dimítri,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,33,665.11
#38,Pavli Marialen,C6 F2,1,Korinthou,21/10/2023,Gravel,Cup,34,891.32
#2,Ismailos Panos,C2,2,Korinthou,21/10/2023,Gravel,Cup,1,475.9
#8,Lefkaditis Sav,C3 F2,2,Korinthou,21/10/2023,Gravel,Cup,2,485.5
#1,Paradissis P. ,C2,2,Korinthou,21/10/2023,Gravel,Cup,3,487.37
#12,Dimopoulos Ant,C4 F2,2,Korinthou,21/10/2023,Gravel,Cup,4,494.74
#4,Flandy  - Stef,C3,2,Korinthou,21/10/2023,Gravel,Cup,5,498.65
#16,Zygogiannis K.,C2,2,Korinthou,21/10/2023,Gravel,Cup,6,504.4
#9,Tsakalos Theod,C5 F2,2,Korinthou,21/10/2023,Gravel,Cup,7,504.49
#11,Panoutsos T.  ,C5 F2,2,Korinthou,21/10/2023,Gravel,Cup,8,507.88
#15,Tsatsaris Aris,C2,2,Korinthou,21/10/2023,Gravel,Cup,9,515.7
#10,Agathokleous G,C3 F2,2,Korinthou,21/10/2023,Gravel,Cup,10,518.81
#22,Tsakalos Athan,C6 F2,2,Korinthou,21/10/2023,Gravel,Cup,11,524.74
#18,Antoniou K.  -,C3 F2,2,Korinthou,21/10/2023,Gravel,Cup,12,531.14
#14,Giannakopoulos,C5 F2,2,Korinthou,21/10/2023,Gravel,Cup,13,532.57
#30,Roustemis A.  ,4,2,Korinthou,21/10/2023,Gravel,Cup,14,537.49
#33,Anastassopoulo,C4 F2,2,Korinthou,21/10/2023,Gravel,Cup,15,546.67
#29,Manetas Giorgo,C4 F2,2,Korinthou,21/10/2023,Gravel,Cup,16,547.82
