Crew,Gr/Cl,time_SS_sec,1_time_Sec,2_time_Sec,3_time_Sec,4_time_Sec,5_time_Sec,6_time_Sec,7_time_Sec,8_time_Sec,9_time_Sec,10_time_Sec,11_time_Sec,12_time_Sec,13_time_Sec,14_time_Sec,15_time_Sec
Paradissis P. ,C2,502.48,14.63,91.21000000000001,108.5,129.31,161.55,180.13,192.18,217.37,246.12,281.8,343.37,369.85,402.19,442.33,484.32
Ismailos Panos,C2,482.56,17.2,85.74,103.65,122.87,152.16,170.63,182.35,204.55,234.48,267.23,328.5,356.82,387.69,426.47,465.59000000000003
Flandy  - Stef,C3,508.57,15.53,93.6,112.56,132.41,165.54,185.35,197.0,220.35,250.79,286.33,348.85,378.55,410.36,449.5,490.39
Mider  - Nasso,C2,485.99,13.13,86.53999999999999,103.75999999999999,123.5,153.7,172.44,183.72,206.56,236.75,269.46,329.89,357.23,386.59,424.63,467.72
Gazetas H.  - ,C2,552.03,16.0,100.55,121.25,145.0,179.72,201.4,213.52,238.24,272.69,311.53,379.74,410.44,444.42,486.54,532.77
Lefkaditis Sav,C3,490.72,15.7,90.21000000000001,108.36,128.76,159.76,178.18,191.7,216.14,244.14,276.49,338.13,366.55,396.27,433.46,473.78
Tsakalos Theod,C5,520.83,16.49,95.28,112.1,134.14,169.31,187.81,201.23,229.46,256.76,294.2,359.53,388.33,421.1,460.72,501.3
Agathokleous G,C3,528.81,16.94,94.22,113.53,134.69,170.53,191.28,203.5,228.6,261.0,296.54,364.6,393.1,425.38,464.94,509.87
Panoutsos T.  ,C5,517.88,17.0,93.67,111.75999999999999,135.57,168.89,187.7,201.13,226.15,256.4,293.46,358.27,386.44,418.45,456.52,500.17
Dimopoulos Ant,C4,504.74,16.19,94.7,111.66,133.58,166.76,185.0,198.12,224.37,252.39,287.62,349.58,377.69,406.6,444.58,486.71
Giannakopoulos,C5,541.93,16.74,97.0,117.0,140.7,174.97,195.5,208.85,234.47,267.0,305.38,372.92,403.17,434.97,475.51,520.6
