,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
No,Crew,Gr/Cl,,,,
#1,Dalmazzini Andrea  - Albertini A. Hyundai i20 N Rally2,R5/Rally2,7:03.4,7:02.6,6:57.9,6:59.8
#10,Pierangioli Valter  - Zambiasi L. Škoda Fabia Rally2 evo,R5/Rally2,7:25.1,7:11.7,7:04.6,7:18.8
#100,Cappellati Rudi  - Merco Cristina Peugeot 208 R2,Rally4,8:10.5,7:55.7,7:55.5,8:22.6
#101,Callegaro Riccardo  - Faustini A. Peugeot 208 R2,Rally4,8:39.0,8:32.9,-,-
#102,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,8:06.4,7:57.9,7:48.5,8:02.9
#103,Vigna Claudio  - Chittaro Tecla Ford Fiesta R2,Rally4,9:41.4,8:54.6,9:23.6,-
#104,Puppato Alberto  - Barison Michele Peugeot 208 Rally4,Rally4,8:37.8,8:03.5,7:58.4,-
#105,Merazzi Andrea  - Argenta Nicola Peugeot 208 R2,Rally4,8:53.2,8:37.1,8:27.7,9:10.1
#106,Gava Antonucci F.  - Silotto D. Peugeot 208 Rally4,Rally4,9:35.3,9:01.4,8:43.1,9:20.9
#107,Gozzoli Stefano  - Gelmini Bruno Peugeot 208 R2,Rally4,8:38.0,8:12.0,8:40.1,-
#108,Pignani Elia  - Podeschi A. Ford Fiesta Rally4,Rally4,9:20.6,8:49.8,8:39.0,9:13.4
#109,Sporzon Elvis  - Manocchi Giada Ford Fiesta Rally4,Rally4,8:32.0,8:11.9,8:19.2,8:25.3
#11,Avbelj Boštjan  - Andrejka D. Škoda Fabia Rally2 evo,R5/Rally2,7:00.6,6:54.8,6:49.4,6:52.7
#110,Ferrando Fabio  - Gamenara Anna Peugeot 208 R2,Rally4,8:23.6,8:13.8,8:13.5,8:23.5
#111,Gherardi Christian  - Ragnacci L. Peugeot 208 R2,Rally4,8:45.2,8:27.9,8:19.3,8:48.0
#112,D'Alicandro M.  - D'Alicandro L. Ford Fiesta Rally4,Rally4,8:55.9,8:26.3,8:23.9,-
#114,Mattiuz Alessio  - Mattiuz Alfio Renault Clio Williams,A7,11:34.0,-,-,-
#115,Bariani Gianluigi  - Ferrazzi M. Peugeot 206 RC,A7,9:39.4,9:04.8,9:02.8,10:03.2
#116,De Pretto Renzo  - Parisotto M. Fiat Stilo Abarth,A7,9:15.9,8:48.0,9:00.5,9:50.9
#117,Mendeni Giorgio  - Silli E. Subaru Impreza Diesel,N3,8:24.4,8:04.4,7:59.8,8:13.7
#118,Ongaro Germano  - Maggiolino F. Renault Clio Williams,N3,8:40.4,8:30.1,8:25.7,9:20.7
#119,Fornalé D.  - Albertini I. Opel Astra G OPC,N3,9:33.2,9:14.8,9:04.9,10:10.5
#12,Epis Filippo  - Mometti Roberto Škoda Fabia R5,R5/Rally2,7:29.2,7:19.0,7:08.3,7:23.8
#120,Lanini Lorenzo  - Giannini Adriano Renault Clio RS,N3 Under 25,8:54.5,8:39.1,8:41.5,9:24.2
#121,Ruoso Giuliano  - Toffoli Mauro Subaru Impreza Diesel,N3,8:15.5,8:03.2,8:02.6,8:27.7
#122,Miotto Stefano  - Boscariol R. Renault Clio RS,N3,8:10.2,7:57.9,7:56.8,8:13.4
#123,Barzan Marco  - Sandrin Luca Renault Clio RS Light,N3,8:41.7,8:08.9,8:13.7,8:39.9
#124,Pigozzo Enrico  - Budoia Andrea Renault Clio RS,N3,8:46.6,8:27.3,8:19.4,8:44.1
#125,Sartori Enrico  - Dinale Christian Opel Astra GSi 16V,N3 Under 25,49:57.5,-,-,-
#126,Marafon Ennio  - Genaro Arianna Opel Astra G OPC,N3,9:10.1,8:48.5,8:53.0,9:20.7
#129,Poggio Fabio  - Briano Valentina Suzuki Swift Sport Hybrid,Ra5H,8:37.0,8:16.8,8:11.2,8:21.6
#130,Zanin Marco  - Moriconi Massimo Renault Clio Rally5,Rally5 Under 25,8:03.2,7:53.5,7:47.0,7:54.5
#131,Nannetti Filippo  - Barone Jr Renault Clio Rally5,Rally5,8:28.3,8:14.0,8:14.8,8:44.2
#132,Bardin Gianni  - Altoè Luca Renault Clio Rally5,Rally5,8:45.6,8:38.1,8:45.2,9:05.6
#133,Cocco Giovanni  - De Guio Elia Renault Clio Rally5,Rally5,8:13.0,7:52.1,7:50.1,7:55.5
#134,Francesconi D.  - Bertelloni M. Renault Clio Rally5,Rally5,8:31.0,8:24.0,8:09.9,8:30.1
#135,Schenetti Sandro  - Corradi A. Suzuki Swift 1000 turbo,Rally5/R1,9:05.0,8:45.5,8:40.8,9:16.5
#138,Dalla Vecchia Corrado  - Gelio P. Opel Corsa A GSi,A6,10:39.8,10:12.4,10:09.8,11:27.0
#139,Fiora Federico  - Angeli Alessio Opel Corsa A GSi,A6,8:50.2,8:30.6,8:27.2,8:59.7
#14,Borsoi Elvis  - Pelloni Stefano Škoda Fabia R5,R5/Rally2,7:37.8,-,-,-
#140,Maggiolo Matteo  - Savegnago Mauro Opel Corsa B GSi,A6,8:41.7,8:21.1,8:24.5,8:39.5
#141,Zaupa Maurizio  - Scaramuzza M. Seat Ibiza TDI Mk3,RS 2.0,8:37.7,8:22.0,8:23.1,8:58.0
#142,Nardi Devid  - Forin Leonardo MG ZR 105,A5 Under 25,9:05.4,8:28.2,8:34.3,9:07.3
#143,Dal Cin Wilmo  - Forato Ermanno Peugeot 106 XSi,A5,9:08.3,-,-,-
#144,Ragghianti Luca  - Vecoli Fabrizio Peugeot 106 Rallye,N2,9:51.9,9:22.2,9:11.5,9:50.9
#145,Zanardo Loris  - Borin Michele Citroën Saxo VTS,N2,8:45.9,8:26.5,8:32.0,8:45.7
