Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#5,Quilichini J.  - Buresi F. Škoda Fabia Rally2 evo,R5/Rally2,7:00.3,,82.7,1
2,#11,Avbelj Boštjan  - Andrejka D. Škoda Fabia Rally2 evo,R5/Rally2,7:00.6,+0.3 +  0.3,82.6 0.03,1
3,#7,Vagnini Jader  - Musiari Martina Škoda Fabia R5,R5/Rally2,7:03.0,+2.7 +  2.4,82.1 0.28,1
4,#1,Dalmazzini Andrea  - Albertini A. Hyundai i20 N Rally2,R5/Rally2,7:03.4,+3.1 +  0.4,82.1 0.32,1
5,#22,Sandrin Andrea  - Menegon Manuel Škoda Fabia Rally2 evo,R5/Rally2,7:06.8,+6.5 +  3.4,81.4 0.67,1
6,#6,Marchioro C.  - Dall'Olmo S. Škoda Fabia Rally2 evo,R5/Rally2,7:10.2,+9.9 +  3.4,80.8 1.03,1
7,#2,Trentin Mauro  - Zanella Flavio Citroën C3 Rally2,R5/Rally2,7:12.1,+11.8 +  1.9,80.4 1.22,1
8,#9,Cesaro Leonardo  - Gaio Alessandro Škoda Fabia R5,R5/Rally2,7:12.3,+12.0 +  0.2,80.4 1.24,1
9,#21,Versace Tullio Luigi  - Moruzzi G. Škoda Fabia R5,R5/Rally2,7:13.3,+13.0 +  1.0,80.2 1.35,1
10,#27,Ferronato Massimo  - Zortea Marco Škoda Fabia R5,R5/Rally2,7:15.8,+15.5 +  2.5,79.7 1.61,1
11,#30,Spagolla Alberto  - Zamboni G. Škoda Fabia R5,R5/Rally2,7:17.5,+17.2 +  1.7,79.4 1.78,1
12,#16,Lorenzon Filippo  - Soldan G. Citroën C3 Rally2,R5/Rally2,7:17.9,+17.6 +  0.4,79.3 1.82,1
13,#8,Bresolin Edoardo  - Pollet Rudy Škoda Fabia Rally2 evo,R5/Rally2,7:19.7,+19.4 +  1.8,79.0 2.01,1
14,#3,Ceccoli Daniele  - Capolongo P. Škoda Fabia Rally2 evo,R5/Rally2,7:20.9,+20.6 +  1.2,78.8 2.13,1
15,#46,Peljhan Darko  - Čar Matej Mitsubishi Lancer Evo IX,N4,7:23.2,+22.9 +  2.3,78.4 2.37,1
16,#15,Zamberlan Daniele  - Nicoletti E. Škoda Fabia R5,R5/Rally2,7:23.7,+23.4 +  0.5,78.3 2.42,1
17,#10,Pierangioli Valter  - Zambiasi L. Škoda Fabia Rally2 evo,R5/Rally2,7:25.1,+24.8 +  1.4,78.0 2.57,1
17,#31,Basso Andrea  - Rücker S. Škoda Fabia Rally2 evo,R5/Rally2,7:25.1,+24.8 +  0.0,78.0 2.57,1
19,#24,Sandel Fabio  - Tommasini Sandra Škoda Fabia R5,R5/Rally2,7:26.1,+25.8 +  1.0,77.9 2.67,1
20,#25,Callegaro Fabio  - Franchin F. Škoda Fabia Rally2 evo,R5/Rally2,7:28.8,+28.5 +  2.7,77.4 2.95,1
21,#12,Epis Filippo  - Mometti Roberto Škoda Fabia R5,R5/Rally2,7:29.2,+28.9 +  0.4,77.3 2.99,1
22,#18,Tripolino Giuseppe  - Viola V. Škoda Fabia R5,R5/Rally2,7:30.5,+30.2 +  1.3,77.1 3.13,1
