Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Marchioro Nico,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,1,323.3
Romagna Simone,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,2,323.6
Sandrin Andrea,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,3,326.6
Cesaro Leonard,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,4,326.8
Toffano Giovan,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,5,327.0
Oriella Paolo ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,6,328.1
Codato Mattia ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,7,329.0
Vagnini Jader ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,8,329.1
Zecchin Emanue,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,9,330.2
Ferronato Mass,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,10,331.0
Spagolla Alber,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,11,331.3
Nicoletti A.  ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,12,331.5
Pesavento Paol,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,13,331.9
Sambugaro Mich,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,14,332.1
Zamberlan Dani,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,15,333.5
Andreucci Paol,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,16,335.1
Lorenzon Filip,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,17,337.3
Bigon Michele ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,18,338.0
Callegaro Fabi,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,19,340.2
Ghelfi Loris  ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,20,341.2
Sandel Fabio  ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,21,341.7
Angi Simone  -,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,22,343.8
Bassetto Ricca,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,23,345.5
Turatello F.  ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,24,346.1
Marchioro Anto,N4,1,Prealpi,10/12/2023,gravel,-,25,347.5
Zantedeschi Di,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,26,347.6
Milani Michele,N4,1,Prealpi,10/12/2023,gravel,-,27,348.3
Borsoi Elvis  ,R5/Rally2,1,Prealpi,10/12/2023,gravel,-,28,348.8
Tosetto Paolo ,Rally3 Under 25,1,Prealpi,10/12/2023,gravel,-,29,349.0
Spagnol Jason ,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,30,358.2
Cocco Giovanni,Rally4,1,Prealpi,10/12/2023,gravel,-,31,363.5
Casonato Rober,Rally4,1,Prealpi,10/12/2023,gravel,-,32,365.7
Nardi Devid  -,Rally4/R2 Under 25,1,Prealpi,10/12/2023,gravel,-,33,365.9
Toffoli Bryan ,Rally4,1,Prealpi,10/12/2023,gravel,-,34,366.2
Diserò Luca  -,Rally4,1,Prealpi,10/12/2023,gravel,-,35,366.7
