ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,cou,cou,cou,cou,cou,cou,cou,cou,cou
1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
7:04.4,6:35.8,4:37.7,7:07.0,6:27.8,4:32.6,6:55.1,6:27.1,4:32.6,2,1,2,2,3,2,3,3,2
7:03.4,6:36.1,4:30.7,7:07.6,6:21.2,4:29.6,6:54.8,6:22.2,4:28.6,1,2,1,3,1,1,2,1,1
7:16.3,_,_,_,_,_,_,_,_,4,_,_,_,_,_,_,_,_
7:31.8,7:07.0,4:45.5,7:32.0,6:50.2,4:42.6,7:18.0,6:42.9,4:40.6,12,9,6,12,10,7,9,8,8
7:06.7,6:43.5,4:40.8,7:01.3,6:27.1,4:39.4,6:53.1,6:25.3,4:34.4,3,3,3,1,2,5,1,2,3
7:16.5,7:07.8,4:41.2,7:09.7,6:45.2,4:38.1,7:04.1,6:50.5,4:35.8,5,10,4,4,7,4,4,11,4
7:24.5,7:09.1,4:48.1,7:24.4,6:45.7,4:44.4,7:16.3,6:40.0,4:39.3,7,11,8,9,8,9,8,6,7
7:29.7,7:00.7,4:48.3,7:21.5,6:40.4,4:40.5,7:08.8,6:35.3,4:36.1,10,5,9,8,4,6,6,4,5
7:26.6,7:06.0,4:49.7,7:17.6,6:43.4,4:46.0,7:16.0,6:42.2,4:46.7,8,8,10,6,5,10,7,7,11
7:22.3,6:58.8,4:45.8,7:16.9,6:44.8,4:37.8,7:07.9,6:39.3,4:36.4,6,4,7,5,6,3,5,5,6
7:30.7,7:01.0,4:51.4,7:25.2,6:49.8,4:46.8,7:18.3,6:44.3,4:46.1,11,6,11,10,9,11,10,9,10
7:40.1,7:15.1,4:55.5,7:29.8,6:51.7,4:56.3,7:25.4,7:06.6,4:53.4,14,12,13,11,11,13,12,13,12
7:29.5,7:03.3,4:43.6,7:20.7,6:54.8,4:42.8,7:20.7,6:49.8,4:40.8,9,7,5,7,12,8,11,10,9
7:50.7,7:28.8,4:58.7,7:48.3,7:17.0,5:00.9,7:51.1,7:20.5,5:06.5,15,14,14,14,14,14,14,14,14
7:39.3,7:21.6,4:53.8,7:45.7,7:05.1,4:54.0,7:39.1,6:58.4,4:57.6,13,13,12,13,13,12,13,12,13
