,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,cou,cou,cou,cou,cou,cou,cou
ss,,1,2,3,4,5,6,7,1,2,3,4,5,6,7
No,Crew,,,,,,,,,,,,,,
#41,Stevanato Elia  - De Lazzari E. Ford Fiesta Rally4,9:27.0,5:50.4,_,_,_,_,_,15,13,_,_,_,_,_
#42,Pellizzaro Marco  - Melotti Marco Peugeot 208 R2,9:32.8,5:41.3,4:57.7,9:21.5,5:46.3,4:54.6,9:43.5,16,9,11,14,9,9,12
#43,Carraro Mirko  - Lazzarotto Fabio Peugeot 208 R2,9:04.8,5:33.6,4:41.0,8:59.8,5:31.6,4:44.9,9:38.1,6,5,3,5,5,6,11
#44,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,9:07.4,5:41.0,4:53.6,9:07.5,5:38.9,4:48.0,9:47.3,7,8,9,7,6,7,13
#45,Cazzaro Nicola  - Raccuia Sergio Peugeot 208 Rally4,8:48.9,5:15.7,4:29.7,8:42.2,5:17.9,4:28.5,8:59.7,4,1,1,3,1,1,6
#47,Irlacher Wolfgang  - Retzer Lisa Peugeot 208 Rally4,9:21.6,5:32.8,4:50.3,9:09.5,5:29.0,4:40.3,9:22.0,10,4,8,9,3,3,8
#48,Brunello Stefano  - Corradini G. Peugeot 208 R2,9:23.1,5:44.7,4:48.4,9:13.0,5:45.1,4:51.0,_,12,12,7,11,8,8,_
#49,Villardi Luca  - Guglielmi Michael Peugeot 208 Rally4,8:55.3,5:19.0,4:32.2,8:49.2,5:18.1,4:28.7,8:59.0,5,2,2,4,2,2,5
#50,Scalco Leonardo  - Toffano Mattia Peugeot 208 R2,9:14.6,5:29.2,4:46.8,9:08.4,5:30.6,4:40.7,9:25.3,8,3,5,8,4,4,9
#51,Vanzetto Filippo  - Simioni G. Peugeot 208 Rally4,9:22.8,5:37.5,4:44.3,9:09.5,5:42.6,4:40.8,9:14.0,11,6,4,10,7,5,7
#52,Frigo Riccardo  - Pesavento E. Peugeot 208 R2,9:21.0,5:41.9,4:47.5,9:16.2,5:50.2,_,_,9,10,6,12,11,_,_
#53,Cabrellon Fabiano  - Gallinaro E. Peugeot 208 R2,10:17.3,6:11.6,5:15.2,10:11.6,6:11.9,5:14.7,10:34.5,1,17,16,1,16,14,3
#54,Vanin Davide  - Cumerlato Mauro Peugeot 208 Rally4,9:43.9,5:57.5,5:00.6,9:39.9,5:57.7,5:02.0,10:08.3,17,15,12,16,13,11,2
#55,Foffano Cristian  - Silvi Luca Peugeot 208 Rally4,9:26.9,5:41.9,5:03.5,9:18.3,6:03.3,4:55.3,9:47.8,14,11,13,13,14,10,14
#56,De Toni Giulia  - Bonaiti M. Peugeot 208 Rally4,9:55.2,6:09.3,5:05.9,9:56.8,5:50.1,5:09.6,9:59.5,19,16,14,17,10,12,15
#57,Fortuna Mattia  - Fortuna Giuseppe Peugeot 208 R2,10:25.8,6:44.9,5:26.0,10:20.7,6:26.1,5:21.1,10:54.6,3,18,17,2,17,15,4
#58,De Pretto Renzo  - Parisotto M. Peugeot 208 R2,10:24.9,7:21.6,5:41.5,_,_,_,_,2,19,18,_,_,_,_
#59,Ferrante Raffaele  - Marcolini D. Ford Fiesta Rally4,9:47.1,5:53.8,5:07.8,9:35.6,5:52.4,5:26.7,10:05.1,18,14,15,15,12,16,1
#70,Rousopoulos Christos  - Pappas N. Peugeot 208 Rally4,9:24.3,5:40.5,4:54.3,9:07.3,6:11.3,5:09.8,9:35.0,13,7,10,6,15,13,10
