,,ss_time,ss_time,ss_time,ss_time,cou,cou,cou,cou
ss,,1,2,3,4,1,2,3,4
No,Crew,,,,,,,,
#100,Cappellati Rudi  - Merco Cristina Peugeot 208 R2,8:10.5,7:55.7,7:55.5,8:22.6,12,8,11,13
#101,Callegaro Riccardo  - Faustini A. Peugeot 208 R2,8:39.0,8:32.9,_,_,24,26,_,_
#102,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,8:06.4,7:57.9,7:48.5,8:02.9,8,9,7,7
#103,Vigna Claudio  - Chittaro Tecla Ford Fiesta R2,9:41.4,8:54.6,9:23.6,_,35,31,29,_
#104,Puppato Alberto  - Barison Michele Peugeot 208 Rally4,8:37.8,8:03.5,7:58.4,_,22,14,13,_
#105,Merazzi Andrea  - Argenta Nicola Peugeot 208 R2,8:53.2,8:37.1,8:27.7,9:10.1,28,28,24,23
#106,Gava Antonucci F.  - Silotto D. Peugeot 208 Rally4,9:35.3,9:01.4,8:43.1,9:20.9,34,32,28,25
#107,Gozzoli Stefano  - Gelmini Bruno Peugeot 208 R2,8:38.0,8:12.0,8:40.1,_,23,20,27,_
#108,Pignani Elia  - Podeschi A. Ford Fiesta Rally4,9:20.6,8:49.8,8:39.0,9:13.4,33,30,26,24
#109,Sporzon Elvis  - Manocchi Giada Ford Fiesta Rally4,8:32.0,8:11.9,8:19.2,8:25.3,20,19,18,16
#110,Ferrando Fabio  - Gamenara Anna Peugeot 208 R2,8:23.6,8:13.8,8:13.5,8:23.5,15,21,16,15
#111,Gherardi Christian  - Ragnacci L. Peugeot 208 R2,8:45.2,8:27.9,8:19.3,8:48.0,26,25,19,19
#112,D'Alicandro M.  - D'Alicandro L. Ford Fiesta Rally4,8:55.9,8:26.3,8:23.9,_,30,24,21,_
#74,Marchioro Nicolò  - Marchetti M. Peugeot 208 Rally4,7:49.0,7:43.7,7:36.3,7:43.8,2,1,3,1
#75,Martinis Fabrizio  - Boi Valentina Peugeot 208 Rally4,7:51.3,7:50.1,7:36.1,7:46.9,3,3,2,2
#76,Barisan Michele  - Mengon Luca Peugeot 208 Rally4,8:05.6,7:51.0,10:43.7,7:55.7,6,5,1,4
#77,Spagnol Jason  - Bechevolo Fabio Peugeot 208 R2,8:10.9,8:03.1,7:53.4,8:06.5,13,13,9,8
#78,Pierulivo Leonardo  - Ferrigno E. Peugeot 208 R2,8:12.1,_,_,_,14,_,_,_
#79,Stella Manuele  - Refondini Sara Peugeot 208 Rally4,10:07.3,7:58.8,7:46.1,7:53.0,1,10,5,3
#80,Pesavento Davide  - Frigo Marco Peugeot 208 Rally4,7:58.9,_,_,_,5,_,_,_
#81,Ancillotti L.  - Ancillotti C. Peugeot 208 Rally4,8:06.3,7:47.9,7:45.4,7:55.9,7,2,4,5
#82,Caldart Claudio  - Mosena Silvia Ford Fiesta Rally4,8:31.7,8:09.6,8:04.7,8:27.4,19,16,15,17
#83,De Luca Mattia  - Da Rodda A. Peugeot 208 R2,8:28.1,8:05.1,7:55.9,8:23.5,16,15,12,14
#84,Diserò Luca  - Peressutti Stefano Peugeot 208 Rally4,8:28.1,8:11.0,7:55.5,8:07.9,17,18,10,9
#86,Ramponi Paolo  - Ramponi Stefano Peugeot 208 Rally4,8:50.2,8:09.6,8:04.5,8:17.7,27,17,14,10
#87,Cianfriglia Diego  - Mazzini Mirco Peugeot 208 R2,9:07.5,8:42.4,8:27.4,9:00.8,32,29,22,22
#88,Rossetto Osvy  - Polato Giada Opel Corsa Rally4,8:08.1,7:52.1,_,_,10,6,_,_
#91,Strabello Stefano  - Pozzan V. Peugeot 208 Rally4,7:56.4,7:50.5,7:47.5,7:56.0,4,4,6,6
#92,Pintarelli Matteo  - Manica F. Peugeot 208 Rally4,8:09.2,8:01.9,_,_,11,11,_,_
#93,Lovisetto Gianmarco  - Vezzaro Y. Ford Fiesta Rally4,8:31.6,_,_,_,18,_,_,_
#95,Gheno Tobia  - Toffano Mattia Peugeot 208 Rally4,8:07.7,7:54.6,7:49.1,8:19.5,9,7,8,12
#96,Carlet Ermes  - Carlet Enrico Ford Fiesta Rally4,8:53.7,8:23.7,8:27.7,8:36.7,29,23,23,18
#97,De Faveri Joseph  - De Faveri A. Peugeot 208 Rally4,8:44.4,8:22.3,8:20.0,8:54.4,25,22,20,20
#98,Rousopoulos Christos  - Pappas N. Peugeot 208 Rally4,8:32.2,8:02.3,8:14.4,8:18.0,21,12,17,11
#99,Foffano Cristian  - Silvi Luca Peugeot 208 R2,9:01.1,8:37.0,8:28.2,8:55.3,31,27,25,21
