Pos.,No,Crew1,Gr/Cl,ss_time_m,ss_time_s,time_SS_sec,ss,Race
21,#49,Cogni Giorgio  ,Rally4,7,04.4,424.4,1,Adriatico_2023
26,#52,Marchioro Nicolò  ,Rally4,7,16.3,436.3,1,Adriatico_2023
27,#55,Ancillotti L.  ,Rally4,7,16.5,436.5,1,Adriatico_2023
31,#59,Bartolini Davide  ,Rally4,7,22.3,442.3,1,Adriatico_2023
38,#57,Stella Manuele  ,Rally4,7,29.7,449.7,1,Adriatico_2023
40,#72,Leuratti Giorgio  ,Rally4,7,30.7,450.7,1,Adriatico_2023
41,#53,Diserò Luca  ,Rally4,7,31.8,451.8,1,Adriatico_2023
49,#73,Rousopoulos Christos  ,Rally4,7,40.1,460.1,1,Adriatico_2023
36,#58,Brancadori Alberto  ,Rally4 Over 55,7,26.6,446.6,1,Adriatico_2023
19,#51,Fontana Matteo  ,Rally4 Under 25,7,03.4,423.4,1,Adriatico_2023
22,#54,Pesavento Davide  ,Rally4 Under 25,7,06.7,426.7,1,Adriatico_2023
32,#56,Pierulivo Leonardo  ,Rally4 Under 25,7,24.5,444.5,1,Adriatico_2023
37,#74,Zorzi Alessandro  ,Rally4/R2,7,29.5,449.5,1,Adriatico_2023
48,#76,Ricciardi Franco  ,Rally4/R2,7,39.3,459.3,1,Adriatico_2023
54,#75,Frare Luca  ,Rally4/R2,7,50.7,470.7,1,Adriatico_2023
14,#49,Cogni Giorgio  ,Rally4,6,35.8,395.8,2,Adriatico_2023
25,#59,Bartolini Davide  ,Rally4,6,58.8,418.8,2,Adriatico_2023
27,#57,Stella Manuele  ,Rally4,7,00.7,420.7,2,Adriatico_2023
29,#72,Leuratti Giorgio  ,Rally4,7,01.0,421,2,Adriatico_2023
37,#53,Diserò Luca  ,Rally4,7,07.0,427,2,Adriatico_2023
40,#55,Ancillotti L.  ,Rally4,7,07.8,427.8,2,Adriatico_2023
46,#73,Rousopoulos Christos  ,Rally4,7,15.1,435.1,2,Adriatico_2023
35,#58,Brancadori Alberto  ,Rally4 Over 55,7,06.0,426,2,Adriatico_2023
15,#51,Fontana Matteo  ,Rally4 Under 25,6,36.1,396.1,2,Adriatico_2023
20,#54,Pesavento Davide  ,Rally4 Under 25,6,43.5,403.5,2,Adriatico_2023
41,#56,Pierulivo Leonardo  ,Rally4 Under 25,7,09.1,429.1,2,Adriatico_2023
