,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,Marchioro Nico,R5/,1,Prealpi,10/12/2023,gravel,-,1,323.3,323.3,323.3,0.0,0.0,0.0,01
1,Romagna Simone,R5/,1,Prealpi,10/12/2023,gravel,-,2,323.6,323.3,323.3,0.30000000000001137,0.30000000000001137,0.09279307145066852,01
2,Sandrin Andrea,R5/,1,Prealpi,10/12/2023,gravel,-,3,326.6,323.3,323.3,3.3000000000000114,3.3000000000000114,1.0207237859573186,01
3,Cesaro Leonard,R5/,1,Prealpi,10/12/2023,gravel,-,4,326.8,323.3,323.3,3.5,3.5,1.0825858335910918,01
4,Toffano Giovan,R5/,1,Prealpi,10/12/2023,gravel,-,5,327.0,323.3,323.3,3.6999999999999886,3.6999999999999886,1.1444478812248648,01
5,Oriella Paolo ,R5/,1,Prealpi,10/12/2023,gravel,-,6,328.1,323.3,323.3,4.800000000000011,4.800000000000011,1.4846891432106437,01
6,Codato Mattia ,R5/,1,Prealpi,10/12/2023,gravel,-,7,329.0,323.3,323.3,5.699999999999989,5.699999999999989,1.7630683575626318,01
7,Vagnini Jader ,R5/,1,Prealpi,10/12/2023,gravel,-,8,329.1,323.3,323.3,5.800000000000011,5.800000000000011,1.7939993813795272,01
8,Zecchin Emanue,R5/,1,Prealpi,10/12/2023,gravel,-,9,330.2,323.3,323.3,6.899999999999977,6.899999999999977,2.1342406433652883,01
9,Ferronato Mass,R5/,1,Prealpi,10/12/2023,gravel,-,10,331.0,323.3,323.3,7.699999999999989,7.699999999999989,2.3816888339003985,01
10,Spagolla Alber,R5/,1,Prealpi,10/12/2023,gravel,-,11,331.3,323.3,323.3,8.0,8.0,2.474481905351067,01
11,Nicoletti A.  ,R5/,1,Prealpi,10/12/2023,gravel,-,12,331.5,323.3,323.3,8.199999999999989,8.199999999999989,2.5363439529848404,01
12,Pesavento Paol,R5/,1,Prealpi,10/12/2023,gravel,-,13,331.9,323.3,323.3,8.599999999999966,8.599999999999966,2.6600680482523864,01
