,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
36,Tosetto Paolo ,Ral,1,Prealpi,10/12/2023,gravel,-,29,349.0,349.0,323.3,25.69999999999999,0.0,0.0,01
37,Spagnol Jason ,Ral,1,Prealpi,10/12/2023,gravel,-,30,358.2,349.0,323.3,34.89999999999998,9.199999999999989,2.6361031518624607,01
38,Cocco Giovanni,Ral,1,Prealpi,10/12/2023,gravel,-,31,363.5,349.0,323.3,40.19999999999999,14.5,4.154727793696275,01
39,Casonato Rober,Ral,1,Prealpi,10/12/2023,gravel,-,32,365.7,349.0,323.3,42.39999999999998,16.69999999999999,4.7851002865329475,01
40,Nardi Devid  -,Ral,1,Prealpi,10/12/2023,gravel,-,33,365.9,349.0,323.3,42.599999999999966,16.899999999999977,4.842406876790824,01
41,Toffoli Bryan ,Ral,1,Prealpi,10/12/2023,gravel,-,34,366.2,349.0,323.3,42.89999999999998,17.19999999999999,4.928366762177648,01
42,Diserò Luca  -,Ral,1,Prealpi,10/12/2023,gravel,-,35,366.7,349.0,323.3,43.39999999999998,17.69999999999999,5.071633237822346,01
43,Gheno Tobia  -,Ral,1,Prealpi,10/12/2023,gravel,-,37,367.5,349.0,323.3,44.19999999999999,18.5,5.300859598853868,01
44,Pintarelli Mat,Ral,1,Prealpi,10/12/2023,gravel,-,38,368.3,349.0,323.3,45.0,19.30000000000001,5.5300859598853895,01
45,Rossetto Osvy ,Ral,1,Prealpi,10/12/2023,gravel,-,39,368.5,349.0,323.3,45.19999999999999,19.5,5.587392550143266,01
46,Pagnan Alex  -,Ral,1,Prealpi,10/12/2023,gravel,-,40,368.5,349.0,323.3,45.19999999999999,19.5,5.587392550143266,01
47,De Tisi Pietro,Ral,1,Prealpi,10/12/2023,gravel,-,42,370.2,349.0,323.3,46.89999999999998,21.19999999999999,6.07449856733524,01
48,Frigo Giulio  ,Ral,1,Prealpi,10/12/2023,gravel,-,45,373.7,349.0,323.3,50.39999999999998,24.69999999999999,7.077363896848134,01
49,Callegaro Ricc,Ral,1,Prealpi,10/12/2023,gravel,-,46,374.0,349.0,323.3,50.69999999999999,25.0,7.163323782234957,01
50,Lovisetto Gian,Ral,1,Prealpi,10/12/2023,gravel,-,47,374.1,349.0,323.3,50.80000000000001,25.100000000000023,7.191977077363903,01
51,Cappellati Rud,Ral,1,Prealpi,10/12/2023,gravel,-,51,375.7,349.0,323.3,52.39999999999998,26.69999999999999,7.650429799426931,01
52,Puppato Albert,Ral,1,Prealpi,10/12/2023,gravel,-,53,377.3,349.0,323.3,54.0,28.30000000000001,8.108882521489974,01
53,Stevanato Elia,Ral,1,Prealpi,10/12/2023,gravel,-,54,378.4,349.0,323.3,55.099999999999966,29.399999999999977,8.424068767908304,01
54,Pigozzo Enrico,Ral,1,Prealpi,10/12/2023,gravel,-,56,378.6,349.0,323.3,55.30000000000001,29.600000000000023,8.481375358166195,01
55,Roncadori Stef,Ral,1,Prealpi,10/12/2023,gravel,-,57,379.2,349.0,323.3,55.89999999999998,30.19999999999999,8.653295128939826,01
56,Favero Marco  ,Ral,1,Prealpi,10/12/2023,gravel,-,59,381.8,349.0,323.3,58.5,32.80000000000001,9.398280802292266,01
57,Possamai Alex ,Ral,1,Prealpi,10/12/2023,gravel,-,60,382.0,349.0,323.3,58.69999999999999,33.0,9.455587392550143,01
58,De Marco Franc,Ral,1,Prealpi,10/12/2023,gravel,-,61,382.2,349.0,323.3,58.89999999999998,33.19999999999999,9.51289398280802,01
59,Casarotto Andr,Ral,1,Prealpi,10/12/2023,gravel,-,62,382.9,349.0,323.3,59.599999999999966,33.89999999999998,9.713467048710594,01
60,Bouvier Omar  ,Ral,1,Prealpi,10/12/2023,gravel,-,63,383.1,349.0,323.3,59.80000000000001,34.10000000000002,9.770773638968489,01
61,Ramponi Paolo ,Ral,1,Prealpi,10/12/2023,gravel,-,64,384.3,349.0,323.3,61.0,35.30000000000001,10.114613180515763,01
62,Foffano Cristi,Ral,1,Prealpi,10/12/2023,gravel,-,65,384.8,349.0,323.3,61.5,35.80000000000001,10.257879656160462,01
63,Della Maddalen,Ral,1,Prealpi,10/12/2023,gravel,-,66,386.2,349.0,323.3,62.89999999999998,37.19999999999999,10.659025787965613,01
64,Prosenc Borut ,Ral,1,Prealpi,10/12/2023,gravel,-,68,387.0,349.0,323.3,63.69999999999999,38.0,10.888252148997136,01
65,Madrassi Sandr,Ral,1,Prealpi,10/12/2023,gravel,-,70,390.2,349.0,323.3,66.89999999999998,41.19999999999999,11.805157593123205,01
66,Chiaberto F.  ,Ral,1,Prealpi,10/12/2023,gravel,-,71,390.5,349.0,323.3,67.19999999999999,41.5,11.89111747851003,01
67,Mettifogo Manu,Ral,1,Prealpi,10/12/2023,gravel,-,73,390.7,349.0,323.3,67.39999999999998,41.69999999999999,11.948424068767904,01
68,Francesconi D.,Ral,1,Prealpi,10/12/2023,gravel,-,75,391.1,349.0,323.3,67.80000000000001,42.10000000000002,12.063037249283674,01
69,Mazzonelli A. ,Ral,1,Prealpi,10/12/2023,gravel,-,79,393.8,349.0,323.3,70.5,44.80000000000001,12.836676217765048,01
70,Brik  - Michel,Ral,1,Prealpi,10/12/2023,gravel,-,80,393.8,349.0,323.3,70.5,44.80000000000001,12.836676217765048,01
71,Godino Bruno  ,Ral,1,Prealpi,10/12/2023,gravel,-,81,396.1,349.0,323.3,72.80000000000001,47.10000000000002,13.495702005730664,01
72,Moretto Federi,Ral,1,Prealpi,10/12/2023,gravel,-,82,396.7,349.0,323.3,73.39999999999998,47.69999999999999,13.667621776504294,01
73,Baldan Stefano,Ral,1,Prealpi,10/12/2023,gravel,-,83,400.1,349.0,323.3,76.80000000000001,51.10000000000002,14.641833810888258,01
74,Strabello Paol,Ral,1,Prealpi,10/12/2023,gravel,-,85,401.3,349.0,323.3,78.0,52.30000000000001,14.985673352435533,01
75,Beltramo Mauro,Ral,1,Prealpi,10/12/2023,gravel,-,87,401.4,349.0,323.3,78.09999999999997,52.39999999999998,15.014326647564463,01
76,Consalter Igor,Ral,1,Prealpi,10/12/2023,gravel,-,88,402.5,349.0,323.3,79.19999999999999,53.5,15.329512893982807,01
77,Pignani Elia  ,Ral,1,Prealpi,10/12/2023,gravel,-,89,402.9,349.0,323.3,79.59999999999997,53.89999999999998,15.44412607449856,01
78,Vigna Claudio ,Ral,1,Prealpi,10/12/2023,gravel,-,90,404.5,349.0,323.3,81.19999999999999,55.5,15.902578796561603,01
79,Penello Andrea,Ral,1,Prealpi,10/12/2023,gravel,-,91,404.8,349.0,323.3,81.5,55.80000000000001,15.988538681948427,01
80,Gabrici Fabio ,Ral,1,Prealpi,10/12/2023,gravel,-,93,409.7,349.0,323.3,86.39999999999998,60.69999999999999,17.392550143266472,01
81,Segnana Stefan,Ral,1,Prealpi,10/12/2023,gravel,-,98,419.7,349.0,323.3,96.39999999999998,70.69999999999999,20.257879656160455,01
82,Sporzon Elvis ,Ral,1,Prealpi,10/12/2023,gravel,-,101,423.9,349.0,323.3,100.59999999999997,74.89999999999998,21.461318051575926,01
83,Carlet Ermes  ,Ral,1,Prealpi,10/12/2023,gravel,-,102,425.7,349.0,323.3,102.39999999999998,76.69999999999999,21.977077363896843,01
84,Landolfi Diego,Ral,1,Prealpi,10/12/2023,gravel,-,103,430.4,349.0,323.3,107.09999999999997,81.39999999999998,23.323782234957015,01
85,De Sanctis F. ,Ral,1,Prealpi,10/12/2023,gravel,-,106,447.8,349.0,323.3,124.5,98.80000000000001,28.309455587392552,01
86,Dalla Vecchia ,Ral,1,Prealpi,10/12/2023,gravel,-,107,448.0,349.0,323.3,124.69999999999999,99.0,28.36676217765043,01
87,Battistuzzi C.,Ral,1,Prealpi,10/12/2023,gravel,-,108,456.5,349.0,323.3,133.2,107.5,30.802292263610315,01
135,Tosetto Paolo ,Ral,2,Prealpi,10/12/2023,gravel,-,18,345.3,345.3,325.9,19.400000000000034,0.0,0.0,02
136,Sporzon Elvis ,Ral,2,Prealpi,10/12/2023,gravel,-,27,356.8,345.3,325.9,30.900000000000034,11.5,3.3304373008977697,02
137,Cocco Giovanni,Ral,2,Prealpi,10/12/2023,gravel,-,30,364.5,345.3,325.9,38.60000000000002,19.19999999999999,5.560382276281491,02
138,Diserò Luca  -,Ral,2,Prealpi,10/12/2023,gravel,-,32,366.7,345.3,325.9,40.80000000000001,21.399999999999977,6.197509412105409,02
