,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
37,Spagnol Jason ,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,30,358.2,358.2,323.3,34.89999999999998,0.0,0.0,01
38,Cappellati Rud,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,51,375.7,358.2,323.3,52.39999999999998,17.5,4.885538805136795,01
39,Possamai Alex ,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,60,382.0,358.2,323.3,58.69999999999999,23.80000000000001,6.644332774986045,01
40,Casarotto Andr,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,62,382.9,358.2,323.3,59.599999999999966,24.69999999999999,6.895589056393074,01
41,Madrassi Sandr,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,70,390.2,358.2,323.3,66.89999999999998,32.0,8.93355667225014,01
42,Pignani Elia  ,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,89,402.9,358.2,323.3,79.59999999999997,44.69999999999999,12.47906197654941,01
43,Segnana Stefan,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,98,419.7,358.2,323.3,96.39999999999998,61.5,17.16917922948074,01
44,Dalla Vecchia ,Rally4/R2,1,Prealpi,10/12/2023,gravel,-,107,448.0,358.2,323.3,124.69999999999999,89.80000000000001,25.069793411501955,01
45,Cocco Giovanni,Rally4,1,Prealpi,10/12/2023,gravel,-,31,363.5,363.5,323.3,40.19999999999999,0.0,0.0,01
46,Casonato Rober,Rally4,1,Prealpi,10/12/2023,gravel,-,32,365.7,363.5,323.3,42.39999999999998,2.1999999999999886,0.6052269601100381,01
47,Toffoli Bryan ,Rally4,1,Prealpi,10/12/2023,gravel,-,34,366.2,363.5,323.3,42.89999999999998,2.6999999999999886,0.7427785419532293,01
48,Diserò Luca  -,Rally4,1,Prealpi,10/12/2023,gravel,-,35,366.7,363.5,323.3,43.39999999999998,3.1999999999999886,0.8803301237964205,01
