,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Andreucci Paol,R5/Rally2,Prealpi,5:35.1,5:30.4,-,-,-,-
Angi Simone  -,R5/Rally2,Prealpi,5:43.8,5:39.0,5:32.6,5:30.8,5:26.9,5:28.4
Baldan Stefano,Rally3,Prealpi,6:40.1,6:17.5,6:14.3,6:07.5,6:09.9,6:09.5
Bardin Gianni ,R5/Rally2,Prealpi,6:17.0,6:11.0,5:57.0,5:50.7,5:53.0,5:52.3
Bassetto Ricca,R5/Rally2,Prealpi,5:45.5,5:48.8,5:40.9,5:40.5,5:33.6,5:38.0
Battistuzzi C.,Rally5/R1,Prealpi,7:36.5,7:20.2,6:57.6,7:11.0,7:19.2,7:11.0
Beltramo Mauro,Rally5,Prealpi,6:41.4,7:09.0,-,-,-,-
Bigon Michele ,R5/Rally2,Prealpi,5:38.0,6:14.8,5:36.0,11:27.8,5:32.9,5:41.4
Borsoi Elvis  ,R5/Rally2,Prealpi,5:48.8,5:52.3,5:42.6,5:41.6,5:46.7,5:46.2
Bouvier Omar  ,Rally5,Prealpi,6:23.1,6:18.7,6:13.1,6:24.0,6:08.5,6:18.7
Brik  - Michel,Rally5,Prealpi,6:33.8,6:33.2,6:22.1,6:23.9,6:24.5,6:23.9
Cadamuro Flavi,N4,Prealpi,6:18.6,6:20.5,6:06.1,6:23.0,6:05.5,6:23.9
Cairoli Mirko ,N3,Prealpi,6:26.8,6:31.2,6:18.9,6:29.2,6:17.9,6:29.2
Callegaro Fabi,R5/Rally2,Prealpi,5:40.2,5:50.6,5:33.9,5:30.0,5:27.8,5:27.7
Callegaro Ricc,Rally4,Prealpi,6:14.0,6:27.2,6:15.6,6:15.7,6:08.9,6:32.2
Cappellati Rud,Rally4/R2,Prealpi,6:15.7,6:15.6,6:06.6,6:12.6,6:00.8,6:26.2
Carlet Ermes  ,Rally4,Prealpi,7:05.7,-,-,-,-,-
Casarin Matteo,N4,Prealpi,6:14.9,6:14.8,-,-,-,-
