,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
No,Crew,Gr/Cl,,,,,,
#1,Andreucci Paolo  - Briani Rudy Citroën C3 Rally2,R5/Rally2,5:35.1,5:30.4,-,-,-,-
#10,Pesavento Paolo  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,5:31.9,5:36.5,5:30.5,5:29.6,5:23.5,5:24.5
#101,Lando Giampaolo  - Lando Emanuele Renault Clio Williams,A7,6:31.0,6:42.3,-,-,-,-
#102,Mattiuz Alessio  - Mattiuz Alfio Renault Clio Williams,A7,6:30.7,6:25.9,6:27.5,-,-,-
#103,Trentin Angelo  - Trentin Massimo Peugeot 206 RC,A7,6:57.9,7:05.1,6:54.6,6:55.4,6:55.8,6:55.4
#104,Miotto Stefano  - Boscariol R. Renault Clio RS,N3,6:14.7,6:28.9,6:04.5,6:08.5,6:04.1,6:08.5
#105,Recchia Marco  - Simioni Roberto Renault Clio RS,N3,6:28.3,6:35.1,6:12.3,6:27.7,6:25.6,6:27.7
#106,Cairoli Mirko  - Cairoli Alice Peugeot 306 Rallye,N3,6:26.8,6:31.2,6:18.9,6:29.2,6:17.9,6:29.2
#107,Marafon Ennio  - Gallinaro Enrico Opel Astra G OPC,N3,6:58.3,6:52.8,6:43.3,6:50.7,6:54.0,6:50.7
#108,Gozzoli Stefano  - Maifredini G. Suzuki Swift Sport Hybrid,Ra5H,6:59.7,6:44.9,6:43.4,-,-,-
#109,Brik  - Micheletto Lorenzo Renault Clio Rally5,Rally5,6:33.8,6:33.2,6:22.1,6:23.9,6:24.5,6:23.9
#11,Lorenzon Filippo  - Scattolin S. Škoda Fabia RS Rally2,R5/Rally2,5:37.3,5:48.9,5:37.8,5:38.5,5:22.5,5:25.9
#110,Bouvier Omar  - Fraschia Renzo Renault Clio Rally5,Rally5,6:23.1,6:18.7,6:13.1,6:24.0,6:08.5,6:18.7
#111,Della Maddalena Michel  - Mauri F. Renault Clio Rally5,Rally5,6:26.2,6:31.9,6:15.1,6:35.3,6:13.0,6:31.9
#112,Consalter Igor  - Dal Mas S. Renault Clio Rally5,Rally5 Under 25,6:42.5,6:42.7,6:23.1,6:29.2,6:20.8,6:29.2
#113,Chiaberto F.  - Bruno Franco S. Renault Clio Rally5,Rally5,6:30.5,6:28.5,-,-,-,-
#114,Godino Bruno  - Paire Massimo Renault Clio Rally5,Rally5,6:36.1,7:02.1,6:14.9,6:23.8,6:18.4,6:23.8
#115,Landolfi Diego  - Franceschini L. Renault Clio Rally5,Rally5,7:10.4,7:00.6,6:43.6,6:49.8,6:39.7,6:49.8
#116,Mettifogo Manuel  - Melesi B. Renault Clio Rally5,Rally5,6:30.7,6:26.7,6:22.1,6:28.5,6:16.7,6:26.7
#117,Beltramo Mauro  - Marcon Andrea Renault Clio Rally5,Rally5,6:41.4,7:09.0,-,-,-,-
#118,Francesconi D.  - Bertelloni M. Renault Clio Rally5,Rally5,6:31.1,6:29.7,6:19.2,6:34.5,6:24.1,6:29.7
#119,Battistuzzi C.  - Biancolin N. Suzuki Swift 1000 turbo,Rally5/R1,7:36.5,7:20.2,6:57.6,7:11.0,7:19.2,7:11.0
#12,Zecchin Emanuele  - Vettoretti N. Škoda Fabia RS Rally2,R5/Rally2,5:30.2,5:32.7,5:25.4,5:27.7,5:21.8,5:23.2
#120,Manera Luca  - Fedel Franco Suzuki Swift R1B,Ra5N,7:02.0,6:46.1,6:34.0,6:47.5,6:43.9,6:46.1
#122,Chiesura Mattia  - Lovisa Stefano Honda Civic VTi (EG6),A6,6:31.5,6:37.6,6:17.5,6:27.3,6:22.3,6:27.3
#123,Zanarella Antonio  - Sbabo Dajana Opel Corsa B GSi,A6,7:20.3,7:09.0,7:01.5,7:15.4,7:12.0,7:09.0
#124,Cesaro Simone  - Lazzaretto Silvia Suzuki Swift,RS 1.6 Plus,6:47.8,6:45.0,6:56.7,6:40.0,6:46.8,6:40.0
#125,Stocchero Fabio  - Mogentale C. Citroën C2 GT,RS 1.6 Plus,6:51.6,6:53.6,6:31.2,6:39.0,6:34.7,6:39.0
#126,Citron Marco  - Da Ros Andrea MG ZR 105,A5,6:40.5,6:55.0,6:29.9,6:40.3,6:34.4,6:40.3
#127,Dal Cin Wilmo  - Forato Ermanno Citroën Saxo VTS,N2,6:54.6,7:00.5,6:34.7,6:58.5,6:51.9,6:58.5
#14,Sandel Fabio  - Tommasini Sandra Škoda Fabia R5,R5/Rally2,5:41.7,5:43.2,5:35.1,5:33.6,5:27.1,5:30.6
#15,Codato Mattia  - Dinale Christian Škoda Fabia Rally2 evo,R5/Rally2,5:29.0,5:34.7,5:29.1,5:29.9,5:26.3,5:23.1
#16,Ghelfi Loris  - Maran Lorenzo Škoda Fabia Rally2 evo,R5/Rally2,5:41.2,5:56.9,5:41.2,5:41.0,5:36.5,5:36.4
#18,Ferronato Massimo  - Zortea Marco Škoda Fabia R5,R5/Rally2,5:31.0,5:37.0,5:31.0,5:34.5,5:27.6,5:30.6
#19,Angi Simone  - Maddalozzo Jenny Škoda Fabia R5,R5/Rally2,5:43.8,5:39.0,5:32.6,5:30.8,5:26.9,5:28.4
#2,Vagnini Jader  - Rücker S. Škoda Fabia R5,R5/Rally2,5:29.1,5:26.4,5:22.8,5:20.9,5:20.9,5:16.2
#20,Bassetto Riccardo  - Meneano R. Škoda Fabia R5,R5/Rally2,5:45.5,5:48.8,5:40.9,5:40.5,5:33.6,5:38.0
#23,Borsoi Elvis  - Pelloni Stefano Škoda Fabia R5,R5/Rally2,5:48.8,5:52.3,5:42.6,5:41.6,5:46.7,5:46.2
#24,Zamberlan Daniele  - Nicoletti E. Škoda Fabia R5,R5/Rally2,5:33.5,-,-,-,-,-
#25,Zantedeschi Diego  - Righetti S. Škoda Fabia Rally2 evo,R5/Rally2,5:47.6,5:48.6,5:41.7,5:45.9,5:40.5,5:45.0
#26,Rivoira Carlo  - Gallese Camilla Škoda Fabia Rally2 evo,R5/Rally2,7:18.1,6:49.7,7:05.2,6:36.7,6:35.2,6:28.5
#27,Callegaro Fabio  - Franchin F. Škoda Fabia RS Rally2,R5/Rally2,5:40.2,5:50.6,5:33.9,5:30.0,5:27.8,5:27.7
#28,Nicoletti A.  - Zanrosso L. Škoda Fabia Rally2 evo,R5/Rally2,5:31.5,5:49.5,5:36.7,5:33.9,5:35.8,5:57.0
#29,Spagolla Alberto  - Berdin F. Škoda Fabia Rally2 evo,R5/Rally2,5:31.3,5:31.5,5:28.5,5:27.8,5:26.2,5:30.6
#3,Marchioro Nicolò  - Marchetti M. Škoda Fabia Rally2 evo,R5/Rally2,5:23.3,5:29.7,5:22.9,5:23.0,5:16.7,5:17.0
#30,Toffano Giovanni  - Gambasin M. Škoda Fabia Rally2 evo,R5/Rally2,5:27.0,5:32.7,5:34.7,5:28.1,5:25.6,5:32.2
#31,Turatello F.  - Ravazzolo F. Škoda Fabia R5,R5/Rally2,5:46.1,5:42.7,5:36.6,5:33.5,5:30.0,5:30.7
#32,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,5:32.1,5:32.3,5:31.0,5:29.3,5:27.8,5:26.9
#33,Bardin Gianni  - Pascale Luca Škoda Fabia R5,R5/Rally2,6:17.0,6:11.0,5:57.0,5:50.7,5:53.0,5:52.3
#34,Bigon Michele  - Coletti Michele Škoda Fabia Rally2 evo,R5/Rally2,5:38.0,6:14.8,5:36.0,11:27.8,5:32.9,5:41.4
#35,Da Ros Matteo  - Croda Beatrice Citroën DS3 N5,N5,6:07.2,6:01.7,6:08.2,6:21.9,5:51.2,-
#36,Stival Ivan  - Tomasi Paolo Mitsubishi Lancer Evo IX,R4,6:32.5,-,-,-,-,-
#37,Marchioro Antonio  - Biordi A. Mitsubishi Lancer Evo IX,N4,5:47.5,5:47.1,5:44.4,5:41.7,5:42.3,6:02.9
#38,Fiora Federico  - Angeli Alessio Subaru Impreza WRX STi,N4,6:09.4,6:13.9,5:56.4,6:04.8,5:56.1,6:09.7
#39,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,5:48.3,5:51.2,6:43.5,6:40.7,5:46.2,5:52.9
#40,Cadamuro Flavio  - Mosena Silvia Mitsubishi Lancer Evo X,N4,6:18.6,6:20.5,6:06.1,6:23.0,6:05.5,6:23.9
#41,Trevisiol Stefano  - Poloni G. Mitsubishi Lancer Evo X,N4,6:10.3,6:22.8,6:11.0,6:10.0,6:07.3,6:18.7
#42,Sulmoni Paolo  - Bernasconi Enzo Mitsubishi Lancer Evo IX,N4,6:11.3,6:04.7,6:02.8,5:59.2,6:03.9,6:06.4
#43,Maggiolo Matteo  - Savegnago Mauro Mitsubishi Lancer Evo IX,N4,6:15.7,6:21.7,6:06.2,6:20.7,6:06.6,6:16.1
#44,Casarin Matteo  - De Bastiani Sara Mitsubishi Lancer Evo X,N4,6:14.9,6:14.8,-,-,-,-
#45,Cattelan Massimiliano  - Marcon A. Mercedes-Benz 190E 2.3 16V,A8,6:20.0,6:27.5,6:14.2,6:18.5,14:00.3,6:25.1
#46,Pizzolato N.  - Cargnelutti P. Lancia Delta HF Integrale,A8,6:41.4,6:34.0,6:20.4,6:19.7,6:19.9,6:29.0
#47,Zimmermann Sebastian  - Meier R. Volkswagen Golf III Kit Car,K11,6:33.6,6:49.9,6:19.9,6:27.1,6:11.6,6:29.5
#48,Baldan Stefano  - Scramuzza Sonia Ford Fiesta Rally3,Rally3,6:40.1,6:17.5,6:14.3,6:07.5,6:09.9,6:09.5
#49,Sporzon Elvis  - Manocchi Giada Ford Fiesta Rally3,Rally3,7:03.9,5:56.8,5:56.5,5:51.6,5:52.2,5:57.6
#50,Tosetto Paolo Maria  - Tosetto M. Ford Fiesta Rally3,Rally3 Under 25,5:49.0,5:45.3,5:48.2,5:40.6,5:38.7,-
#51,Prosenc Borut  - Selan Blaž Ford Fiesta Rally4,Rally4,6:27.0,6:44.5,6:10.3,6:02.9,5:55.0,6:02.7
#52,Cocco Giovanni  - Buccino C. Peugeot 208 Rally4,Rally4,6:03.5,6:04.5,5:59.5,6:01.1,5:54.4,6:02.9
#53,De Tisi Pietro  - Zanolli A. Peugeot 208 Rally4,Rally4,6:10.2,6:22.1,6:03.6,6:10.3,5:56.7,6:13.1
#54,Pintarelli Matteo  - Corradini E. Peugeot 208 Rally4,Rally4,6:08.3,6:16.8,6:09.0,6:11.0,6:06.7,6:17.8
#55,Lovisetto Gianmarco  - Vezzaro Y. Peugeot 208 Rally4,Rally4,6:14.1,6:21.6,6:34.6,6:15.1,6:09.2,6:18.8
#56,Gheno Tobia  - Toffano Mattia Peugeot 208 Rally4,Rally4,6:07.5,6:15.8,6:04.9,6:09.2,6:06.6,6:30.9
#57,Rossetto Osvy  - Polato Giada Opel Corsa Rally4,Rally4,6:08.5,6:14.1,6:05.9,6:14.9,6:07.7,6:40.3
#58,Mazzonelli A.  - Nardelli G. Peugeot 208 Rally4,Rally4,6:33.8,6:27.6,6:21.8,6:14.1,6:12.9,6:26.8
#59,Carlet Ermes  - Carlet Enrico Ford Fiesta Rally4,Rally4,7:05.7,-,-,-,-,-
#6,Oriella Paolo  - Gheno Martina Škoda Fabia Rally2 evo,R5/Rally2,5:28.1,5:27.9,5:23.4,5:25.2,5:21.0,5:22.1
#7,Sandrin Andrea  - Menegon Manuel Škoda Fabia Rally2 evo,R5/Rally2,5:26.6,5:27.9,5:25.0,5:27.2,5:22.5,5:21.5
#71,Casonato Roberto  - Soldan G. Peugeot 208 Rally4,Rally4,6:05.7,6:11.0,6:07.2,6:09.4,6:02.7,6:19.7
#72,Diserò Luca  - Peressutti Stefano Peugeot 208 Rally4,Rally4,6:06.7,6:06.7,6:03.2,6:02.4,6:02.3,6:09.8
#73,Strabello Paolo  - Mastella Mauro Peugeot 208 Rally4,Rally4,6:41.3,6:31.9,6:19.4,6:22.8,6:16.6,6:33.4
#74,Callegaro Riccardo  - Faustini A. Peugeot 208 Rally4,Rally4,6:14.0,6:27.2,6:15.6,6:15.7,6:08.9,6:32.2
#75,Roncadori Stefano  - Caccin Gloria Peugeot 208 Rally4,Rally4,6:19.2,6:25.5,6:22.3,6:23.9,6:14.8,6:32.5
#76,Toffoli Bryan  - Andrian Fabio Peugeot 208 Rally4,Rally4,6:06.2,6:16.2,6:03.3,6:07.3,5:59.1,6:18.5
#77,Foffano Cristian  - Silvi Luca Peugeot 208 Rally4,Rally4,6:24.8,6:44.3,6:22.9,6:27.3,6:21.3,6:42.3
#78,Stevanato Elia  - De Lazzari E. Peugeot 208 Rally4,Rally4,6:18.4,6:23.5,6:14.2,6:19.1,6:12.4,6:38.8
#79,Moretto Federico  - Troian Roberto Ford Fiesta Rally4,Rally4,6:36.7,6:28.1,6:20.4,6:21.6,6:16.6,6:30.3
#8,Romagna Simone  - Lamonato Dino Škoda Fabia Rally2 evo,R5/Rally2,5:23.6,5:25.9,5:22.1,5:19.2,5:20.2,5:16.9
