Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#3,Marchioro Nicolò  - Marchetti M. Škoda Fabia Rally2 evo,R5/Rally2,5:23.3,,80.2,1
2,#8,Romagna Simone  - Lamonato Dino Škoda Fabia Rally2 evo,R5/Rally2,5:23.6,+0.3 +  0.3,80.1 0.04,1
3,#7,Sandrin Andrea  - Menegon Manuel Škoda Fabia Rally2 evo,R5/Rally2,5:26.6,+3.3 +  3.0,79.4 0.46,1
4,#9,Cesaro Leonardo  - Gaio Alessandro Škoda Fabia R5,R5/Rally2,5:26.8,+3.5 +  0.2,79.3 0.49,1
5,#30,Toffano Giovanni  - Gambasin M. Škoda Fabia Rally2 evo,R5/Rally2,5:27.0,+3.7 +  0.2,79.3 0.51,1
6,#6,Oriella Paolo  - Gheno Martina Škoda Fabia Rally2 evo,R5/Rally2,5:28.1,+4.8 +  1.1,79.0 0.67,1
7,#15,Codato Mattia  - Dinale Christian Škoda Fabia Rally2 evo,R5/Rally2,5:29.0,+5.7 +  0.9,78.8 0.79,1
8,#2,Vagnini Jader  - Rücker S. Škoda Fabia R5,R5/Rally2,5:29.1,+5.8 +  0.1,78.8 0.81,1
9,#12,Zecchin Emanuele  - Vettoretti N. Škoda Fabia RS Rally2,R5/Rally2,5:30.2,+6.9 +  1.1,78.5 0.96,1
10,#18,Ferronato Massimo  - Zortea Marco Škoda Fabia R5,R5/Rally2,5:31.0,+7.7 +  0.8,78.3 1.07,1
11,#29,Spagolla Alberto  - Berdin F. Škoda Fabia Rally2 evo,R5/Rally2,5:31.3,+8.0 +  0.3,78.2 1.11,1
12,#28,Nicoletti A.  - Zanrosso L. Škoda Fabia Rally2 evo,R5/Rally2,5:31.5,+8.2 +  0.2,78.2 1.14,1
13,#10,Pesavento Paolo  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,5:31.9,+8.6 +  0.4,78.1 1.19,1
14,#32,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,5:32.1,+8.8 +  0.2,78.0 1.22,1
15,#24,Zamberlan Daniele  - Nicoletti E. Škoda Fabia R5,R5/Rally2,5:33.5,+10.2 +  1.4,77.7 1.42,1
16,#1,Andreucci Paolo  - Briani Rudy Citroën C3 Rally2,R5/Rally2,5:35.1,+11.8 +  1.6,77.4 1.64,1
17,#11,Lorenzon Filippo  - Scattolin S. Škoda Fabia RS Rally2,R5/Rally2,5:37.3,+14.0 +  2.2,76.8 1.94,1
18,#34,Bigon Michele  - Coletti Michele Škoda Fabia Rally2 evo,R5/Rally2,5:38.0,+14.7 +  0.7,76.7 2.04,1
19,#27,Callegaro Fabio  - Franchin F. Škoda Fabia RS Rally2,R5/Rally2,5:40.2,+16.9 +  2.2,76.2 2.35,1
20,#16,Ghelfi Loris  - Maran Lorenzo Škoda Fabia Rally2 evo,R5/Rally2,5:41.2,+17.9 +  1.0,76.0 2.49,1
21,#14,Sandel Fabio  - Tommasini Sandra Škoda Fabia R5,R5/Rally2,5:41.7,+18.4 +  0.5,75.9 2.56,1
22,#19,Angi Simone  - Maddalozzo Jenny Škoda Fabia R5,R5/Rally2,5:43.8,+20.5 +  2.1,75.4 2.85,1
23,#20,Bassetto Riccardo  - Meneano R. Škoda Fabia R5,R5/Rally2,5:45.5,+22.2 +  1.7,75.0 3.08,1
24,#31,Turatello F.  - Ravazzolo F. Škoda Fabia R5,R5/Rally2,5:46.1,+22.8 +  0.6,74.9 3.17,1
25,#37,Marchioro Antonio  - Biordi A. Mitsubishi Lancer Evo IX,N4,5:47.5,+24.2 +  1.4,74.6 3.36,1
26,#25,Zantedeschi Diego  - Righetti S. Škoda Fabia Rally2 evo,R5/Rally2,5:47.6,+24.3 +  0.1,74.6 3.38,1
27,#39,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,5:48.3,+25.0 +  0.7,74.4 3.47,1
28,#23,Borsoi Elvis  - Pelloni Stefano Škoda Fabia R5,R5/Rally2,5:48.8,+25.5 +  0.5,74.3 3.54,1
29,#50,Tosetto Paolo Maria  - Tosetto M. Ford Fiesta Rally3,Rally3 Under 25,5:49.0,+25.7 +  0.2,74.3 3.57,1
30,#90,Spagnol Jason  - Bechevolo Fabio Peugeot 208 R2,Rally4/R2,5:58.2,+34.9 +  9.2,72.4 4.85,1
31,#52,Cocco Giovanni  - Buccino C. Peugeot 208 Rally4,Rally4,6:03.5,+40.2 +  5.3,71.3 5.58,1
32,#71,Casonato Roberto  - Soldan G. Peugeot 208 Rally4,Rally4,6:05.7,+42.4 +  2.2,70.9 5.89,1
33,#95,Nardi Devid  - Borin Michele Peugeot 208 R2,Rally4/R2 Under 25,6:05.9,+42.6 +  0.2,70.8 5.92,1
34,#76,Toffoli Bryan  - Andrian Fabio Peugeot 208 Rally4,Rally4,6:06.2,+42.9 +  0.3,70.8 5.96,1
35,#72,Diserò Luca  - Peressutti Stefano Peugeot 208 Rally4,Rally4,6:06.7,+43.4 +  0.5,70.7 6.03,1
36,#35,Da Ros Matteo  - Croda Beatrice Citroën DS3 N5,N5,6:07.2,+43.9 +  0.5,70.6 6.10,1
37,#56,Gheno Tobia  - Toffano Mattia Peugeot 208 Rally4,Rally4,6:07.5,+44.2 +  0.3,70.5 6.14,1
38,#54,Pintarelli Matteo  - Corradini E. Peugeot 208 Rally4,Rally4,6:08.3,+45.0 +  0.8,70.4 6.25,1
39,#57,Rossetto Osvy  - Polato Giada Opel Corsa Rally4,Rally4,6:08.5,+45.2 +  0.2,70.3 6.28,1
39,#84,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,6:08.5,+45.2 +  0.0,70.3 6.28,1
41,#38,Fiora Federico  - Angeli Alessio Subaru Impreza WRX STi,N4,6:09.4,+46.1 +  0.9,70.2 6.40,1
42,#53,De Tisi Pietro  - Zanolli A. Peugeot 208 Rally4,Rally4,6:10.2,+46.9 +  0.8,70.0 6.51,1
43,#41,Trevisiol Stefano  - Poloni G. Mitsubishi Lancer Evo X,N4,6:10.3,+47.0 +  0.1,70.0 6.53,1
44,#42,Sulmoni Paolo  - Bernasconi Enzo Mitsubishi Lancer Evo IX,N4,6:11.3,+48.0 +  1.0,69.8 6.67,1
45,#82,Frigo Giulio  - Frigo Riccardo Peugeot 208 Rally4,Rally4,6:13.7,+50.4 +  2.4,69.4 7.00,1
46,#74,Callegaro Riccardo  - Faustini A. Peugeot 208 Rally4,Rally4,6:14.0,+50.7 +  0.3,69.3 7.04,1
47,#55,Lovisetto Gianmarco  - Vezzaro Y. Peugeot 208 Rally4,Rally4,6:14.1,+50.8 +  0.1,69.3 7.06,1
48,#104,Miotto Stefano  - Boscariol R. Renault Clio RS,N3,6:14.7,+51.4 +  0.6,69.2 7.14,1
49,#44,Casarin Matteo  - De Bastiani Sara Mitsubishi Lancer Evo X,N4,6:14.9,+51.6 +  0.2,69.1 7.17,1
50,#43,Maggiolo Matteo  - Savegnago Mauro Mitsubishi Lancer Evo IX,N4,6:15.7,+52.4 +  0.8,69.0 7.28,1
50,#93,Cappellati Rudi  - Dal Dosso Sonia Peugeot 208 R2,Rally4/R2,6:15.7,+52.4 +  0.0,69.0 7.28,1
52,#33,Bardin Gianni  - Pascale Luca Škoda Fabia R5,R5/Rally2,6:17.0,+53.7 +  1.3,68.8 7.46,1
53,#85,Puppato Alberto  - Barison Michele Peugeot 208 Rally4,Rally4,6:17.3,+54.0 +  0.3,68.7 7.50,1
54,#78,Stevanato Elia  - De Lazzari E. Peugeot 208 Rally4,Rally4,6:18.4,+55.1 +  1.1,68.5 7.65,1
55,#40,Cadamuro Flavio  - Mosena Silvia Mitsubishi Lancer Evo X,N4,6:18.6,+55.3 +  0.2,68.5 7.68,1
55,#87,Pigozzo Enrico  - Budoia Andrea Peugeot 208 Rally4,Rally4,6:18.6,+55.3 +  0.0,68.5 7.68,1
57,#75,Roncadori Stefano  - Caccin Gloria Peugeot 208 Rally4,Rally4,6:19.2,+55.9 +  0.6,68.4 7.76,1
58,#45,Cattelan Massimiliano  - Marcon A. Mercedes-Benz 190E 2.3 16V,A8,6:20.0,+56.7 +  0.8,68.2 7.88,1
59,#92,Favero Marco  - Tessaro Rudy Peugeot 208 R2,Rally4/R2 Under 25,6:21.8,+58.5 +  1.8,67.9 8.13,1
60,#98,Possamai Alex  - Moruzzi Genny Peugeot 208 R2,Rally4/R2,6:22.0,+58.7 +  0.2,67.9 8.15,1
61,#88,De Marco Franco  - De Marco Renè Peugeot 208 Rally4,Rally4,6:22.2,+58.9 +  0.2,67.8 8.18,1
62,#91,Casarotto Andrea  - Briani Roberto Peugeot 208 R2,Rally4/R2,6:22.9,+59.6 +  0.7,67.7 8.28,1
63,#110,Bouvier Omar  - Fraschia Renzo Renault Clio Rally5,Rally5,6:23.1,+59.8 +  0.2,67.7 8.31,1
64,#80,Ramponi Paolo  - Marchesini Andrea Peugeot 208 Rally4,Rally4 Under 25,6:24.3,+1:01.0 +  1.2,67.4 8.47,1
65,#77,Foffano Cristian  - Silvi Luca Peugeot 208 Rally4,Rally4,6:24.8,+1:01.5 +  0.5,67.4 8.54,1
66,#111,Della Maddalena Michel  - Mauri F. Renault Clio Rally5,Rally5,6:26.2,+1:02.9 +  1.4,67.1 8.74,1
67,#106,Cairoli Mirko  - Cairoli Alice Peugeot 306 Rallye,N3,6:26.8,+1:03.5 +  0.6,67.0 8.82,1
68,#51,Prosenc Borut  - Selan Blaž Ford Fiesta Rally4,Rally4,6:27.0,+1:03.7 +  0.2,67.0 8.85,1
69,#105,Recchia Marco  - Simioni Roberto Renault Clio RS,N3,6:28.3,+1:05.0 +  1.3,66.8 9.03,1
70,#99,Madrassi Sandro  - Ronzani C. Peugeot 208 R2,Rally4/R2,6:30.2,+1:06.9 +  1.9,66.4 9.29,1
71,#113,Chiaberto F.  - Bruno Franco S. Renault Clio Rally5,Rally5,6:30.5,+1:07.2 +  0.3,66.4 9.33,1
72,#102,Mattiuz Alessio  - Mattiuz Alfio Renault Clio Williams,A7,6:30.7,+1:07.4 +  0.2,66.3 9.36,1
72,#116,Mettifogo Manuel  - Melesi B. Renault Clio Rally5,Rally5,6:30.7,+1:07.4 +  0.0,66.3 9.36,1
74,#101,Lando Giampaolo  - Lando Emanuele Renault Clio Williams,A7,6:31.0,+1:07.7 +  0.3,66.3 9.40,1
75,#118,Francesconi D.  - Bertelloni M. Renault Clio Rally5,Rally5,6:31.1,+1:07.8 +  0.1,66.3 9.42,1
76,#122,Chiesura Mattia  - Lovisa Stefano Honda Civic VTi (EG6),A6,6:31.5,+1:08.2 +  0.4,66.2 9.47,1
77,#36,Stival Ivan  - Tomasi Paolo Mitsubishi Lancer Evo IX,R4,6:32.5,+1:09.2 +  1.0,66.0 9.61,1
78,#47,Zimmermann Sebastian  - Meier R. Volkswagen Golf III Kit Car,K11,6:33.6,+1:10.3 +  1.1,65.9 9.76,1
79,#58,Mazzonelli A.  - Nardelli G. Peugeot 208 Rally4,Rally4,6:33.8,+1:10.5 +  0.2,65.8 9.79,1
79,#109,Brik  - Micheletto Lorenzo Renault Clio Rally5,Rally5,6:33.8,+1:10.5 +  0.0,65.8 9.79,1
81,#114,Godino Bruno  - Paire Massimo Renault Clio Rally5,Rally5,6:36.1,+1:12.8 +  2.3,65.4 10.1,1
82,#79,Moretto Federico  - Troian Roberto Ford Fiesta Rally4,Rally4,6:36.7,+1:13.4 +  0.6,65.3 10.2,1
83,#48,Baldan Stefano  - Scramuzza Sonia Ford Fiesta Rally3,Rally3,6:40.1,+1:16.8 +  3.4,64.8 10.7,1
84,#126,Citron Marco  - Da Ros Andrea MG ZR 105,A5,6:40.5,+1:17.2 +  0.4,64.7 10.7,1
85,#73,Strabello Paolo  - Mastella Mauro Peugeot 208 Rally4,Rally4,6:41.3,+1:18.0 +  0.8,64.6 10.8,1
86,#46,Pizzolato N.  - Cargnelutti P. Lancia Delta HF Integrale,A8,6:41.4,+1:18.1 +  0.1,64.6 10.9,1
86,#117,Beltramo Mauro  - Marcon Andrea Renault Clio Rally5,Rally5,6:41.4,+1:18.1 +  0.0,64.6 10.9,1
88,#112,Consalter Igor  - Dal Mas S. Renault Clio Rally5,Rally5 Under 25,6:42.5,+1:19.2 +  1.1,64.4 11.0,1
89,#94,Pignani Elia  - Gorrieri Fabrizio Peugeot 208 R2,Rally4/R2,6:42.9,+1:19.6 +  0.4,64.3 11.1,1
90,#86,Vigna Claudio  - Bulfon Anna Ford Fiesta R2,Rally4,6:44.5,+1:21.2 +  1.6,64.1 11.3,1
91,#81,Penello Andrea  - Dal Maso Andrea Peugeot 208 Rally4,Rally4 Under 25,6:44.8,+1:21.5 +  0.3,64.0 11.3,1
92,#124,Cesaro Simone  - Lazzaretto Silvia Suzuki Swift,RS 1.6 Plus,6:47.8,+1:24.5 +  3.0,63.6 11.7,1
93,#89,Gabrici Fabio  - Platta Matteo Peugeot 208 Rally4,Rally4,6:49.7,+1:26.4 +  1.9,63.3 12.0,1
94,#125,Stocchero Fabio  - Mogentale C. Citroën C2 GT,RS 1.6 Plus,6:51.6,+1:28.3 +  1.9,63.0 12.3,1
95,#127,Dal Cin Wilmo  - Forato Ermanno Citroën Saxo VTS,N2,6:54.6,+1:31.3 +  3.0,62.5 12.7,1
96,#103,Trentin Angelo  - Trentin Massimo Peugeot 206 RC,A7,6:57.9,+1:34.6 +  3.3,62.0 13.1,1
97,#107,Marafon Ennio  - Gallinaro Enrico Opel Astra G OPC,N3,6:58.3,+1:35.0 +  0.4,62.0 13.2,1
98,#96,Segnana Stefano  - Somenzi G. Peugeot 208 R2,Rally4/R2,6:59.7,+1:36.4 +  1.4,61.8 13.4,1
98,#108,Gozzoli Stefano  - Maifredini G. Suzuki Swift Sport Hybrid,Ra5H,6:59.7,+1:36.4 +  0.0,61.8 13.4,1
100,#120,Manera Luca  - Fedel Franco Suzuki Swift R1B,Ra5N,7:02.0,+1:38.7 +  2.3,61.4 13.7,1
101,#49,Sporzon Elvis  - Manocchi Giada Ford Fiesta Rally3,Rally3,7:03.9,+1:40.6 +  1.9,61.1 14.0,1
102,#59,Carlet Ermes  - Carlet Enrico Ford Fiesta Rally4,Rally4,7:05.7,+1:42.4 +  1.8,60.9 14.2,1
103,#115,Landolfi Diego  - Franceschini L. Renault Clio Rally5,Rally5,7:10.4,+1:47.1 +  4.7,60.2 14.9,1
104,#26,Rivoira Carlo  - Gallese Camilla Škoda Fabia Rally2 evo,R5/Rally2,7:18.1,+1:54.8 +  7.7,59.2 15.9,1
105,#123,Zanarella Antonio  - Sbabo Dajana Opel Corsa B GSi,A6,7:20.3,+1:57.0 +  2.2,58.9 16.3,1
106,#83,De Sanctis F.  - Tarchiani M. Peugeot 208 Rally4,Rally4,7:27.8,+2:04.5 +  7.5,57.9 17.3,1
107,#97,Dalla Vecchia C.  - Dalla Vecchia F. Peugeot 208 R2,Rally4/R2,7:28.0,+2:04.7 +  0.2,57.9 17.3,1
108,#119,Battistuzzi C.  - Biancolin N. Suzuki Swift 1000 turbo,Rally5/R1,7:36.5,+2:13.2 +  8.5,56.8 18.5,1
1,#8,Romagna Simone  - Lamonato Dino Škoda Fabia Rally2 evo,R5/Rally2,5:25.9,,80.1,2
2,#2,Vagnini Jader  - Rücker S. Škoda Fabia R5,R5/Rally2,5:26.4,+0.5 +  0.5,80.0 0.07,2
3,#6,Oriella Paolo  - Gheno Martina Škoda Fabia Rally2 evo,R5/Rally2,5:27.9,+2.0 +  1.5,79.6 0.28,2
3,#7,Sandrin Andrea  - Menegon Manuel Škoda Fabia Rally2 evo,R5/Rally2,5:27.9,+2.0 +  0.0,79.6 0.28,2
5,#3,Marchioro Nicolò  - Marchetti M. Škoda Fabia Rally2 evo,R5/Rally2,5:29.7,+3.8 +  1.8,79.2 0.52,2
6,#1,Andreucci Paolo  - Briani Rudy Citroën C3 Rally2,R5/Rally2,5:30.4,+4.5 +  0.7,79.0 0.62,2
7,#29,Spagolla Alberto  - Berdin F. Škoda Fabia Rally2 evo,R5/Rally2,5:31.5,+5.6 +  1.1,78.7 0.77,2
8,#32,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,5:32.3,+6.4 +  0.8,78.5 0.88,2
9,#12,Zecchin Emanuele  - Vettoretti N. Škoda Fabia RS Rally2,R5/Rally2,5:32.7,+6.8 +  0.4,78.4 0.94,2
9,#30,Toffano Giovanni  - Gambasin M. Škoda Fabia Rally2 evo,R5/Rally2,5:32.7,+6.8 +  0.0,78.4 0.94,2
11,#15,Codato Mattia  - Dinale Christian Škoda Fabia Rally2 evo,R5/Rally2,5:34.7,+8.8 +  2.0,78.0 1.21,2
12,#9,Cesaro Leonardo  - Gaio Alessandro Škoda Fabia R5,R5/Rally2,5:36.1,+10.2 +  1.4,77.7 1.41,2
13,#10,Pesavento Paolo  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,5:36.5,+10.6 +  0.4,77.6 1.46,2
14,#18,Ferronato Massimo  - Zortea Marco Škoda Fabia R5,R5/Rally2,5:37.0,+11.1 +  0.5,77.4 1.53,2
15,#19,Angi Simone  - Maddalozzo Jenny Škoda Fabia R5,R5/Rally2,5:39.0,+13.1 +  2.0,77.0 1.81,2
16,#31,Turatello F.  - Ravazzolo F. Škoda Fabia R5,R5/Rally2,5:42.7,+16.8 +  3.7,76.2 2.32,2
17,#14,Sandel Fabio  - Tommasini Sandra Škoda Fabia R5,R5/Rally2,5:43.2,+17.3 +  0.5,76.0 2.39,2
18,#50,Tosetto Paolo Maria  - Tosetto M. Ford Fiesta Rally3,Rally3 Under 25,5:45.3,+19.4 +  2.1,75.6 2.68,2
