0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,MonteCarlo,8,8,9,9,5,8,8,6,7,5,6,13,5,6,7,7,5,6
6,Sordo  Dan,RC1,MonteCarlo,9,6,7,7,6,7,7,8,9,8,8,7,8,10,5,8,6,7
7,Loubet  P.,RC1,MonteCarlo,7,7,6,8,43,57,61,54,8,71,70,69,67,65,39,5,-,-
8,Tänak  Ott,RC1,MonteCarlo,6,3,5,5,7,6,6,5,5,7,5,6,7,7,7,9,12,2
9,Serderidis,RC1,MonteCarlo,40,49,34,30,32,31,33,30,25,32,30,24,27,24,28,23,23,21
11,Neuville  ,RC1,MonteCarlo,3,4,4,3,3,5,4,2,4,4,4,1,1,2,4,3,4,4
17,Ogier  S. ,RC1,MonteCarlo,1,1,1,1,1,2,1,3,3,1,2,4,4,4,1,2,1,5
18,Katsuta  T,RC1,MonteCarlo,4,10,8,4,4,4,5,4,6,6,7,5,6,5,6,4,2,22
20,Fourmaux  ,RC2,MonteCarlo,16,14,19,15,13,17,14,16,17,15,11,15,14,11,16,17,19,12
21,Rossel  Yo,RC2,MonteCarlo,13,11,11,12,11,11,11,14,12,11,12,10,15,16,9,10,10,9
22,Lefebvre  ,RC2,MonteCarlo,11,12,15,14,10,15,13,12,15,14,15,12,13,13,12,68,11,11
23,Solberg  O,RC2,MonteCarlo,14,34,10,10,9,9,9,9,11,9,37,8,9,9,10,12,8,8
24,Gryazin  N,RC2,MonteCarlo,10,9,12,11,8,10,10,13,10,13,9,11,12,20,10,11,9,10
25,Munster  G,RC2,MonteCarlo,25,20,20,20,15,19,17,17,19,18,16,19,19,15,21,24,18,19
26,Bulacia  M,RC2,MonteCarlo,19,17,13,17,23,13,15,15,14,16,14,16,16,40,15,15,16,18
27,Cais  Erik,RC2,MonteCarlo,15,18,16,13,14,12,22,10,16,12,10,9,11,8,13,14,14,13
28,Ingram  Ch,RC2,MonteCarlo,17,15,14,18,16,16,16,18,17,17,17,17,17,17,17,18,15,15
29,Johnston  ,RC2,MonteCarlo,31,19,25,21,21,21,18,19,33,19,20,22,20,18,22,-,-,-
31,McErlean  ,RC2,MonteCarlo,23,22,22,22,18,22,20,21,21,72,71,70,68,66,19,19,20,16
32,Creighton ,RC2,MonteCarlo,30,28,24,26,19,25,22,23,23,21,65,21,22,66,25,69,48,62
33,Evans  Elf,RC1,MonteCarlo,2,2,2,2,22,1,2,7,2,2,2,2,3,3,2,6,7,3
34,López  J. ,RC2,MonteCarlo,12,13,18,16,12,14,12,11,12,10,13,14,10,12,14,16,13,14
35,Cachon  A.,RC2,MonteCarlo,20,23,17,19,17,18,19,19,20,62,18,18,18,14,20,13,17,17
36,Miele  Mau,RC2,MonteCarlo,22,24,29,28,26,26,25,24,27,22,21,23,23,21,26,22,25,24
37,Delecour  ,RC2,MonteCarlo,21,16,21,23,20,20,21,22,22,20,19,20,21,19,23,20,21,20
38,Burri  Oli,RC2,MonteCarlo,24,25,28,71,70,68,67,67,34,23,23,28,25,26,32,31,32,28
39,Keferböck ,RC2,MonteCarlo,33,32,32,31,29,33,34,31,30,30,28,30,33,31,36,34,30,29
40,Bontempell,RC2,MonteCarlo,49,55,43,41,41,43,40,41,39,34,44,46,35,30,38,32,34,36
41,Alonso  Da,RC2,MonteCarlo,27,29,31,46,70,68,67,67,29,27,32,71,31,36,30,25,29,26
42,Boland  Ea,RC2,MonteCarlo,39,47,37,37,34,37,39,44,43,37,38,35,33,46,-,-,-,-
44,Rosati  F.,RC2,MonteCarlo,45,42,42,43,50,68,67,67,58,40,35,38,68,66,42,56,-,-
45,Patera  Si,RC2,MonteCarlo,46,53,46,44,66,49,52,51,48,52,54,48,47,49,41,30,39,33
46,Niboli  Si,RC2,MonteCarlo,38,38,54,48,52,45,45,43,51,46,46,50,44,43,33,36,33,32
47,Marchino  ,RC2,MonteCarlo,52,56,56,56,55,54,56,57,56,60,63,56,58,59,55,52,52,48
48,Arengi Ben,RC2,MonteCarlo,51,39,73,45,42,44,67,67,41,36,43,43,39,32,47,39,46,39
49,Merli  Chr,RC2,MonteCarlo,32,37,38,34,36,29,27,29,37,28,25,29,26,28,29,27,27,25
50,Vossen  He,RC2,MonteCarlo,69,70,63,65,62,60,59,60,62,63,60,57,57,60,61,63,64,60
51,Hirschi  J,RC2,MonteCarlo,28,30,26,25,24,34,32,32,-,-,-,-,-,-,-,-,-,-
52,Gamba  Mat,RC2,MonteCarlo,18,21,23,24,25,23,24,26,24,24,22,25,24,22,18,21,23,23
53,Gino  Ales,RC2,MonteCarlo,29,26,27,29,27,28,28,27,26,26,24,26,29,25,27,28,28,66
54,Baffoun  P,RC2,MonteCarlo,35,35,33,35,28,30,30,34,32,25,33,32,30,33,37,35,31,37
55,Desangles ,RC2,MonteCarlo,55,51,47,38,37,39,38,40,44,43,41,40,41,42,50,43,42,43
56,Albertini ,RC2,MonteCarlo,41,48,51,47,39,41,37,38,47,38,39,43,36,37,40,41,44,47
57,Pistachi  ,RC2,MonteCarlo,36,31,35,33,35,32,31,36,40,49,34,37,40,35,31,29,26,31
58,Haut-Labou,RC2,MonteCarlo,34,33,40,32,30,27,26,28,31,29,29,31,28,27,70,54,40,40
59,Riberi  Br,RC2,MonteCarlo,26,27,30,27,31,24,29,25,28,35,26,26,32,23,24,26,22,27
60,Tanci  Pie,RC2,MonteCarlo,53,50,41,39,46,46,44,52,45,44,48,41,71,70,51,44,36,67
61,László  Z.,RC2,MonteCarlo,43,41,53,42,44,48,43,49,46,47,45,42,42,50,48,40,37,42
62,Pergola  P,RC2,MonteCarlo,48,45,48,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-
63,Frau  Rich,RGT,MonteCarlo,72,72,69,66,64,64,63,59,72,67,-,-,-,-,-,-,-,-
64,Royere  Er,RGT,MonteCarlo,57,57,45,52,45,47,47,42,50,45,50,47,48,48,44,37,41,35
65,Fontalba  ,RGT,MonteCarlo,42,40,39,73,74,71,71,73,35,39,42,33,65,44,53,50,49,51
66,Ferraro  D,RGT,MonteCarlo,56,54,52,51,51,36,46,48,52,51,49,49,50,52,34,42,35,30
67,Panagiotis,RGT,MonteCarlo,37,36,36,36,39,35,35,37,36,33,31,34,37,34,43,33,37,34
68,Irlacher  ,RC4,MonteCarlo,47,44,55,53,53,52,50,45,54,54,53,52,52,47,54,49,52,45
69,Rovanperä ,RC1,MonteCarlo,5,5,3,6,2,3,3,1,1,3,1,3,2,1,2,1,3,1
70,Dal Zotto ,RC4,MonteCarlo,67,67,74,74,73,72,72,71,66,63,64,64,60,57,64,60,60,57
71,Baugé  Bau,RC4,MonteCarlo,50,46,50,50,38,40,42,33,49,42,47,45,70,71,45,46,45,38
72,Mallard  J,RC4,MonteCarlo,73,73,72,70,68,67,66,63,70,68,66,65,63,62,69,66,67,65
73,Pedalà  M.,RC4,MonteCarlo,58,58,59,55,49,53,51,46,53,50,36,51,46,51,46,47,50,48
74,Fontana  M,RC4,MonteCarlo,61,61,57,54,48,50,48,47,55,48,40,53,45,38,49,48,51,46
75,Ciato  S. ,RC4,MonteCarlo,59,59,58,61,54,51,49,66,61,56,57,59,53,54,58,55,54,50
76,Prévalet  ,RC4,MonteCarlo,54,52,44,40,33,38,36,35,38,31,27,36,38,29,35,38,42,41
77,Marazzato ,RC4,MonteCarlo,68,68,64,58,69,72,72,71,67,66,58,68,61,61,63,58,59,54
78,Rossi  Ghj,RC4,MonteCarlo,44,43,49,49,47,42,41,38,42,41,51,39,43,45,51,45,47,44
79,Michellier,RC4,MonteCarlo,66,66,65,62,59,59,58,61,64,59,61,61,59,53,62,61,61,55
80,Aymard  Jé,RC4,MonteCarlo,63,63,62,59,61,58,53,55,63,65,59,60,54,56,60,57,57,56
81,Palmero  J,RC4,MonteCarlo,71,71,70,68,65,65,64,64,71,69,66,67,64,64,68,65,65,63
82,Prat  Jéré,RC5,MonteCarlo,62,62,67,63,57,56,54,50,59,53,52,55,49,39,56,53,55,53
83,Vialle  Li,RC5,MonteCarlo,65,65,66,64,60,63,60,58,65,57,62,62,56,58,66,62,62,59
84,Ressegaire,RC5,MonteCarlo,60,60,60,57,58,55,55,53,57,55,55,54,51,41,57,51,56,52
85,Berard  C.,RC5,MonteCarlo,64,64,61,67,63,62,62,62,68,61,66,63,62,63,65,64,63,61
86,Dessi  Mar,RC5,MonteCarlo,74,74,71,69,67,66,65,65,69,70,66,66,66,69,67,67,66,64
87,Charnay  J,RC5,MonteCarlo,70,69,68,60,56,61,57,56,60,58,56,58,55,55,59,59,58,58
