SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
00:10:34.5,00:16:40.6,00:10:12.8,00:12:00.8,00:08:38.4,00:10:04.5,00:11:55.0,00:08:30.5,00:09:19.7,00:09:34.4,00:11:48.0,00:09:37.2,00:09:34.2,00:11:52.3,00:12:35.2,00:10:19.5,00:12:24.5,00:10:11.2
00:10:35.3,00:16:30.5,00:10:07.5,00:11:55.1,00:08:39.5,00:09:57.8,00:11:49.6,00:08:34.3,00:09:25.5,00:09:42.7,00:11:56.9,00:09:15.0,00:09:40.5,00:12:10.1,00:12:30.5,00:10:19.6,00:12:25.0,00:10:14.1
00:10:33.8,00:16:40.2,00:10:02.9,00:11:55.8,00:10:02.6,00:12:25.2,00:15:23.0,00:11:09.7,00:09:25.2,00:19:27.1,00:21:35.7,00:19:01.8,00:19:27.6,00:21:30.2,00:14:16.4,00:10:15.7,-,-
00:10:31.5,00:16:17.6,00:10:02.7,00:11:52.5,00:08:39.7,00:09:53.7,00:11:46.2,00:08:29.7,00:09:11.3,00:09:36.7,00:11:45.4,00:09:08.0,00:09:37.3,00:11:56.5,00:12:35.2,00:10:20.7,00:12:51.1,00:10:01.1
00:12:00.8,00:19:45.1,00:11:15.5,00:13:10.6,00:09:47.8,00:11:12.1,00:13:17.6,00:09:50.5,00:10:15.5,00:11:04.4,00:13:39.7,00:10:09.7,00:10:51.4,00:13:42.1,00:13:40.9,00:10:56.8,00:13:15.6,00:10:56.1
00:10:28.9,00:16:20.3,00:10:02.5,00:11:49.6,00:08:35.2,00:09:53.5,00:11:42.0,00:08:25.3,00:09:08.2,00:09:30.7,00:11:41.0,00:09:01.8,00:09:27.6,00:11:36.9,00:12:23.0,00:10:11.4,00:12:24.0,00:10:04.7
00:10:22.9,00:16:10.8,00:09:54.7,00:11:44.7,00:08:30.7,00:09:49.8,00:11:38.7,00:08:27.1,00:09:08.0,00:09:27.1,00:11:40.3,00:09:05.2,00:09:31.5,00:11:40.0,00:12:17.9,00:10:10.4,00:12:17.0,00:10:05.2
00:10:29.8,00:17:00.9,00:10:09.1,00:11:50.7,00:08:37.1,00:09:53.1,00:11:42.9,00:08:28.9,00:09:15.3,00:09:36.5,00:11:50.0,00:09:07.6,00:09:35.4,00:11:49.9,00:12:34.1,00:10:14.5,00:12:20.1,00:10:58.7
00:10:59.3,00:17:15.2,00:10:42.6,00:12:27.6,00:09:00.5,00:10:31.3,00:12:22.5,00:08:58.7,00:09:48.5,00:10:05.8,00:12:17.9,00:09:41.1,00:10:05.3,00:12:12.2,00:13:05.1,00:10:44.3,00:13:05.5,00:10:38.4
