,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:10:22.9,+00:00:00,1
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:10:24.2,+00:00:01.3,1
2,3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:28.9,+00:00:06,1
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:29.8,+00:00:06.9,1
4,5, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:30.3,+00:00:07.4,1
5,6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:31.5,+00:00:08.6,1
6,7, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:33.8,+00:00:10.9,1
7,8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:34.5,+00:00:11.6,1
8,9, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:35.3,+00:00:12.4,1
9,10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:46.9,+00:00:24,1
10,11, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:54.8,+00:00:31.9,1
11,12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:56.5,+00:00:33.6,1
12,13, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:56.6,+00:00:33.7,1
13,14, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:56.7,+00:00:33.8,1
14,15, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:59.1,+00:00:36.2,1
15,16, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:59.3,+00:00:36.4,1
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:11:00.2,+00:00:37.3,1
17,18, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:11:03.2,+00:00:40.3,1
18,19, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:11:03.9,+00:00:41,1
19,20, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:11:06.6,+00:00:43.7,1
20,21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:11:07.4,+00:00:44.5,1
21,22, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:11:12.1,+00:00:49.2,1
22,23, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:11:15.9,+00:00:53,1
23,24, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:11:23.4,+00:01:00.5,1
24,25, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:11:23.9,+00:01:01,1
25,26, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:24.9,+00:01:02,1
26,27, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:25.9,+00:01:03,1
27,28, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:11:27.8,+00:01:04.9,1
28,29, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:27.9,+00:01:05,1
29,30, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:11:28.1,+00:01:05.2,1
30,31, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:11:31.2,+00:01:08.3,1
31,32, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:36,+00:01:13.1,1
32,33, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:37.2,+00:01:14.3,1
33,34, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:11:42.5,+00:01:19.6,1
