0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Sweden,4,3,2,5,3,6,2,3,5,6,4,3,48,2,2,5,6,1
7,Loubet  P.,RC1,Sweden,8,7,8,8,2,7,7,20,8,8,8,7,7,7,6,8,8,42
8,Tänak  Ott,RC1,Sweden,2,2,4,3,4,3,1,2,6,4,3,2,2,3,5,2,4,3
11,Neuville  ,RC1,Sweden,5,5,6,7,6,5,5,4,1,3,2,3,1,1,1,3,1,6
18,Katsuta  T,RC1,Sweden,6,4,3,1,21,47,45,44,7,7,5,6,6,8,3,6,5,-
20,Solberg  O,RC2,Sweden,11,13,9,11,7,11,9,7,9,12,11,12,8,9,9,10,17,7
21,Veiby  O. ,RC2,Sweden,10,14,11,17,19,9,13,10,10,9,9,11,9,18,12,9,10,10
22,Lindholm  ,RC2,Sweden,12,9,48,16,8,14,10,12,16,11,20,9,14,19,14,18,13,8
23,Suninen  T,RC2,Sweden,14,10,13,13,45,12,12,8,14,13,14,16,18,16,10,12,12,13
24,Huttunen  ,RC2,Sweden,9,12,15,15,13,16,16,10,12,17,12,49,15,48,48,17,-,-
25,Linnamäe  ,RC2,Sweden,22,21,20,19,17,18,15,17,18,18,16,20,16,12,19,21,11,11
26,Kaur  Egon,RC2,Sweden,20,17,17,12,34,44,14,9,15,10,17,15,17,14,17,13,16,44
27,Gryazin  N,RC2,Sweden,15,18,12,14,14,13,17,21,20,14,14,10,11,15,15,14,14,12
28,Pajari  Sa,RC2,Sweden,12,11,16,10,12,8,8,16,13,23,13,12,12,10,11,16,9,15
29,Virves  Ro,RC2,Sweden,23,20,21,20,11,19,21,19,22,19,18,22,22,11,15,20,15,16
30,Joona  Lau,RC2,Sweden,19,22,18,21,16,10,18,14,21,20,19,18,20,20,20,22,22,19
31,Bulacia  M,RC2,Sweden,16,16,14,18,33,14,20,12,16,16,22,19,13,13,13,11,18,17
32,Bulacia  B,RC2,Sweden,16,23,22,22,15,17,22,15,18,21,21,17,21,40,22,19,20,18
33,Evans  Elf,RC1,Sweden,3,6,7,6,5,2,4,5,4,5,6,14,5,6,6,7,7,2
34,Zaldivar  ,RC2,Sweden,21,19,19,23,18,20,19,18,42,22,23,21,19,21,18,48,21,14
35,Al-Rashed ,RC2,Sweden,30,29,33,32,20,24,25,45,32,31,27,26,31,25,30,45,29,43
36,Sołowow  M,RC2,Sweden,27,25,24,24,22,22,24,28,24,24,24,23,23,22,23,28,23,20
37,Bertelli  ,RC1,Sweden,18,15,10,9,10,43,11,39,11,15,10,8,10,17,21,15,19,9
38,Miele  Mau,RC2,Sweden,32,36,35,38,28,29,32,42,36,38,36,29,49,48,48,-,-,-
40,Alonso  Da,RC2,Sweden,38,37,36,37,31,30,34,41,49,37,38,36,44,38,39,39,-,-
41,Jonasson  ,RC2,Sweden,24,24,23,26,23,21,23,22,23,51,51,51,49,48,-,-,-,-
42,Breen  Cra,RC1,Sweden,7,1,5,4,1,1,3,6,3,1,7,5,4,4,8,4,2,5
44,Cobbe  Luc,RC2,Sweden,45,51,47,49,44,46,44,35,51,50,49,47,47,47,45,46,45,39
45,Roman  Joa,RC2,Sweden,40,47,38,39,38,40,46,45,47,47,45,44,42,44,38,42,40,32
46,Zaldivar  ,RC2,Sweden,37,32,32,35,30,33,35,25,34,33,33,50,26,37,41,33,35,30
47,Díaz Aboit,RC2,Sweden,45,49,45,47,41,45,43,43,48,49,50,45,46,46,46,47,44,38
48,Villanueva,RC2,Sweden,42,35,29,30,48,26,26,31,26,32,34,24,24,28,31,30,32,27
49,Korhonen  ,RC3,Sweden,26,27,25,25,26,23,31,27,25,29,25,25,29,24,24,29,30,21
50,Creighton ,RC3,Sweden,25,26,26,27,27,25,28,23,30,27,26,31,41,27,26,23,24,23
51,Munster  G,RC3,Sweden,33,31,27,34,32,26,29,30,27,25,29,48,27,29,28,25,25,24
52,Pellier  L,RC3,Sweden,36,28,31,31,24,28,27,29,28,28,30,28,30,23,25,24,26,22
53,Herranen  ,RC3,Sweden,31,33,30,28,29,49,49,49,29,26,28,26,25,26,29,27,28,26
54,Dominguez ,RC3,Sweden,28,30,34,36,25,31,33,24,33,34,32,33,32,30,27,31,33,29
55,Kallio  Je,RC3,Sweden,29,38,28,29,51,32,30,26,31,30,31,30,28,31,32,26,27,34
56,Kelly  Eam,RC3,Sweden,34,34,41,33,35,51,48,47,37,35,37,32,40,33,36,-,-,-
57,Kohn  Fili,RC3,Sweden,35,43,51,51,50,49,49,49,35,36,39,35,37,33,35,34,31,25
58,Hernández ,RC3,Sweden,51,42,42,44,36,35,36,33,40,39,35,34,33,36,34,32,34,28
59,Rensonnet ,RC3,Sweden,39,46,49,43,38,34,37,32,41,44,40,38,35,32,33,35,36,45
60,Blach  Rob,RC3,Sweden,44,40,43,45,37,38,40,34,38,40,43,37,39,39,37,40,39,33
61,Anwar  Ham,RC3,Sweden,41,50,46,48,46,42,42,40,50,48,48,46,45,45,47,44,43,35
62,García  J.,RC2,Sweden,43,39,50,50,49,48,47,48,44,46,47,42,36,43,40,38,41,31
63,Yamamoto  ,RC4,Sweden,48,44,39,42,42,39,38,36,43,42,42,39,51,51,50,36,37,37
64,Otake  Nao,RC4,Sweden,49,45,37,40,43,36,39,36,39,41,46,40,34,42,44,43,42,41
65,Kogure  Hi,RC4,Sweden,47,48,44,46,47,41,41,38,46,43,44,43,38,41,42,37,46,40
66,Fontana  M,RC4,Sweden,50,41,40,41,40,37,51,51,45,45,41,41,43,35,43,41,38,36
69,Rovanperä ,RC1,Sweden,1,8,1,2,9,4,6,1,2,2,1,1,3,5,4,1,3,3
