SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
00:03:27.2,00:06:30.2,00:06:29.3,00:12:01.9,00:06:33.6,00:06:41.8,00:12:03.2,00:03:29.5,00:05:23.2,00:12:18.2,00:08:08.8,00:05:24.6,00:19:26.1,00:08:22.0,00:05:52.2,00:12:49.4,00:12:53.7,00:05:42.0
00:03:34.1,00:06:35.5,00:06:38.3,00:12:13.6,00:06:32.9,00:06:44.6,00:12:19.6,00:03:43.1,00:05:31.4,00:12:39.2,00:08:16.6,00:05:31.8,00:12:21.3,00:08:35.8,00:05:55.7,00:13:20.8,00:13:08.6,00:08:10.6
00:03:24.9,00:06:28.6,00:06:30.5,00:12:00.5,00:06:34.9,00:06:37.8,00:12:02.3,00:03:28.6,00:05:23.6,00:12:12.6,00:08:08.6,00:05:23.8,00:12:12.9,00:08:22.6,00:05:53.2,00:12:42.5,00:12:43.9,00:05:42.7
00:03:28.3,00:06:33.2,00:06:32.7,00:12:07.3,00:06:39.7,00:06:40.8,00:12:09.7,00:03:30.6,00:05:20.2,00:12:12.5,00:08:08.5,00:05:24.6,00:12:10.0,00:08:21.8,00:05:49.2,00:12:43.7,00:12:37.0,00:05:44.7
00:03:28.9,00:06:32.7,00:06:30.0,00:12:00.0,00:07:13.5,00:16:35.0,00:22:02.3,00:13:28.1,00:05:24.7,00:12:23.1,00:08:09.7,00:05:27.8,00:12:18.2,00:08:36.9,00:05:52.8,00:12:52.2,00:12:48.4,-
00:03:35.7,00:06:49.2,00:06:51.1,00:12:42.0,00:06:45.0,00:06:59.9,00:12:44.4,00:03:35.0,00:05:40.9,00:12:59.3,00:08:36.8,00:05:42.5,00:12:49.0,00:08:44.5,00:06:05.1,00:13:34.9,00:13:29.6,00:05:57.7
00:03:35.6,00:06:49.5,00:06:54.1,00:12:48.9,00:07:03.9,00:06:58.9,00:12:49.2,00:03:39.2,00:05:41.9,00:12:54.3,00:08:35.2,00:05:42.3,00:12:52.6,00:08:55.9,00:06:10.5,00:13:29.0,00:13:22.8,00:06:01.1
00:03:35.9,00:06:46.1,00:08:31.9,00:12:48.8,00:06:46.3,00:07:01.4,00:12:46.1,00:03:39.3,00:05:48.9,00:12:58.8,00:08:51.2,00:05:41.6,00:13:01.2,00:08:56.9,00:06:12.5,00:13:43.4,00:13:25.6,00:05:58.2
00:03:36.6,00:06:46.3,00:06:58.9,00:12:44.4,00:08:28.6,00:07:00.0,00:12:48.7,00:03:36.3,00:05:45.5,00:12:59.4,00:08:44.8,00:05:45.1,00:13:07.1,00:08:52.8,00:06:10.0,00:13:36.8,00:13:24.8,00:06:04.5
00:03:34.7,00:06:48.7,00:06:59.7,00:12:48.6,00:06:49.4,00:07:03.1,00:12:54.0,00:03:39.2,00:05:44.5,00:13:07.2,00:08:40.9,00:09:04.5,00:13:02.1,00:18:44.5,00:16:05.1,00:13:41.6,-,-
00:03:40.0,00:06:57.7,00:07:03.4,00:12:52.5,00:06:55.5,00:07:05.4,00:12:52.0,00:03:41.3,00:05:49.2,00:13:09.4,00:08:45.8,00:05:46.6,00:13:03.1,00:08:51.4,00:06:14.1,00:13:48.6,00:13:24.0,00:06:03.7
00:03:39.6,00:06:52.7,00:07:00.8,00:12:44.3,00:07:41.4,00:08:25.9,00:12:49.6,00:03:36.8,00:05:47.7,00:12:57.1,00:08:47.1,00:05:43.9,00:13:04.1,00:08:51.8,00:06:13.5,00:13:37.2,00:13:27.7,00:08:56.6
00:03:36.9,00:06:55.3,00:06:57.8,00:12:47.4,00:06:50.6,00:07:00.5,00:12:54.9,00:03:44.4,00:05:49.5,00:13:02.0,00:08:44.8,00:05:41.9,00:12:54.6,00:08:52.0,00:06:12.8,00:13:37.7,00:13:26.8,00:06:03.9
00:03:35.9,00:06:47.2,00:07:00.1,00:12:41.6,00:06:48.5,00:06:58.1,00:12:42.7,00:03:41.2,00:05:45.0,00:13:34.3,00:08:41.6,00:05:42.5,00:12:59.8,00:08:45.6,00:06:10.2,00:13:39.3,00:13:19.1,00:06:05.0
00:03:41.1,00:06:56.9,00:07:09.1,00:12:54.1,00:06:47.2,00:07:05.7,00:13:02.2,00:03:41.8,00:05:56.8,00:13:12.8,00:08:49.1,00:05:54.2,00:13:20.4,00:08:49.3,00:06:12.8,00:13:47.9,00:13:27.6,00:06:06.6
00:03:39.4,00:07:00.3,00:07:00.9,00:12:54.2,00:06:55.4,00:06:59.0,00:12:57.0,00:03:40.5,00:05:53.0,00:13:16.3,00:08:49.7,00:05:45.5,00:13:10.8,00:08:58.0,00:06:15.1,00:13:55.0,00:13:35.2,00:06:07.9
00:03:37.3,00:06:52.3,00:06:59.0,00:12:49.4,00:07:34.2,00:07:01.4,00:13:00.5,00:03:39.3,00:05:48.9,00:13:05.9,00:08:53.7,00:05:45.6,00:12:59.9,00:08:51.6,00:06:12.3,00:13:35.9,00:13:30.2,00:06:06.7
00:03:37.3,00:07:01.3,00:07:12.4,00:12:54.7,00:06:54.7,00:07:05.0,00:13:11.6,00:03:40.9,00:05:49.2,00:13:19.6,00:08:52.6,00:05:45.2,00:13:11.1,00:10:00.5,00:06:17.5,00:13:43.7,00:13:33.8,00:06:06.8
00:03:26.4,00:06:34.5,00:06:33.7,00:12:05.4,00:06:35.2,00:06:37.6,00:12:08.2,00:03:31.0,00:05:23.1,00:12:16.3,00:08:11.1,00:05:43.0,00:12:14.5,00:08:27.4,00:05:55.7,00:12:57.2,00:12:55.6,00:05:42.6
00:03:39.9,00:06:56.5,00:07:03.2,00:13:04.9,00:06:58.1,00:07:06.0,00:13:00.0,00:03:41.5,00:06:37.6,00:13:21.9,00:09:02.8,00:05:49.3,00:13:09.2,00:09:09.6,00:06:14.0,00:33:23.1,00:13:34.9,00:06:04.7
00:03:49.1,00:07:24.5,00:07:36.6,00:13:37.8,00:07:10.6,00:07:23.4,00:13:27.9,00:13:35.0,00:06:14.1,00:13:53.6,00:09:18.2,00:06:02.2,00:14:08.9,00:09:23.3,00:06:36.2,00:16:02.9,00:14:15.0,00:08:27.1
00:03:47.4,00:07:12.8,00:07:15.8,00:13:15.0,00:07:14.6,00:07:15.9,00:13:21.5,00:03:51.3,00:06:05.2,00:13:39.5,00:09:08.9,00:05:56.2,00:13:40.2,00:09:21.7,00:06:25.1,00:14:29.9,00:14:02.5,00:06:17.8
00:03:37.5,00:06:52.2,00:06:52.6,00:12:36.9,00:06:47.0,00:08:18.9,00:12:48.6,00:04:21.5,00:05:42.2,00:13:02.4,00:08:36.3,00:05:39.8,00:12:54.2,00:08:55.3,00:06:15.9,00:13:38.8,00:13:30.6,00:05:59.8
00:03:50.5,00:07:36.5,00:07:42.7,00:14:05.1,00:07:24.9,00:07:34.0,00:13:55.3,00:05:37.7,00:06:23.6,00:14:24.8,00:09:36.5,00:06:09.4,00:22:49.0,00:18:44.5,00:16:05.1,-,-,-
00:03:55.8,00:07:41.4,00:07:45.0,00:13:57.8,00:07:31.4,00:07:35.1,00:14:07.3,00:04:38.7,00:06:54.2,00:14:22.7,00:09:40.8,00:06:22.9,00:15:18.0,00:09:54.6,00:06:58.6,00:15:20.9,-,-
00:03:43.6,00:07:11.2,00:07:14.2,00:13:19.9,00:07:15.0,00:07:12.7,00:13:16.0,00:03:46.0,00:06:01.4,00:34:44.6,00:18:35.2,00:15:41.6,00:22:49.0,00:18:44.5,-,-,-,-
00:03:30.0,00:06:24.8,00:06:31.1,00:12:00.7,00:06:25.1,00:06:35.0,00:12:06.4,00:03:32.4,00:05:21.6,00:12:11.5,00:08:11.3,00:05:25.1,00:12:14.1,00:08:25.4,00:05:59.5,00:12:45.5,00:12:40.8,00:05:42.9
00:04:12.8,00:08:32.0,00:08:28.1,00:15:28.8,00:08:26.9,00:08:42.3,00:16:16.1,00:04:07.8,00:07:34.7,00:16:14.4,00:10:47.2,00:07:14.1,00:16:23.3,00:11:04.9,00:07:23.9,00:16:43.3,00:16:49.3,00:07:05.7
00:04:03.0,00:08:03.5,00:08:00.2,00:14:21.0,00:07:52.2,00:08:07.2,00:22:42.7,00:13:35.0,00:06:49.1,00:15:05.0,00:10:02.2,00:06:37.7,00:14:58.4,00:10:14.1,00:06:54.7,00:15:33.4,00:15:17.6,00:06:37.5
