Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:22:00.2,79.27 0.00,00:00:00.0 00:00:00.0,3
2,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:22:00.8,79.23 0.02,00:00:00.6 00:00:00.6,3
3,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:22:06.3,78.91 0.21,00:00:06.1 00:00:05.5,3
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:22:08.1,78.80 0.27,00:00:07.9 00:00:01.8,3
5,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:22:09.9,78.69 0.33,00:00:09.7 00:00:01.8,3
6,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:22:12.9,78.51 0.44,00:00:12.7 00:00:03.0,3
7,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:22:20.3,78.08 0.69,00:00:20.1 00:00:07.4,3
8,20,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:39.7,3
8,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,22,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,23,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,24,Lindholm  Emil  /  Hämäläinen  R.  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,25,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,26,Prokop  Martin  /  Ernst  Michal  Ford Fiesta Rally2 MkII,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,28,Castro  Eduardo  /  Mussano  F.  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,29,Martínez  Jorge  /  Álvarez  A.  Škoda Fabia R5,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,30,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,31,Cordero  Ricardo  /  Hernández  M.  Citroën C3 Rally2,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,32,Granados  Miguel  /  Martí  Marc  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,34,Salas  Carlos  /  Zapata  Jaime  Škoda Fabia R5,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,35,Coyne  John  /  Treacy  Eoin  Ford Fiesta Rally2 MkII,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,36,Mauro  Alejandro  /  Sanjuán  Diego  Škoda Fabia Rally2 Evo,RC2,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,37,Bailey  Jason  /  Peterson  Shayne  Ford Fiesta Rally3,RC3,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,38,Spitalier  P.  /  Spitalier  N.  Renault Clio Rally5,RC5,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,39,Urióstegui  G.  /  Zapata  Armando  Renault Clio Rally5,RC5,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,41,Maggio  Rafael  /  Pimentel  M.  Renault Clio Rally5,RC5,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
8,42,Retama  Emiliano  /  Retama  Diego  Renault Clio Rally5,RC5,00:23:00.0,75.83 2.06,00:00:59.8 00:00:00.0,3
29,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:29:47.9,58.53 16.09,00:07:47.7 00:06:47.9,3
30,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:32:00.2,54.50 20.64,00:10:00.0 00:02:12.3,3
30,9,Serderidis  J.  /  Miclotte  F.  Ford Puma Rally1 Hybrid,RC1,00:32:00.2,54.50 20.64,00:10:00.0 00:00:00.0,3
