0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Mexico,3,2,1,2,1,1,2,1,1,7,30,30,30,30,-,-,-,-,-,-,-,-
6,Sordo  Dan,RC1,Mexico,6,6,3,4,3,4,13,5,5,1,6,5,6,5,6,5,5,5,12,5,6,5
7,Loubet  P.,RC1,Mexico,8,6,30,28,26,26,26,25,25,23,8,7,8,12,7,29,29,28,13,12,7,8
8,Tänak  Ott,RC1,Mexico,1,1,29,24,22,7,11,8,10,2,4,6,5,4,5,4,1,1,3,6,2,2
9,Serderidis,RC1,Mexico,19,17,30,28,26,26,26,25,25,23,9,9,9,19,17,16,18,13,18,17,16,18
11,Neuville  ,RC1,Mexico,5,5,5,7,5,5,4,2,2,3,3,1,1,1,2,1,3,2,1,2,1,3
17,Ogier  S. ,RC1,Mexico,6,4,2,1,2,2,1,3,4,3,1,3,2,2,1,3,8,3,8,3,4,1
18,Katsuta  T,RC1,Mexico,9,8,7,6,26,26,26,25,25,23,7,8,7,11,8,7,11,7,6,10,8,7
20,Greensmith,RC2,Mexico,12,12,8,10,9,8,7,7,9,10,9,9,9,10,10,9,9,11,9,9,10,11
21,Solberg  O,RC2,Mexico,16,13,8,11,7,9,6,19,3,8,9,9,9,3,9,8,4,8,7,6,11,15
22,Fourmaux  ,RC2,Mexico,20,15,8,9,8,10,9,9,8,9,9,9,9,9,11,10,15,8,10,28,12,9
23,Gryazin  N,RC2,Mexico,11,11,8,30,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Lindholm  ,RC2,Mexico,10,10,8,8,10,11,8,11,12,11,9,9,9,8,12,11,7,10,5,8,9,10
25,Kajetanowi,RC2,Mexico,13,14,8,12,11,12,10,10,11,12,9,9,9,13,13,14,12,12,13,11,13,12
26,Prokop  Ma,RC2,Mexico,21,19,8,14,13,14,14,13,13,13,9,9,9,14,14,12,12,14,15,14,15,14
27,Chwist  Da,RC2,Mexico,25,24,8,21,19,19,21,21,19,16,9,9,9,23,24,23,23,21,23,21,22,22
28,Castro  Ed,RC2,Mexico,23,18,8,16,14,15,18,28,28,26,9,9,9,16,19,19,14,18,16,16,27,17
29,Martínez  ,RC2,Mexico,14,16,8,13,12,13,12,12,15,26,9,9,9,15,15,13,10,17,11,13,14,13
30,Dominguez ,RC3,Mexico,24,25,8,20,18,20,19,17,16,14,9,9,9,19,21,21,20,20,20,19,20,21
31,Cordero  R,RC2,Mexico,22,23,8,18,17,16,15,16,17,22,9,9,9,22,16,15,17,19,19,15,17,16
32,Granados  ,RC2,Mexico,18,22,8,16,30,29,29,29,29,29,9,9,9,21,29,20,21,29,21,26,19,20
33,Evans  Elf,RC1,Mexico,4,8,4,3,4,3,3,4,6,5,2,2,3,7,3,2,6,4,2,1,3,6
34,Salas  Car,RC2,Mexico,16,19,8,15,15,17,16,15,14,15,9,9,9,18,20,18,16,16,17,18,18,19
35,Coyne  Joh,RC2,Mexico,26,27,8,23,20,21,20,20,23,20,9,9,9,26,22,24,26,25,24,23,28,23
36,Mauro  Ale,RC2,Mexico,14,21,8,19,16,18,17,14,24,17,9,9,9,17,18,17,19,14,22,24,21,25
37,Bailey  Ja,RC3,Mexico,28,26,8,22,21,22,22,18,18,28,9,9,9,24,23,22,22,22,27,20,22,24
38,Spitalier ,RC5,Mexico,27,29,8,25,23,23,23,22,20,19,9,9,9,25,26,25,24,23,25,25,26,27
39,Urióstegui,RC5,Mexico,29,30,8,31,31,30,30,30,30,30,9,9,9,27,25,26,25,27,26,22,24,26
41,Maggio  Ra,RC5,Mexico,31,31,8,27,25,25,25,24,22,21,9,9,9,28,28,28,28,26,29,-,-,-
42,Retama  Em,RC5,Mexico,30,28,8,26,24,24,24,23,21,18,9,9,9,29,27,27,27,24,28,27,25,28
69,Rovanperä ,RC1,Mexico,2,2,6,5,6,6,5,6,7,6,5,4,4,5,4,6,2,6,4,4,5,4
