SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23
00:00:59.3,00:00:57.1,00:22:00.2,00:08:28.2,00:08:55.6,00:21:54.1,00:08:22.7,00:08:47.7,00:03:15.0,00:01:32.1,00:18:35.6,00:24:38.1,00:22:23.1,00:13:11.4,-,-,-,-,-,-,-,-
00:00:59.8,00:00:57.8,00:22:06.3,00:08:32.1,00:08:57.5,00:22:02.2,00:09:20.9,00:08:53.1,00:03:19.6,00:01:29.9,00:08:48.8,00:14:50.4,00:12:32.9,00:03:12.8,00:14:44.0,00:12:25.3,00:03:14.3,00:01:31.1,00:03:20.9,00:25:06.9,00:07:22.1,00:05:19.5
00:01:00.1,00:00:57.8,00:32:00.2,00:18:27.8,00:18:55.6,00:31:54.1,00:18:20.8,00:18:47.7,00:13:15.0,00:11:29.9,00:09:00.1,00:15:13.1,00:12:53.6,00:03:17.4,00:14:50.7,00:22:16.0,00:13:13.6,00:11:29.6,00:03:23.5,00:26:27.3,00:07:30.5,00:05:27.0
00:00:58.0,00:00:56.2,00:29:47.9,00:11:07.8,00:11:04.0,00:22:23.1,00:08:54.7,00:09:11.2,00:03:23.7,00:01:30.4,00:08:42.7,00:14:57.4,00:12:31.4,00:03:12.1,00:14:37.5,00:12:21.8,00:03:13.6,00:01:29.6,00:03:11.5,00:25:24.2,00:07:13.3,00:05:16.9
00:01:04.7,00:01:02.4,00:32:00.2,00:18:27.8,00:18:55.6,00:31:54.1,00:18:20.8,00:18:47.7,00:13:15.0,00:11:29.9,00:09:47.2,00:16:40.2,00:14:16.5,00:03:30.6,00:16:31.8,00:14:05.5,00:03:33.6,00:01:35.5,00:03:34.9,00:27:52.5,00:08:07.3,00:06:11.2
00:00:59.7,00:00:57.3,00:22:09.9,00:08:35.7,00:09:01.0,00:22:03.5,00:08:27.7,00:08:48.9,00:03:17.6,00:01:30.5,00:08:40.0,00:14:38.1,00:12:23.1,00:03:11.4,00:14:32.9,00:12:16.0,00:03:13.9,00:01:30.5,00:03:10.9,00:24:39.4,00:07:11.8,00:05:17.1
00:00:59.8,00:00:57.2,00:22:00.8,00:08:27.8,00:08:56.2,00:21:54.9,00:08:20.8,00:08:50.8,00:03:18.5,00:01:30.5,00:08:35.6,00:14:39.5,00:12:23.2,00:03:11.6,00:14:24.8,00:12:19.1,00:03:15.9,00:01:30.6,00:03:14.7,00:24:46.7,00:07:15.6,00:05:14.8
00:01:00.3,00:00:58.0,00:22:20.3,00:08:33.5,00:18:55.6,00:31:54.1,00:18:20.8,00:18:47.7,00:13:15.0,00:11:29.9,00:08:57.2,00:15:14.9,00:12:52.9,00:03:16.5,00:14:56.3,00:12:36.7,00:03:25.3,00:01:32.4,00:03:14.3,00:26:05.5,00:07:32.8,00:05:23.9
00:01:01.4,00:01:00.8,00:23:00.0,00:08:58.4,00:09:20.1,00:22:46.1,00:08:49.8,00:09:08.3,00:03:22.9,00:01:34.3,00:09:47.2,00:16:40.2,00:14:16.5,00:03:15.9,00:15:16.1,00:13:01.5,00:03:17.2,00:01:34.3,00:03:16.3,00:25:51.4,00:07:37.8,00:05:44.4
00:01:04.1,00:01:00.9,00:23:00.0,00:09:07.4,00:09:16.4,00:22:47.7,00:08:46.6,00:10:49.8,00:03:17.9,00:01:32.5,00:09:47.2,00:16:40.2,00:14:16.5,00:03:11.9,00:15:11.7,00:12:52.2,00:03:14.0,00:01:32.8,00:03:14.4,00:25:24.2,00:07:39.8,00:05:58.9
00:01:04.9,00:01:01.9,00:23:00.0,00:08:57.1,00:09:18.7,00:22:48.5,00:08:51.3,00:09:13.3,00:03:20.9,00:01:34.0,00:09:47.2,00:16:40.2,00:14:16.5,00:03:15.1,00:15:17.2,00:13:02.0,00:03:31.0,00:01:32.8,00:03:17.5,00:43:37.2,00:07:44.8,00:05:40.4
00:01:01.3,00:01:00.6,00:23:00.0,00:18:57.0,00:19:16.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00:01:00.8,00:00:59.5,00:23:00.0,00:08:57.0,00:09:20.4,00:23:00.0,00:08:50.6,00:09:19.6,00:03:26.2,00:01:34.4,00:09:47.2,00:16:40.2,00:14:16.5,00:03:14.1,00:15:28.6,00:13:03.7,00:03:15.6,00:01:34.2,00:03:13.9,00:25:50.8,00:07:36.8,00:05:43.7
00:01:01.8,00:01:01.1,00:23:00.0,00:09:07.5,00:09:26.3,00:23:16.3,00:08:54.3,00:09:19.0,00:03:24.2,00:01:34.6,00:09:47.2,00:16:40.2,00:14:16.5,00:03:19.7,00:15:35.4,00:13:46.3,00:03:27.1,00:01:34.4,00:03:23.5,00:26:26.1,00:07:51.1,00:05:53.4
00:01:05.0,00:01:03.5,00:23:00.0,00:09:29.1,00:09:44.2,00:23:49.8,00:09:24.8,00:09:36.1,00:03:29.7,00:01:36.5,00:09:47.2,00:16:40.2,00:14:16.5,00:03:22.0,00:15:54.3,00:13:34.2,00:03:27.1,00:01:36.0,00:03:24.3,00:26:51.5,00:07:57.8,00:05:55.7
00:01:07.8,00:01:05.6,00:23:00.0,00:10:17.4,00:10:35.3,00:25:56.5,00:10:37.4,00:10:59.0,00:03:52.2,00:01:41.8,00:09:47.2,00:16:40.2,00:14:16.5,00:03:39.6,00:18:07.1,00:15:20.8,00:03:54.1,00:01:39.5,00:03:40.8,00:30:35.6,00:08:55.7,00:06:37.0
00:01:05.8,00:01:03.0,00:23:00.0,00:09:41.8,00:09:48.5,00:24:09.6,00:09:51.0,00:19:08.3,00:13:17.9,00:11:32.5,00:09:47.2,00:16:40.2,00:14:16.5,00:03:27.2,00:16:37.0,00:14:20.2,00:03:30.1,00:01:37.0,00:03:27.5,00:27:35.5,00:09:31.8,00:06:10.3
00:01:03.7,00:01:02.2,00:23:00.0,00:09:15.8,00:09:37.4,00:23:38.3,00:09:19.5,00:09:33.5,00:03:34.2,00:11:32.5,00:09:47.2,00:16:40.2,00:14:16.5,00:03:22.3,00:15:58.5,00:13:45.2,00:03:24.5,00:01:36.7,00:03:20.7,00:26:37.0,00:07:55.3,00:05:55.1
00:01:06.7,00:01:05.7,00:23:00.0,00:10:15.4,00:10:30.7,00:25:56.7,00:10:04.6,00:10:15.1,00:03:36.1,00:01:37.9,00:09:47.2,00:16:40.2,00:14:16.5,00:03:30.6,00:17:06.2,00:14:51.8,00:03:36.1,00:01:38.8,00:03:35.7,00:28:54.7,00:08:39.8,00:06:27.7
00:01:05.4,00:01:05.3,00:23:00.0,00:09:49.7,00:10:01.6,00:24:11.1,00:09:37.0,00:10:08.3,00:03:41.8,00:04:08.6,00:09:47.2,00:16:40.2,00:14:16.5,00:03:36.3,00:16:09.4,00:13:50.7,00:03:32.9,00:01:38.4,00:03:35.1,00:27:08.6,00:08:09.2,00:06:04.3
00:01:04.4,00:01:04.2,00:23:00.0,00:09:41.8,00:19:57.3,00:34:11.1,00:19:37.0,00:19:48.7,00:13:30.5,00:11:38.4,00:09:47.2,00:16:40.2,00:14:16.5,00:03:32.9,00:39:40.1,00:14:37.1,00:03:36.8,00:11:36.0,00:03:37.2,00:31:35.2,00:08:30.0,00:06:25.5
00:00:59.5,00:00:58.0,00:22:08.1,00:08:28.5,00:08:58.8,00:22:01.7,00:08:25.0,00:08:51.6,00:03:19.9,00:01:31.0,00:08:38.1,00:14:38.8,00:12:23.6,00:03:13.1,00:14:33.1,00:12:18.6,00:03:15.0,00:01:31.0,00:03:11.1,00:24:37.7,00:07:14.9,00:05:20.2
00:01:04.1,00:01:03.5,00:23:00.0,00:09:40.1,00:09:57.3,00:24:14.6,00:09:41.8,00:09:55.1,00:03:30.5,00:01:38.4,00:09:47.2,00:16:40.2,00:14:16.5,00:03:30.3,00:16:46.5,00:14:13.1,00:03:32.5,00:01:36.2,00:03:28.4,00:28:00.3,00:08:10.1,00:06:15.7
00:01:09.4,00:01:09.8,00:23:00.0,00:11:03.6,00:10:47.6,00:26:14.2,00:10:24.9,00:10:53.5,00:04:50.1,00:01:51.9,00:09:47.2,00:16:40.2,00:14:16.5,00:03:58.4,00:17:37.0,00:15:31.4,00:03:59.5,00:01:52.6,00:03:48.8,00:30:55.9,00:40:15.0,00:06:38.7
00:01:03.7,00:01:03.9,00:23:00.0,00:09:54.0,00:09:58.8,00:24:20.7,00:09:43.3,00:09:48.7,00:11:08.3,00:01:44.7,00:09:47.2,00:16:40.2,00:14:16.5,00:03:28.6,00:16:35.1,00:14:09.1,00:03:35.1,00:01:36.0,00:03:38.4,00:31:08.7,00:08:49.1,00:06:50.2
00:01:11.7,00:01:08.1,00:23:00.0,00:10:42.8,00:10:51.9,00:26:38.9,00:10:47.5,00:10:47.8,00:03:50.3,00:11:37.9,00:09:47.2,00:16:40.2,00:14:16.5,00:03:47.5,00:18:04.8,00:15:19.7,00:03:51.5,00:01:47.1,00:03:55.8,00:30:10.3,00:08:55.7,00:06:46.7
00:01:11.4,00:01:12.3,00:23:00.0,00:11:12.1,00:11:30.2,00:28:23.2,00:11:29.6,00:11:31.1,00:04:00.4,00:01:49.8,00:09:47.2,00:16:40.2,00:14:16.5,00:03:57.7,00:19:20.2,00:16:01.2,00:03:58.3,00:01:47.8,00:03:54.6,00:31:17.9,00:09:29.5,00:07:04.6
00:01:11.9,00:01:14.0,00:23:00.0,00:21:12.1,00:21:30.2,00:38:23.2,00:21:29.6,00:21:31.1,00:14:00.4,00:11:49.5,00:09:47.2,00:16:40.2,00:14:16.5,00:04:03.3,00:19:09.2,00:16:07.5,00:03:58.7,00:01:57.2,00:03:55.5,00:30:55.6,00:09:15.0,00:06:57.2
00:01:30.4,00:01:32.4,00:23:00.0,00:12:36.6,00:12:26.1,00:29:58.9,00:12:25.5,00:12:45.2,00:04:22.5,00:02:01.8,00:09:47.2,00:16:40.2,00:14:16.5,00:04:10.2,00:20:15.3,00:17:53.6,00:04:12.2,00:01:55.4,00:04:05.1,-,-,-
00:01:13.4,00:01:10.8,00:23:00.0,00:11:58.9,00:11:57.4,00:29:49.4,00:12:09.9,00:12:21.3,00:04:06.3,00:01:49.5,00:09:47.2,00:16:40.2,00:14:16.5,00:04:13.8,00:20:06.7,00:17:34.5,00:04:06.5,00:01:50.0,00:04:03.7,00:31:44.6,00:09:16.8,00:07:09.1
00:00:58.8,00:00:57.1,00:22:12.9,00:08:32.4,00:09:08.4,00:22:06.5,00:08:28.8,00:08:54.5,00:03:20.5,00:01:31.8,00:08:42.8,00:14:44.8,00:12:28.9,00:03:12.8,00:14:33.8,00:12:31.9,00:03:13.7,00:01:31.2,00:03:12.8,00:25:02.1,00:07:18.9,00:05:19.3
