,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,,,,,,
#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,59.7,57.3,22:09.9,8:35.7,9:01.0,22:03.5,8:27.7,8:48.9,3:17.6,1:30.5,8:40.0,14:38.1,12:23.1,3:11.4,14:32.9,12:16.0,3:13.9,1:30.5,3:10.9,24:39.4,7:11.8,5:17.1
#17,Ogier SÃ©bastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,59.8,57.2,22:00.8,8:27.8,8:56.2,21:54.9,8:20.8,8:50.8,3:18.5,1:30.5,8:35.6,14:39.5,12:23.2,3:11.6,14:24.8,12:19.1,3:15.9,1:30.6,3:14.7,24:46.7,7:15.6,5:14.8
#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:00.3,58.0,22:20.3,8:33.5,-,-,-,-,-,-,8:57.2,15:14.9,12:52.9,3:16.5,14:56.3,12:36.7,3:25.3,1:32.4,3:14.3,26:05.5,7:32.8,5:23.9
#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1  [SR],RC1,-,-,-,-,18:55.6 [N],31:54.1 [N],18:20.8 [N],18:47.7 [N],13:15.0 [N],11:29.9 [N],-,-,-,-,-,-,-,-,-,-,-,-
#20,Greensmith Gus - Andersson Jonas Å koda Fabia RS Rally2,RC2,1:01.4,1:00.8,23:00.0 [N],8:58.4,9:20.1,22:46.1,8:49.8,9:08.3,3:22.9,1:34.3,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:15.9,15:16.1,13:01.5,3:17.2,1:34.3,3:16.3,25:51.4,7:37.8,5:44.4
#21,Solberg Oliver - Edmondson Elliott Å koda Fabia RS Rally2,RC2,1:04.1,1:00.9,23:00.0 [N],9:07.4,9:16.4,22:47.7,8:46.6,10:49.8,3:17.9,1:32.5,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:11.9,15:11.7,12:52.2,3:14.0,1:32.8,3:14.4,25:24.2,7:39.8,5:58.9
#22,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,1:04.9,1:01.9,23:00.0 [N],8:57.1,9:18.7,22:48.5,8:51.3,9:13.3,3:20.9,1:34.0,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:15.1,15:17.2,13:02.0,3:31.0,1:32.8,3:17.5,43:37.2,7:44.8,5:40.4
#23,Gryazin Nikolay - Aleksandrov K. Å koda Fabia Rally2 evo,RC2,1:01.3,1:00.6,23:00.0 [N],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#24,Lindholm Emil - HÃ¤mÃ¤lÃ¤inen Reeta Å koda Fabia Rally2 evo,RC2,1:00.8,59.5,23:00.0 [N],8:57.0,9:20.4,23:00.0,8:50.6,9:19.6,3:26.2,1:34.4,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:14.1,15:28.6,13:03.7,3:15.6,1:34.2,3:13.9,25:50.8,7:36.8,5:43.7
#25,Kajetanowicz K. - Szczepaniak M. Å koda Fabia Rally2 evo,RC2,1:01.8,1:01.1,23:00.0 [N],9:07.5,9:26.3,23:16.3,8:54.3,9:19.0,3:24.2,1:34.6,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:19.7,15:35.4,13:46.3,3:27.1,1:34.4,3:23.5,26:26.1,7:51.1,5:53.4
#26,Prokop Martin - Ernst Michal Ford Fiesta Rally2,RC2,1:05.0,1:03.5,23:00.0 [N],9:29.1,9:44.2,23:49.8,9:24.8,9:36.1,3:29.7,1:36.5,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:22.0,15:54.3,13:34.2,3:27.1,1:36.0,3:24.3,26:51.5,7:57.8,5:55.7
#27,Chwist Daniel - Heller Kamil Å koda Fabia Rally2 evo,RC2,1:07.8,1:05.6,23:00.0 [N],10:17.4,10:35.3,25:56.5,10:37.4,10:59.0,3:52.2,1:41.8,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:39.6,18:07.1,15:20.8,3:54.1,1:39.5,3:40.8,30:35.6,8:55.7,6:37.0
#28,Castro Eduardo - Mussano Fernando Å koda Fabia Rally2 evo,RC2,1:05.8,1:03.0,23:00.0 [N],9:41.8,9:48.5,24:09.6,9:51.0,-,-,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:27.2,16:37.0,14:20.2,3:30.1,1:37.0,3:27.5,27:35.5,9:31.8,6:10.3
#28,Castro Eduardo - Mussano Fernando Å koda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,19:08.3 [N],13:17.9 [N],11:32.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#29,MartÃ­nez Fontena J. - Alvarez Nicholson A. Å koda Fabia R5,RC2,1:03.7,1:02.2,23:00.0 [N],9:15.8,9:37.4,23:38.3,9:19.5,9:33.5,3:34.2,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:22.3,15:58.5,13:45.2,3:24.5,1:36.7,3:20.7,26:37.0,7:55.3,5:55.1
#29,MartÃ­nez Fontena J. - Alvarez Nicholson A. Å koda Fabia R5  [SR],RC2,-,-,-,-,-,-,-,-,-,11:32.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#30,DomÃ­nguez Jr. Diego - PeÃ±ate R. Ford Fiesta Rally3,RC3,1:06.7,1:05.7,23:00.0 [N],10:15.4,10:30.7,25:56.7,10:04.6,10:15.1,3:36.1,1:37.9,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:30.6,17:06.2,14:51.8,3:36.1,1:38.8,3:35.7,28:54.7,8:39.8,6:27.7
#31,Cordero Jr. Ricardo - HernÃ¡ndez M. CitroÃ«n C3 Rally2,RC2,1:05.4,1:05.3,23:00.0 [N],9:49.7,10:01.6,24:11.1,9:37.0,10:08.3,3:41.8,4:08.6,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:36.3,16:09.4,13:50.7,3:32.9,1:38.4,3:35.1,27:08.6,8:09.2,6:04.3
#32,Granados Miguel - MartÃ­ Marc Å koda Fabia Rally2 evo,RC2,1:04.4,1:04.2,23:00.0 [N],9:41.8,-,-,-,-,-,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:32.9,39:40.1,14:37.1,3:36.8,1:36.2,3:37.2,31:35.2,8:30.0,6:25.5
