Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,TÃ¤nak Ott - JÃ¤rveoja Martin Ford Puma Rally1,RC1 M,58.0,,69.5,1
2,#69,RovanperÃ¤ Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,58.8,+0.8 +0.8,68.6 0.71,1
3,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,59.3,+1.3 +0.5,68.0 1.16,1
4,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,59.5,+1.5 +0.2,67.8 1.34,1
5,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,59.7,+1.7 +0.2,67.5 1.52,1
6,#6,Sordo Dani - Carrera CÃ¡ndido Hyundai i20 N Rally1,RC1 M,59.8,+1.8 +0.1,67.4 1.61,1
6,#17,Ogier SÃ©bastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,59.8,+1.8 +0.0,67.4 1.61,1
8,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,1:00.1,+2.1 +0.3,67.1 1.88,1
9,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,1:00.3,+2.3 +0.2,66.9 2.05,1
10,#24,Lindholm Emil - HÃ¤mÃ¤lÃ¤inen Reeta Å koda Fabia Rally2 evo,RC2,1:00.8,+2.8 +0.5,66.3 2.50,1
11,#23,Gryazin Nikolay - Aleksandrov K. Å koda Fabia Rally2 evo,RC2,1:01.3,+3.3 +0.5,65.8 2.95,1
12,#20,Greensmith Gus - Andersson Jonas Å koda Fabia RS Rally2,RC2,1:01.4,+3.4 +0.1,65.7 3.04,1
13,#25,Kajetanowicz K. - Szczepaniak M. Å koda Fabia Rally2 evo,RC2,1:01.8,+3.8 +0.4,65.2 3.39,1
14,#29,MartÃ­nez Fontena J. - Alvarez Nicholson A. Å koda Fabia R5,RC2,1:03.7,+5.7 +1.9,63.3 5.09,1
14,#36,Mauro SÃ¡nchez A. - Sanjuan de Eusebio D. Å koda Fabia Rally2 evo,RC2,1:03.7,+5.7 +0.0,63.3 5.09,1
16,#21,Solberg Oliver - Edmondson Elliott Å koda Fabia RS Rally2,RC2,1:04.1,+6.1 +0.4,62.9 5.45,1
16,#34,Salas Carlos - Zapata Ortega Jaime Å koda Fabia R5,RC2,1:04.1,+6.1 +0.0,62.9 5.45,1
18,#32,Granados Miguel - MartÃ­ Marc Å koda Fabia Rally2 evo,RC2,1:04.4,+6.4 +0.3,62.6 5.71,1
19,#9,Serderidis Jourdan - Miclotte F. Ford Puma Rally1,RC1,1:04.7,+6.7 +0.3,62.3 5.98,1
20,#22,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,1:04.9,+6.9 +0.2,62.1 6.16,1
21,#26,Prokop Martin - Ernst Michal Ford Fiesta Rally2,RC2,1:05.0,+7.0 +0.1,62.0 6.25,1
22,#31,Cordero Jr. Ricardo - HernÃ¡ndez M. CitroÃ«n C3 Rally2,RC2,1:05.4,+7.4 +0.4,61.7 6.61,1
23,#28,Castro Eduardo - Mussano Fernando Å koda Fabia Rally2 evo,RC2,1:05.8,+7.8 +0.4,61.3 6.96,1
24,#30,DomÃ­nguez Jr. Diego - PeÃ±ate R. Ford Fiesta Rally3,RC3,1:06.7,+8.7 +0.9,60.4 7.77,1
25,#27,Chwist Daniel - Heller Kamil Å koda Fabia Rally2 evo,RC2,1:07.8,+9.8 +1.1,59.5 8.75,1
26,#35,Coyne John - Treacy Eoin Ford Fiesta Rally2,RC2,1:09.4,+11.4 +1.6,58.1 10.2,1
27,#38,Spitalier Patrice - Spitalier N. Renault Clio Rally5,RC5,1:11.4,+13.4 +2.0,56.5 12.0,1
28,#37,Bailey Jason - Peterson Shayne Ford Fiesta Rally3,RC3,1:11.7,+13.7 +0.3,56.2 12.2,1
29,#39,Uriostegui Gustavo - Zapata Armando Renault Clio Rally5,RC5,1:11.9,+13.9 +0.2,56.1 12.4,1
30,#42,Retama Emiliano - Retama Diego Renault Clio Rally5,RC5,1:13.4,+15.4 +1.5,54.9 13.8,1
31,#41,Maggio Rodriguez R. - Pimentel M. Renault Clio Rally5,RC5,1:30.4,+32.4 +17.0,44.6 28.9,1
