0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Croatia,6,3,6,5,6,1,7,6,7,8,6,4,7,5,4,3,7,5,6,5
7,Loubet  P.,RC1,Croatia,8,6,7,8,7,9,8,8,6,7,7,7,4,7,7,7,15,8,18,19
8,Tänak  Ott,RC1,Croatia,3,4,4,2,3,6,1,3,2,3,4,5,2,1,5,6,6,4,3,6
11,Neuville  ,RC1,Croatia,2,1,2,4,5,4,2,5,4,4,50,50,48,47,47,46,5,1,7,1
17,Ogier  S. ,RC1,Croatia,1,17,1,1,1,3,4,7,3,2,2,1,1,3,2,1,2,3,2,3
18,Katsuta  T,RC1,Croatia,7,5,5,7,8,11,6,4,8,6,5,6,6,6,6,5,4,7,4,4
20,Solberg  O,RC2,Croatia,12,11,16,12,13,14,14,12,16,16,21,12,14,14,9,8,8,13,8,9
21,Rossel  Yo,RC2,Croatia,9,7,12,16,10,7,15,16,11,13,13,9,13,11,13,10,9,11,9,12
22,Lindholm  ,RC2,Croatia,10,24,10,9,12,13,12,10,10,14,12,10,9,15,11,12,10,14,11,11
23,Greensmith,RC2,Croatia,11,41,11,11,9,16,10,12,14,10,9,38,10,8,14,14,20,9,20,8
24,Gryazin  N,RC2,Croatia,13,12,9,10,11,10,11,9,13,9,10,11,8,12,8,9,13,10,10,14
25,Fourmaux  ,RC2,Croatia,14,27,15,14,14,15,16,17,9,11,11,14,11,10,10,11,11,12,13,10
26,Pajari  Sa,RC2,Croatia,16,10,14,15,17,17,13,14,15,15,16,13,12,8,12,13,12,15,12,13
27,Cais  Erik,RC2,Croatia,52,51,51,51,49,47,47,47,17,17,14,15,15,13,17,15,17,16,15,17
28,Munster  G,RC2,Croatia,20,14,17,29,18,47,47,47,20,20,15,17,16,18,15,17,18,17,17,18
29,Linnamäe  ,RC2,Croatia,17,13,19,17,49,47,47,47,18,18,17,16,17,16,16,16,16,19,16,16
30,Ciamin  Ni,RC2,Croatia,15,8,13,13,15,12,9,11,11,12,8,8,49,48,48,47,-,-,-,-
32,Kremer  Ar,RC2,Croatia,19,16,22,22,20,18,18,20,19,22,20,18,20,20,18,19,24,23,22,23
33,Evans  Elf,RC1,Croatia,5,2,3,3,2,2,3,1,5,5,3,3,5,4,3,4,3,6,5,7
34,Miele  Mau,RC2,Croatia,26,22,21,21,23,21,22,22,26,21,19,19,26,19,19,20,21,22,-,-
35,Keferböck ,RC2,Croatia,25,21,26,25,24,24,25,25,23,26,26,21,22,25,22,23,26,25,26,29
36,Cachon  A.,RC2,Croatia,18,9,18,18,16,8,17,15,52,52,51,51,49,48,48,47,14,18,14,15
37,Herczig  N,RC2,Croatia,22,15,20,19,21,41,21,21,22,19,23,20,18,17,20,18,19,21,19,20
38,O'Brien  P,RC2,Croatia,23,23,28,24,30,31,26,32,24,25,22,22,19,24,21,21,25,26,21,24
39,Vossen  He,RC2,Croatia,47,46,49,48,46,43,44,43,48,49,46,46,44,45,43,41,48,51,45,48
40,Boland  Ea,RC2,Croatia,39,34,41,40,36,46,34,33,40,42,42,36,32,37,30,33,29,36,33,38
41,Creighton ,RC3,Croatia,24,18,23,22,19,19,19,18,53,53,52,52,51,50,50,50,23,20,23,21
44,Pellier  L,RC3,Croatia,21,20,24,20,22,20,20,19,21,32,18,24,41,41,27,29,45,43,-,-
45,Dominguez ,RC3,Croatia,27,28,33,28,27,25,27,24,27,33,28,31,51,50,50,50,31,29,27,25
46,Hernández ,RC3,Croatia,32,31,32,33,25,23,29,27,33,45,52,52,51,50,50,50,30,32,25,26
47,Blach  Rob,RC3,Croatia,28,25,31,27,51,50,50,50,29,31,24,26,23,27,24,24,28,30,34,33
48,Rensonnet ,RC3,Croatia,29,32,27,30,31,29,24,23,28,24,27,27,27,23,31,25,40,28,44,27
49,Anwar  Ham,RC3,Croatia,51,47,47,47,44,40,42,34,46,47,40,45,43,50,50,50,47,47,43,41
50,Kelly  Eam,RC3,Croatia,31,33,29,31,28,27,23,26,30,29,32,28,28,28,26,26,33,31,32,28
51,Kohn  Fili,RC3,Croatia,53,52,52,52,51,50,50,50,36,27,30,29,25,22,23,45,36,34,28,32
52,Ravenščak ,RC3,Croatia,38,52,52,52,51,50,50,50,35,30,33,34,33,29,35,37,53,-,-,-
53,Majerčák  ,RC2,Croatia,37,30,30,32,32,28,31,29,34,28,35,30,30,26,32,26,27,27,31,-
54,Turk  Rok ,RC2,Croatia,30,19,25,26,26,22,28,31,25,23,25,23,21,21,25,22,22,24,24,22
55,László  Z.,RC2,Croatia,40,36,42,42,38,32,38,37,43,38,38,37,37,39,36,34,37,44,40,43
56,Zrinski  A,RC2,Croatia,43,43,37,38,37,35,33,35,42,36,43,40,38,35,40,40,39,45,37,42
57,Cartier  V,RC2,Croatia,34,26,34,34,29,26,30,28,32,34,31,25,29,30,29,49,32,-,-,-
58,Schwarz  F,RC3,Croatia,33,35,35,35,33,30,32,30,31,35,29,33,24,33,34,30,34,34,29,31
59,Fontana  M,RC4,Croatia,35,38,44,44,35,53,53,53,37,41,36,39,31,34,28,28,35,33,30,30
60,Oldani  Ma,RC4,Croatia,41,40,39,41,41,33,35,39,38,39,34,32,36,36,33,31,38,37,35,34
61,Jürgenson ,RC4,Croatia,43,42,40,36,39,36,36,38,39,40,37,41,34,32,38,32,42,39,38,36
62,Medved  Ja,RC4,Croatia,36,37,38,37,34,33,37,36,54,54,54,54,54,54,54,54,41,40,39,35
64,Hrvatin  T,RC4,Croatia,45,39,36,39,40,37,39,41,45,43,39,35,39,38,39,35,44,41,41,39
65,Magličić  ,RC4,Croatia,42,44,43,43,42,38,40,40,44,44,44,43,40,39,41,38,46,42,42,40
66,Pokos  Jan,RC4,Croatia,46,49,46,45,43,39,41,42,41,37,41,42,35,31,37,36,43,38,36,37
67,Lončarić  ,RC4,Croatia,50,50,50,50,48,45,46,46,51,51,49,48,46,46,46,43,51,50,47,45
68,Čičko  V. ,RC5,Croatia,49,48,48,49,47,44,45,44,50,48,47,47,45,43,44,42,52,49,49,47
69,Rovanperä ,RC1,Croatia,4,29,8,6,3,5,4,2,1,1,1,2,3,2,1,2,1,2,1,2
70,Šekuljica ,RC5,Croatia,54,54,54,54,54,54,54,54,49,50,48,49,47,44,45,44,50,48,48,46
71,Mandić  Ig,RC5,Croatia,48,45,45,46,45,42,43,45,47,46,45,44,42,42,42,39,49,46,46,44
