SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
00:12:20.7,00:15:23.7,00:05:38.1,00:04:52.7,00:12:14.7,00:15:33.3,00:05:32.8,00:04:59.8,00:12:56.4,00:04:36.2,00:06:02.9,00:08:30.0,00:13:11.6,00:04:35.9,00:06:00.4,00:08:31.9,00:07:07.9,00:08:20.9,00:07:08.0,00:08:15.0
00:12:28.0,00:15:35.9,00:05:38.5,00:04:53.7,00:12:19.8,00:16:15.3,00:05:37.7,00:05:06.4,00:12:53.0,00:04:35.4,00:06:05.1,00:08:34.6,00:13:01.1,00:04:37.5,00:06:13.3,00:08:42.5,00:07:37.7,00:08:30.9,00:07:39.9,00:08:50.6
00:12:08.2,00:15:30.2,00:05:34.6,00:04:49.5,00:12:12.6,00:15:50.3,00:05:29.1,00:04:57.9,00:12:44.8,00:04:30.9,00:05:59.5,00:08:31.5,00:12:55.4,00:04:32.2,00:06:02.0,00:08:42.4,00:07:06.4,00:08:19.7,00:07:06.1,00:08:18.0
00:12:00.3,00:15:18.1,00:05:31.6,00:04:50.3,00:12:14.0,00:15:39.7,00:05:29.4,00:04:59.0,00:12:46.0,00:04:32.8,00:15:47.9,00:18:22.9,00:22:55.0,00:14:32.2,00:15:50.6,00:18:28.0,00:07:03.7,00:08:08.2,00:07:18.1,00:08:06.4
00:11:57.7,00:16:50.7,00:05:30.8,00:04:48.2,00:12:06.8,00:15:35.2,00:05:31.1,00:05:05.6,00:12:45.0,00:04:30.4,00:05:50.4,00:08:22.9,00:12:55.0,00:04:34.3,00:05:53.0,00:08:28.0,00:07:00.2,00:08:13.6,00:07:02.6,00:08:10.8
00:12:26.9,00:15:35.2,00:05:35.3,00:04:53.4,00:12:31.3,00:16:21.1,00:05:32.6,00:04:58.7,00:13:01.0,00:04:34.8,00:06:01.8,00:08:33.9,00:13:06.9,00:04:37.0,00:06:02.9,00:08:38.8,00:07:02.3,00:08:22.1,00:07:07.1,00:08:13.7
00:12:52.8,00:16:08.3,00:05:55.4,00:05:03.5,00:12:39.5,00:16:28.4,00:05:49.1,00:05:09.8,00:13:52.3,00:04:51.5,00:06:50.8,00:08:54.5,00:13:42.7,00:04:51.3,00:06:16.4,00:08:52.4,00:07:24.0,00:08:38.4,00:07:24.2,00:08:25.7
00:12:39.2,00:15:53.5,00:05:49.7,00:05:06.6,00:12:38.2,00:16:11.4,00:05:49.8,00:05:14.0,00:13:32.1,00:04:47.7,00:06:19.8,00:08:50.8,00:13:40.2,00:04:48.2,00:06:22.6,00:09:02.1,00:07:26.6,00:08:37.7,00:07:26.3,00:08:29.1
00:12:49.2,00:17:08.2,00:05:49.2,00:05:01.0,00:12:39.1,00:16:26.4,00:05:48.5,00:05:08.0,00:13:29.0,00:04:48.3,00:06:19.6,00:08:51.6,00:13:31.9,00:04:52.9,00:06:20.4,00:09:04.8,00:07:27.1,00:08:42.6,00:07:26.8,00:08:28.5
00:12:50.8,00:18:30.6,00:05:49.5,00:05:02.3,00:12:36.6,00:16:41.6,00:05:46.8,00:05:09.8,00:13:35.6,00:04:47.0,00:06:16.5,00:10:19.5,00:13:33.8,00:04:47.7,00:06:23.5,00:09:12.1,00:07:50.9,00:08:31.6,00:07:47.8,00:08:24.0
00:12:56.9,00:16:12.5,00:05:47.2,00:05:02.1,00:12:38.4,00:16:20.3,00:05:47.7,00:05:07.2,00:13:33.4,00:04:46.5,00:06:16.8,00:08:53.4,00:13:30.6,00:04:48.7,00:06:15.4,00:09:00.3,00:07:29.3,00:08:36.5,00:07:26.7,00:08:31.8
00:12:57.8,00:17:17.4,00:05:53.1,00:05:06.0,00:12:39.8,00:16:41.0,00:05:52.1,00:05:14.9,00:13:28.7,00:04:47.3,00:06:17.2,00:09:02.0,00:13:34.5,00:04:48.1,00:06:19.1,00:09:04.0,00:07:28.3,00:08:37.8,00:07:28.1,00:08:26.9
00:13:10.7,00:16:06.4,00:05:53.0,00:05:06.4,00:12:48.1,00:16:43.4,00:05:48.8,00:05:12.0,00:13:41.0,00:04:51.2,00:06:30.2,00:09:01.8,00:13:38.5,00:04:47.7,00:06:21.7,00:09:07.6,00:07:28.7,00:08:45.7,00:07:27.7,00:08:31.6
