Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,11:57.7,,96.3,1
2,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,12:00.3,+2.6 +2.6,96.0 0.14,1
3,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,12:08.2,+10.5 +7.9,94.9 0.55,1
4,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,12:09.0,+11.3 +0.8,94.8 0.59,1
5,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1,12:10.0,+12.3 +1.0,94.7 0.64,1
6,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,12:20.7,+23.0 +10.7,93.3 1.20,1
7,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,12:26.9,+29.2 +6.2,92.5 1.52,1
8,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,12:28.0,+30.3 +1.1,92.4 1.58,1
9,#21,Rossel Yohan - Dunand Arnaud Citroën C3 Rally2,RC2,12:39.2,+41.5 +11.2,91.0 2.16,1
10,#22,Lindholm Emil - Hämäläinen Reeta Škoda Fabia RS Rally2,RC2,12:49.2,+51.5 +10.0,89.9 2.68,1
11,#23,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,12:50.8,+53.1 +1.6,89.7 2.77,1
12,#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,12:52.8,+55.1 +2.0,89.4 2.87,1
13,#24,Gryazin Nikolay - Aleksandrov K. Škoda Fabia RS Rally2,RC2,12:56.9,+59.2 +4.1,89.0 3.08,1
14,#25,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,12:57.8,+1:00.1 +0.9,88.9 3.13,1
15,#30,Ciamin Nicolas - Roche Yannick Volkswagen Polo GTI R5,RC2,13:08.1,+1:10.4 +10.3,87.7 3.67,1
16,#26,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,13:10.7,+1:13.0 +2.6,87.4 3.80,1
17,#29,Linnamäe Georg - Morgan James Hyundai i20 N Rally2,RC2,13:11.8,+1:14.1 +1.1,87.3 3.86,1
18,#36,Cachón Alejandro - Jandrín Citroën C3 Rally2,RC2,13:12.9,+1:15.2 +1.1,87.2 3.92,1
19,#32,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,13:27.2,+1:29.5 +14.3,85.6 4.66,1
20,#28,Munster Grégoire - Louka Louis Ford Fiesta Rally2,RC2,13:28.0,+1:30.3 +0.8,85.5 4.70,1
21,#44,Pellier Laurent - Pelamourgues M. Ford Fiesta Rally3,RC3,13:32.4,+1:34.7 +4.4,85.1 4.93,1
22,#37,Herczig Norbert - Ferencz Ramón Škoda Fabia Rally2 evo,RC2,13:38.4,+1:40.7 +6.0,84.5 5.24,1
23,#38,O'Brien Patrick - O'Brien Stephen Hyundai i20 N Rally2,RC2,13:46.3,+1:48.6 +7.9,83.7 5.66,1
24,#41,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,13:47.8,+1:50.1 +1.5,83.5 5.73,1
25,#35,Keferböck Johannes - Minor Ilka Škoda Fabia RS Rally2,RC2,13:53.0,+1:55.3 +5.2,83.0 6.01,1
26,#34,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,14:02.4,+2:04.7 +9.4,82.1 6.49,1
27,#45,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,14:07.2,+2:09.5 +4.8,81.6 6.74,1
28,#47,Blach Núñez Roberto - Barreiro M. Ford Fiesta Rally3,RC3,14:10.7,+2:13.0 +3.5,81.3 6.93,1
29,#48,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,14:12.0,+2:14.3 +1.3,81.1 6.99,1
30,#54,Turk Rok - Kacin Blanka Hyundai i20 N Rally2,RC2,14:15.3,+2:17.6 +3.3,80.8 7.17,1
31,#50,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,14:16.5,+2:18.8 +1.2,80.7 7.23,1
32,#46,Hernández Hernández R. - Sanjuan de Eusebio R. Ford Fiesta Rally3,RC3,14:23.3,+2:25.6 +6.8,80.1 7.58,1
33,#58,Schwarz Fabio - Rauber Tim Ford Fiesta Rally3,RC3,14:34.1,+2:36.4 +10.8,79.1 8.15,1
34,#57,Cartier Victor - Maye Marine Toyota Yaris Rally2-Kit,RC2,14:34.7,+2:37.0 +0.6,79.0 8.18,1
35,#59,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4,RC4,14:48.8,+2:51.1 +14.1,77.8 8.91,1
36,#62,Medved Jan - Šavelj Izidor Opel Corsa Rally4,RC4,14:49.0,+2:51.3 +0.2,77.8 8.92,1
37,#53,Majerčák Vlastimil - Slovák J. Ford Fiesta Rally2,RC2,14:52.6,+2:54.9 +3.6,77.4 9.11,1
38,#52,Ravenščak Martin - Ravenščak D. Ford Fiesta Rally3,RC3,14:55.5,+2:57.8 +2.9,77.2 9.26,1
39,#40,Boland Eamonn - MJ Citroën C3 Rally2,RC2,15:07.5,+3:09.8 +12.0,76.2 9.89,1
40,#55,László Zoltán - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,15:11.6,+3:13.9 +4.1,75.8 10.1,1
41,#60,Oldani Marco - D'Agostino Pietro Peugeot 208 Rally4,RC4,15:40.9,+3:43.2 +29.3,73.5 11.6,1
42,#65,Magličić Željko - Poljak Ivan Ford Fiesta Rally4,RC4,15:49.9,+3:52.2 +9.0,72.8 12.1,1
